DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
1117.092,8.5,8.7726,2.3126,-0.006099,109.9141,92.1455,0.308355,0.311751,3.0386,18.6472,13.6604,6.8946,-34.1939,42.674,1372.8766
1117.2444,8.5,8.7907,2.3103,-0.006714,109.6735,92.273,0.305587,0.309102,3.0472,19.0955,13.9864,7.0012,-34.8518,42.674,1381.1384
1117.3968,8.5,8.8088,2.308,-0.00733,109.433,92.4006,0.302818,0.306452,3.0557,19.5437,14.3124,7.1078,-35.5098,42.674,1389.4003
1117.5492,8.5,8.811,2.3088,-0.007372,109.2156,91.1061,0.301459,0.305161,3.0593,19.7644,14.474,7.1602,-36.08,42.674,1394.6147
1117.7016,8.5,8.7798,2.3162,-0.00621,109.0467,86.8288,0.303056,0.306719,3.0524,19.5078,14.2908,7.0989,-36.4663,42.674,1393.4373
1117.854,8.5,8.7486,2.3235,-0.005047,108.8779,82.5515,0.304653,0.308277,3.0455,19.2512,14.1075,7.0376,-36.8526,42.674,1392.2599
1118.0064,8.5,8.7222,2.3304,-0.003927,108.7364,78.6301,0.306262,0.309842,3.0387,19.0027,13.9278,6.9793,-37.1795,42.674,1390.9432
1118.1588,8.5,8.8032,2.3249,-0.00375,109.2198,82.8259,0.308151,0.31159,3.0333,18.9396,13.8289,6.9879,-36.1534,42.674,1386.453
1118.3112,8.5,8.8843,2.3195,-0.003573,109.7031,87.0218,0.31004,0.313338,3.0279,18.8765,13.73,6.9966,-35.1272,42.674,1381.9628
1118.4636,8.5,8.9654,2.314,-0.003397,110.1865,91.2177,0.311929,0.315085,3.0225,18.8135,13.6312,7.0052,-34.1011,42.674,1377.4725
1118.616,8.5,8.9487,2.3141,-0.003041,110.1287,89.1398,0.312424,0.315541,3.0191,18.6818,13.5547,7.0135,-33.8,42.674,1378.3351
1118.7684,8.5,8.9014,2.3159,-0.002629,109.9012,85.0932,0.312482,0.315592,3.0163,18.5286,13.4852,7.0216,-33.7264,42.674,1380.8773
1118.9208,8.5,8.8541,2.3177,-0.002217,109.6736,81.0467,0.31254,0.315642,3.0136,18.3753,13.4158,7.0297,-33.6528,42.674,1383.4196
1119.0732,8.5,8.8027,2.3205,-0.003101,109.573,80.2767,0.30881,0.312051,3.0214,18.3269,13.4348,7.0582,-34.0504,42.674,1385.0394
1119.2256,8.5,8.7471,2.3245,-0.005386,109.6098,83.0519,0.300983,0.304519,3.0407,18.3919,13.5496,7.1086,-34.9578,42.674,1385.6614
1119.378,8.5,8.6914,2.3284,-0.00767,109.6466,85.8271,0.293155,0.296987,3.06,18.4568,13.6644,7.159,-35.8652,42.674,1386.2833
1119.5304,8.5,8.6471,2.3308,-0.009502,109.6269,88.4769,0.289988,0.294007,3.0762,18.4186,13.6851,7.1783,-36.5335,42.674,1385.0669
1119.6828,8.5,8.6487,2.3272,-0.009513,109.3809,90.6237,0.305526,0.309298,3.0802,17.9663,13.3284,7.0723,-36.2425,42.674,1376.4731
