DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESS,SP,TEMP,TENS
111.252,8.5,,,,,,,,,,,,
111.4044,8.5,,,,,,,,,,,,
111.5568,8.5,,,,,,,,,,,,
111.7092,8.5,,,,,,,,,,,,
111.8616,8.5,,,,,,,,,,,,
112.014,8.5,,,,,,,,,,,,
112.1664,8.5,,,,,,,,,,,,
112.3188,8.5,,,,,,,,,,,,
112.4712,8.5,,,,,,,,,,,,
112.6236,8.5,,,,,,,,,,,,
112.776,8.5,,,,,,,,,,,,
112.9284,8.5,,,,,,,,,,,,
113.0808,8.5,,,,,,,,,,,,
113.2332,8.5,,,,,,,,,,,,
113.3856,8.5,,,,,,,,,,,,
113.538,8.5,,,,,,,,,,,,
113.6904,8.5,,,,,,,,,,,,
113.8428,8.5,,,,,,,,,,,,
113.9952,8.5,,,,,,,,,,,,
114.1476,8.5,,,,,,,,,,,,
114.3,8.5,,,,,,,,,,,,
114.4524,8.5,,,,,,,,,,,,
114.6048,8.5,,,,,,,,,,,,
114.7572,8.5,,,,,,,,,,,,
114.9096,8.5,,,,,,,,,,,,
115.062,8.5,,,,,,,,,,,,
115.2144,8.5,,,,,,,,,,,,
115.3668,8.5,,,,,,,,,,,,
115.5192,8.5,,,,,,,,,,,,
115.6716,8.5,,,,,,,,,,,,
115.824,8.5,,,,,,,,,,,,
115.9764,8.5,,,,,,,,,,,,
116.1288,8.5,,,,,,,,,,,,
116.2812,8.5,,,,,,,,,,,,
116.4336,8.5,,,,,,,,,,,,
116.586,8.5,,,,,,,,,,,,
116.7384,8.5,,,,,,,,,,,,
116.8908,8.5,,,,,,,,,,,,
117.0432,8.5,,,,,,,,,,,,
117.1956,8.5,,,,,,,,,,,,
117.348,8.5,,,,,,,,,,,,
117.5004,8.5,,,,,,,,,,,,
117.6528,8.5,,,,,,,,,,,,
117.8052,8.5,,,,,,,,,,,,
117.9576,8.5,,,,,,,,,,,,
118.11,8.5,,,,,,,,,,,,
118.2624,8.5,,,,,,,,,,,,
118.4148,8.5,,,,,,,,,,,,
118.5672,8.5,,,,,,,,,,,,
118.7196,8.5,,,,,,,,,,,,
118.872,8.5,,,,,,,,,,,,
119.0244,8.5,,,,,,,,,,,,
