DEPTH,BS,CALI,DENS,DRHO,DTC,GR,GR_CORR,NEUT,NEUT_CORR,PEF,RESD,RESD_CORR,RESS,RESS_CORR,SP,TEMP,TENS
604.4184,8.5,8.9553,,,116.3134,99.0123,101.6704,,,,25.1967,25.1684,15.6423,15.9649,157.6271,33.0078,652.1922
604.5708,8.5,8.9567,,,114.5091,97.9796,100.6121,,,,26.6991,26.6467,16.5255,16.8472,158.5513,33.0078,652.8702
604.7232,8.5,8.9593,,,111.5132,95.9214,98.5314,,,,29.0831,28.9798,17.696,18.0159,159.3631,33.0078,653.0264
604.8756,8.5,8.9618,,,108.5173,93.8632,96.4507,,,,31.467,31.3129,18.8666,19.1845,160.1749,33.0078,653.1826
605.028,8.5,8.9639,,,106.1479,91.7602,94.3027,,,,34.7846,34.5109,20.102,20.4099,160.9391,33.0078,653.3237
605.1804,8.5,8.964,,,106.5621,89.4581,91.8559,,,,42.25,41.5518,21.6253,21.8875,161.4919,33.0078,653.3976
605.3328,8.5,8.964,,,106.9763,87.156,89.409,,,,49.7154,48.5926,23.1486,23.3652,162.0448,33.0078,653.4716
605.4852,8.5,8.964,,,107.3905,84.8539,86.9622,,,,57.1808,55.6334,24.672,24.8428,162.5977,33.0078,653.5455
605.6376,8.5,8.964,,,110.2943,82.6234,84.8359,,,,57.1226,55.7169,25.0551,25.2921,162.8894,33.0078,652.9229
605.79,8.5,8.964,,,113.4659,80.4007,82.7442,,,,56.2552,55.0521,25.3157,25.6308,163.153,33.0078,652.2253
605.9424,8.5,8.964,,,116.6375,78.178,80.6525,,,,55.3878,54.3872,25.5762,25.9695,163.4167,33.0078,651.5278
606.0948,8.5,8.964,,,117.7191,79.0174,81.4909,,,,54.9874,54.0004,25.3529,25.723,163.5417,33.0078,650.3648
606.2472,8.5,8.964,,,117.5309,81.7175,84.1096,,,,54.8708,53.7825,24.8358,25.1208,163.5825,33.0078,648.9189
606.3996,8.5,8.964,,,117.3426,84.4176,86.7284,,,,54.7542,53.5645,24.3186,24.5187,163.6233,33.0078,647.4731
606.552,8.5,8.9643,,,116.9855,86.7673,89.012,,,,54.3265,53.1101,23.7308,23.896,163.5571,33.0078,647.1678
606.7044,8.5,8.9651,,,116.3026,88.4406,90.6485,,,,53.2981,52.1989,23.0067,23.2339,163.2842,33.0078,649.0645
606.8568,8.5,8.966,,,115.6197,90.1139,92.285,,,,52.2698,51.2878,22.2825,22.5718,163.0113,33.0078,650.9613
607.0092,8.5,8.9678,,,114.9532,91.6029,93.7565,,,,51.2201,50.35,21.5779,21.9254,162.7284,33.0081,652.7368
607.1616,8.5,8.986,,,114.5429,90.2229,92.6593,,,,49.838,48.9976,21.1768,21.5242,162.2897,33.0122,652.6243
607.314,8.5,9.0042,,,114.1326,88.8429,91.5621,,,,48.4559,47.6452,20.7758,21.1229,161.8511,33.0164,652.5118
607.4664,8.5,9.0224,,,113.7223,87.4629,90.4649,,,,47.0738,46.2928,20.3748,20.7217,161.4125,33.0205,652.3992
607.6188,8.5,9.0296,,,112.6237,89.0477,92.0868,,,,47.1929,46.3782,20.2008,20.5609,160.5722,33.0182,651.702
607.7712,8.5,9.0338,,,111.3304,91.4711,94.4777,,,,47.7366,46.8701,20.091,20.4682,159.6182,33.014,650.8392
607.9236,8.5,9.038,,,110.0371,93.8945,96.8687,,,,48.2804,47.362,19.9812,20.3754,158.6643,33.0099,649.9765
608.076,8.5,9.0494,,,109.5807,96.1093,99.1646,,,,47.8947,46.9861,19.929,20.3027,157.8099,33.0078,650.4955
608.2284,8.5,9.0682,,,109.9656,98.1146,101.365,,,,46.5747,45.7378,19.9346,20.2503,157.0556,33.0078,652.4036
608.3808,8.5,9.087,,,110.3505,100.1199,103.5654,,,,45.2547,44.4895,19.9401,20.1978,156.3013,33.0078,654.3116
608.5332,8.5,9.1035,,,110.8425,101.9267,105.5031,,,,43.359,42.6917,19.6619,19.8909,155.5422,33.0086,655.2866
608.6856,8.5,9.1119,,,111.7192,103.0209,106.4974,,,,39.3966,38.9211,18.3647,18.6703,154.7658,33.0122,652.9111
608.838,8.5,9.1202,,,112.5959,104.1152,107.4917,,,,35.4342,35.1504,17.0675,17.4497,153.9894,33.0158,650.5358
608.9904,8.5,9.1285,,,113.4727,105.2094,108.486,,,,31.4717,31.3797,15.7703,16.2291,153.213,33.0194,648.1604
609.1428,8.5,9.1346,,,113.6637,101.8679,105.2287,,,,31.4468,31.3491,15.6676,16.1232,152.3912,33.0169,649.8721
609.2952,8.5,9.1406,,,113.8087,98.2281,101.6855,,,,31.6866,31.57,15.6451,16.0922,151.5664,33.014,651.8586
609.4476,8.5,9.1465,,,113.9536,94.5883,98.1424,,,,31.9264,31.7908,15.6226,16.0612,150.7416,33.0111,653.845
609.6,8.5,9.1556,,,114.289,92.5682,96.2008,,,,33.084,32.8781,15.8811,16.2834,150.1306,33.01,654.5507
609.7524,8.5,9.1664,,,114.724,91.3968,95.0986,,,,34.7225,34.4194,16.2868,16.6381,149.6316,33.0099,654.5853
609.9048,8.5,9.1772,,,115.1591,90.2254,93.9963,,,,36.361,35.9608,16.6924,16.9929,149.1326,33.0098,654.6198
610.0572,8.5,9.184,,,115.4821,90.5606,94.352,,,,37.1305,36.6983,16.8361,17.1308,148.6041,33.0095,654.3678
610.2096,8.5,9.184,,,115.6188,93.4034,97.1344,,,,36.4536,36.0983,16.5436,16.9078,148.0266,33.0089,653.639
610.362,8.5,9.184,,,115.7555,96.2462,99.9168,,,,35.7767,35.4982,16.2511,16.6848,147.4491,33.0083,652.9103
