DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
1181.862,8.5,8.54,119.632,-379.446,4.788,6.637,8.009,2.4,0.314,-0.001,3.071,98.891
1182.014,8.5,8.622,112.812,-379.033,5.161,7.335,8.931,2.395,0.323,0.0,3.079,99.659
1182.167,8.5,8.656,113.959,-377.897,5.269,7.564,9.19,2.399,0.335,-0.001,3.142,102.629
1182.319,8.5,8.779,109.25,-377.267,5.301,7.531,9.043,2.399,0.335,-0.002,3.195,102.13
1182.472,8.5,8.847,104.244,-376.571,5.073,7.191,8.55,2.392,0.325,-0.002,3.194,101.363
1182.624,8.5,8.802,99.411,-375.92,4.94,7.093,8.446,2.381,0.317,0.001,3.157,101.765
1182.776,8.5,8.678,104.175,-375.533,4.55,6.627,7.923,2.399,0.305,0.004,3.093,101.849
1182.929,8.5,8.667,113.683,-375.304,4.673,6.895,8.258,2.41,0.316,0.004,3.036,102.09
1183.081,8.5,8.6,99.561,-375.415,4.939,7.378,8.792,2.393,0.324,0.003,2.994,101.155
1183.234,8.5,8.705,106.27,-375.642,5.123,7.78,9.261,2.374,0.329,0.003,2.995,100.598
1183.386,8.5,8.802,104.215,-375.604,4.62,7.085,8.405,2.362,0.319,0.004,3.02,100.683
1183.538,8.5,8.802,96.097,-375.304,4.525,7.037,8.332,2.376,0.311,0.003,3.044,101.255
1183.691,8.5,8.779,106.601,-374.554,4.556,6.995,8.249,2.394,0.312,0.001,3.032,101.663
1183.843,8.5,8.734,115.078,-374.337,5.212,8.005,9.369,2.399,0.32,-0.001,2.983,101.95
1183.996,8.5,8.69,105.214,-374.196,4.783,7.408,8.518,2.369,0.332,-0.001,2.898,102.673
1184.148,8.5,8.701,91.404,-374.313,3.942,6.104,6.92,2.34,0.331,0.003,2.86,101.86
1184.3,8.5,8.79,94.645,-373.508,4.429,6.924,7.853,2.357,0.332,0.008,2.888,102.109
1184.453,8.5,8.854,112.245,-372.142,5.115,7.95,9.014,2.377,0.317,0.01,2.949,102.115
1184.605,8.5,8.809,110.712,-370.321,5.02,7.641,8.712,2.391,0.322,0.007,2.972,101.632
1184.758,8.5,8.656,98.972,-369.175,5.135,7.352,8.424,2.379,0.302,0.003,2.946,102.934
1184.91,8.5,8.622,103.273,-368.835,5.373,7.131,8.256,2.317,0.308,0.001,2.908,104.881
1185.062,8.5,8.585,99.499,-368.938,4.576,5.891,6.864,2.257,0.31,0.0,2.885,101.836
1185.215,8.5,8.622,82.472,-369.183,4.643,6.174,7.254,2.343,0.296,0.009,2.892,93.429
1185.367,8.5,8.959,88.718,-369.42,9.029,13.967,16.704,2.567,0.237,0.015,2.927,82.836
1185.52,8.5,8.585,77.251,-369.438,9.993,15.906,19.062,2.541,0.21,0.018,2.973,81.223
1185.672,8.5,8.443,82.258,-368.817,4.807,6.625,7.69,2.381,0.229,0.01,2.972,83.222
1185.824,8.5,8.533,109.11,-368.071,5.443,7.493,8.642,2.378,0.29,0.005,2.942,92.662
1185.977,8.5,8.675,104.819,-367.583,5.739,8.311,9.528,2.35,0.32,0.002,2.875,103.761
1186.129,8.5,8.723,102.472,-367.411,4.554,7.026,8.025,2.268,0.323,0.001,2.8,105.064
1186.282,8.5,8.667,87.98,-368.05,4.055,6.276,7.125,2.238,0.324,0.002,2.717,107.078
1186.434,8.5,8.794,90.105,-369.729,3.891,5.995,6.688,2.255,0.314,0.004,2.672,107.879
1186.586,8.5,8.79,79.822,-371.188,3.758,6.217,6.788,2.26,0.319,0.008,2.703,107.071
1186.739,8.5,8.622,87.404,-371.954,3.86,6.815,7.4,2.321,0.309,0.009,2.793,105.392
1186.891,8.5,8.63,86.198,-372.471,4.813,8.609,9.586,2.418,0.328,0.009,2.906,103.329
1187.044,8.5,8.678,117.033,-371.973,4.672,7.724,8.748,2.4,0.332,0.008,3.005,102.128
1187.196,8.5,8.69,105.489,-371.967,4.631,7.03,8.058,2.383,0.345,0.009,3.064,102.738
1187.348,8.5,8.6,100.876,-372.654,4.948,7.082,8.273,2.354,0.339,0.007,3.057,104.787
1187.501,8.5,8.611,96.65,-373.208,3.955,5.24,6.195,2.293,0.329,0.005,3.01,105.94
1187.653,8.5,8.69,90.042,-373.705,3.908,5.203,6.25,2.324,0.305,0.004,2.966,101.122
1187.806,8.5,8.712,88.227,-373.842,6.035,8.565,10.438,2.519,0.273,0.009,2.986,96.127
1187.958,8.5,8.6,99.891,-374.112,7.656,11.64,14.218,2.527,0.242,0.013,3.047,94.705
1188.11,8.5,8.443,91.397,-374.625,4.82,6.796,8.147,2.402,0.255,0.011,3.093,93.724
1188.263,8.5,8.488,107.105,-374.546,4.552,6.457,7.66,2.373,0.281,0.008,3.118,98.262
1188.415,8.5,8.51,109.007,-374.696,4.706,6.616,7.804,2.358,0.316,0.007,3.112,102.855
1188.568,8.5,8.533,115.008,-374.871,4.869,6.923,8.142,2.393,0.312,0.016,3.127,102.558
1188.72,8.5,8.54,115.536,-375.275,4.828,7.051,8.327,2.411,0.318,0.023,3.127,102.529
1188.872,8.5,8.555,105.933,-375.357,4.477,6.579,7.817,2.399,0.317,0.024,3.122,102.785
1189.025,8.5,8.637,111.566,-375.513,4.375,6.44,7.606,2.404,0.328,0.017,3.107,103.436
1189.177,8.5,8.678,97.912,-375.638,4.608,6.874,8.054,2.387,0.333,0.009,3.075,104.514
1189.33,8.5,8.768,113.17,-375.879,4.36,6.3,7.376,2.37,0.331,0.004,3.072,105.448
1189.482,8.5,8.734,112.847,-375.608,4.14,5.867,6.895,2.375,0.326,0.001,3.081,105.727
1189.634,8.5,8.701,106.913,-375.138,4.734,6.758,7.983,2.382,0.318,0.0,3.092,105.931
1189.787,8.5,8.712,102.011,-375.036,4.671,6.506,7.667,2.374,0.325,-0.001,3.081,105.741
1189.939,8.5,8.682,99.905,-375.154,4.619,6.445,7.595,2.39,0.339,0.002,3.058,105.572
1190.092,8.5,8.712,108.201,-375.018,4.518,6.344,7.503,2.389,0.332,0.008,3.08,105.835
1190.244,8.5,8.757,104.848,-374.513,4.361,6.051,7.177,2.387,0.342,0.012,3.12,106.079
1190.396,8.5,8.705,103.3,-374.096,4.827,6.776,8.091,2.409,0.33,0.013,3.163,107.705
1190.549,8.5,8.757,108.816,-373.281,4.907,6.887,8.292,2.406,0.326,0.008,3.14,107.028
1190.701,8.5,8.712,110.017,-372.538,4.834,6.806,8.23,2.394,0.329,0.004,3.107,106.298
1190.854,8.5,8.69,112.799,-371.983,4.777,6.885,8.377,2.374,0.335,0.001,3.04,106.806
