DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS
34.7472,17.0,,,,,,,,,,,,29.5321,660.8993
34.8996,17.0,,,,,,,,,,,,29.5321,659.1568
35.052,17.0,,,,,,,,,,,,29.5321,658.3304
35.2044,17.0,,,,,,,,,,,,29.5321,659.2728
35.3568,17.0,,,,,,,,,,,,29.5321,660.2153
35.5092,17.0,,,,,,,,,,,,29.5321,661.1799
35.6616,17.0,,,,,,,,,,,,29.5321,662.4908
35.814,17.0,,,,,,,,,,,,29.5321,663.8016
35.9664,17.0,,,,,,,,,,,,29.5321,665.1124
36.1188,17.0,,,,,,,,,,,,29.5321,664.465
36.2712,17.0,,,,,,,,,,,,29.5321,663.2637
36.4236,17.0,,,,,,,,,,,,29.5321,662.0624
36.576,17.0,,,,,,,,,,,,29.5321,662.3307
36.7284,17.0,,,,,,,,,,,,29.5321,664.0765
36.8808,17.0,,,,,,,,,,,,29.5321,665.8221
37.0332,17.0,,,,,,,,,,,,29.5321,666.7344
37.1856,17.0,,,,,,,,,,,,29.5321,664.6546
37.338,17.0,,,,,,,,,,,,29.5321,662.5747
37.4904,17.0,,,,,,,,,,,,29.5321,660.4949
37.6428,17.0,,,,,,,,,,,,29.5321,662.0306
37.7952,17.0,,,,,,,,,,,,29.5321,663.8095
37.9476,17.0,,,,,,,,,,,,29.5321,665.5884
38.1,17.0,,,,,,,,,,,,29.5321,665.8275
38.2524,17.0,,,,,,,,,,,,29.5321,665.2596
38.4048,17.0,,,,,,,,,,,,29.5321,664.6918
38.5572,17.0,,,,,,,,,,,,29.5321,665.0981
38.7096,17.0,,,,,,,,,,,,29.5321,667.1257
38.862,17.0,,,,,,,,,,,,29.5321,669.1533
39.0144,17.0,,,,,,,,,,,,29.5321,670.8997
39.1668,17.0,,,,,,,,,,,,29.5321,669.9526
39.3192,17.0,,,,,,,,,,,,29.5321,669.0056
39.4716,17.0,,,,,,,,,,,,29.5321,668.0586
39.624,17.0,,,,,,,,,,,,29.5321,666.1063
39.7764,17.0,,,,,,,,,,,,29.5321,663.9238
39.9288,17.0,,,,,,,,,,,,29.5321,661.7412
40.0812,17.0,,,,,,,,,,,,29.5321,661.5538
40.2336,17.0,,,,,,,,,,,,29.5321,663.116
40.386,17.0,,,,,,,,,,,,29.5321,664.678
40.5384,17.0,,,,,,,,,,,,29.5321,666.0206
40.6908,17.0,,,,,,,,,,,,29.5321,666.7114
40.8432,17.0,,,,,,,,,,,,29.5321,667.4021
40.9956,17.0,,,,,,,,,,,,29.5321,668.0928
41.148,15.594,,,,,,,,,,,,29.5321,666.814
41.3004,14.1462,,,,,,,,,,,,29.5321,665.4766
41.4528,12.6984,,,,,,,,,,,,29.5321,664.1392
41.6052,12.25,,,,,,,,,,,,29.5321,664.6332
41.7576,12.25,,,,,,,,,,,,29.5321,665.9489
41.91,12.25,,,,,,,,,,,,29.5321,667.2646
42.0624,12.25,,,,,,,,,,,,29.5321,667.8827
42.2148,12.25,,,,,,,,,,,,29.5321,667.4946
42.3672,12.25,,,,,,,,,,,,29.5321,667.1065
42.5196,12.25,,,,,,,,,,,,29.5321,666.7271
42.672,12.25,,,,,,,,,,,,29.5321,666.4065
42.8244,12.25,,,,,,,,,,,,29.5321,666.0859
42.9768,12.25,,,,,,,,,,,,29.5321,665.7653
43.1292,12.25,,,,,,,,,,,,29.5321,666.8576
43.2816,12.25,,,,,,,,,,,,29.5321,668.2037
43.434,12.25,,,,,,,,,,,,29.5321,669.5497
43.5864,12.25,,,,,,,,,,,,29.5321,669.3371
43.7388,12.25,,,,,,,,,,,,29.5321,667.9338
43.8912,12.25,,,,,,,,,,,,29.5321,666.5306
44.0436,12.25,,,,,,,,,,,,29.5321,665.7508
44.196,12.25,,,,,,,,,,,,29.5321,666.5268
44.3484,12.25,,,,,,,,,,,,29.5321,667.3027
44.5008,12.25,,,,,,,,,,,,29.5321,668.0779
44.6532,12.25,,,,,,,,,,,,29.5321,668.692
44.8056,12.25,,,,,,,,,,,,29.5321,669.3062
44.958,12.25,,,,,,,,,,,,29.5321,669.9204
45.1104,12.25,,,,,,,,,,,,29.5321,670.5708
45.2628,12.25,,,,,,,,,,,,29.5321,671.2349
45.4152,12.25,,,,,,,,,,,,29.5321,671.899
45.5676,12.25,,,,,,,,,,,,29.5321,672.3061
45.72,12.25,,,,,,,,,,,,29.5321,672.3905
45.8724,12.25,,,,,,,,,,,,29.5321,672.475
46.0248,12.25,,,,,,,,,,,,29.5321,672.6268
46.1772,12.25,,,,,,,,,,,,29.5321,673.1259
46.3296,12.25,,,,,,,,,,,,29.5321,673.6249
46.482,12.25,,,,,,,,,,,,29.5321,674.1239
46.6344,12.25,,,,,,,,,,,,29.5321,673.4536
46.7868,12.25,,,,,,,,,,,,29.5321,672.6266
46.9392,12.25,,,,,,,,,,,,29.5321,671.7997
47.0916,12.25,,,,,,,,,,,,29.5321,670.3779
47.244,12.25,,,,,,,,,,,,29.5321,668.561
47.3964,12.25,,,,,,,,,,,,29.5321,666.7442
47.5488,12.25,,,,,,,,,,,,29.5321,665.6403
47.7012,12.25,,,,,,,,,,,,29.5321,666.0496
47.8536,12.25,,,,,,,,,,,,29.5321,666.4589
48.006,12.25,,,,,,,,,,,,29.5321,666.891
48.1584,12.25,,,,,,,,,,,,29.5321,667.877
48.3108,12.25,,,,,,,,,,,,29.5321,668.863
48.4632,12.25,,,,,,,,,,,,29.5321,669.8491
48.6156,12.25,,,,,,,,,,,,29.5321,672.6601
48.768,12.25,,,,,,,,,,,,29.5321,676.0521
48.9204,12.25,,,,,,,,,,,,29.5321,679.4442
49.0728,12.25,,,,,,,,,,,,29.5321,679.9915
49.2252,12.25,,,,,,,,,,,,29.5321,677.4285
49.3776,12.25,,,,,,,,,,,,29.5321,674.8654
49.53,12.25,,,,,,,,,,,,29.5321,672.9991
49.6824,12.25,,,,,,,,,,,,29.5321,673.9757
49.8348,12.25,,,,,,,,,,,,29.5321,674.9524
49.9872,12.25,,,,,,,,,,,,29.5321,675.929
50.1396,12.25,,,,,,,,,,,,29.5321,675.108
50.292,12.25,,,,,,,,,,,,29.5321,674.1223
50.4444,12.25,,,,,,,,,,,,29.5321,673.1364
50.5968,12.25,,,,,,,,,,,,29.5321,671.6474
50.7492,12.25,,,,,,,,,,,,29.5321,669.8693
50.9016,12.25,,,,,,,,,,,,29.5321,668.0913
51.054,12.25,,,,,,,,,,,,29.5321,665.4585
51.2064,12.25,,,,,,,,,,,,29.5321,661.2683
51.3588,12.25,,,,,,,,,,,,29.5321,657.0781
51.5112,12.25,,,,,,,,,,,,29.5321,653.7161
51.6636,12.25,,,,,,,,,,,,29.5321,660.7964
51.816,12.25,,,,,,,,,,,,29.5321,667.8766
51.9684,12.25,,,,,,,,,,,,29.5321,674.9569
52.1208,12.25,,,,,,,,,,,,29.5321,675.0375
52.2732,12.25,,,,,,,,,,,,29.5321,673.2871
52.4256,12.25,,,,,,,,,,,,29.5321,671.5367
52.578,12.25,,,,,,,,,,,,29.5321,670.4507
52.7304,12.25,,,,,,,,,,,,29.5321,669.9983
52.8828,12.25,,,,,,,,,,,,29.5321,669.546
53.0352,12.25,,,,,,,,,,,,29.5321,669.0608
53.1876,12.25,,,,,,,,,,,,29.5321,668.4666
53.34,12.25,,,,,,,,,,,,29.5321,667.8723
53.4924,12.25,,,,,,,,,,,,29.5321,667.278
53.6448,12.25,,,,,,,,,,,,29.5321,668.1683
53.7972,12.25,,,,,,,,,,,,29.5321,669.1365
53.9496,12.25,,,,,,,,,,,,29.5321,670.1047
54.102,12.25,,,,,,,,,,,,29.5321,671.1921
54.2544,12.25,,,,,,,,,,,,29.5321,672.3384
54.4068,12.25,,,,,,,,,,,,29.5321,673.4846
54.5592,12.25,,,,,,,,,,,,29.5321,673.2522
54.7116,12.25,,,,,,,,,,,,29.5321,670.8492
54.864,12.25,,,,,,,,,,,,29.5321,668.4464
55.0164,12.25,,,,,,,,,,,,29.5321,666.463
55.1688,12.25,,,,,,,,,,,,29.5321,667.9584
55.3212,12.25,,,,,,,,,,,,29.5321,669.4538
55.4736,12.25,,,,,,,,,,,,29.5321,670.9492
55.626,12.25,,,,,,,,,,,,29.5321,672.525
55.7784,12.25,,,,,,,,,,,,29.5321,674.1175
55.9308,12.25,,,,,,,,,,,,29.5321,675.7101
56.0832,12.25,,,,,,,,,,,,29.5321,676.0566
56.2356,12.25,,,,,,,,,,,,29.5321,675.3668
56.388,12.25,,,,,,,,,,,,29.5321,674.677
56.5404,12.25,,,,,,,,,,,,29.5321,673.3731
56.6928,12.25,,,,,,,,,,,,29.5321,670.3668
56.8452,12.25,,,,,,,,,,,,29.5321,667.3604
56.9976,12.25,,,,,,,,,,,,29.5321,664.3541
57.15,12.25,,,,,,,,,,,,29.5321,666.5515
