DEPTH,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP
407.0604,8.5,9.4378,2.2792,123.3324,124.7113,0.343471,3.0558,25.3523,21.394,9.4014,-273.8244
407.2128,8.5,9.3811,2.2969,118.4018,107.0157,0.357042,3.1505,22.7784,19.1731,9.5956,-273.5863
407.3652,8.5,9.3266,2.3207,107.6838,112.8083,0.314741,3.2228,18.6429,15.5793,9.191,-273.0342
407.5176,8.5,9.024,2.4178,97.0975,89.5024,0.265146,3.682,33.8945,27.0232,15.2131,-272.1828
407.67,8.5,8.8812,2.5163,85.2224,81.5559,0.203425,4.2811,81.4833,61.2578,33.4228,-271.2461
407.8224,8.5,8.8493,2.5703,76.925,63.7766,0.160878,4.4696,146.4777,104.3743,59.5969,-270.1788
407.9748,8.5,8.8046,2.6022,73.1844,51.9689,0.141796,4.4828,154.9461,103.5976,63.1853,-268.8253
408.1272,8.5,8.7593,2.5741,70.8934,46.7066,0.135064,4.3961,141.8765,91.5375,56.1057,-267.6372
408.2796,8.5,8.7212,2.541,70.5932,42.2354,0.136518,4.3943,123.7028,77.6741,47.89,-266.5714
408.432,8.5,8.6421,2.5467,68.7789,48.7115,0.136078,4.3146,109.7235,68.681,40.9116,-265.5811
408.5844,8.5,8.5451,2.5889,67.6995,52.0623,0.13375,4.3166,79.9434,51.3983,28.0599,-264.6938
408.7368,8.5,8.5171,2.5692,66.3551,46.781,0.132399,4.1093,62.2368,41.4069,20.0255,-263.9124
408.8892,8.5,8.4954,2.5579,69.3622,51.0247,0.13935,4.0341,74.8767,50.0818,19.3685,-263.439
409.0416,8.5,8.4925,2.5116,83.6545,62.2299,0.167267,3.818,60.9715,40.0302,12.2998,-263.3753
409.194,8.5,8.471,2.3151,99.6828,83.1712,0.230821,3.2562,43.2158,28.5687,8.1288,-263.3466
409.3464,8.5,8.4489,2.1726,115.5998,87.3919,0.307993,2.5828,49.2662,30.5541,7.0979,-263.5026
409.4988,8.5,8.4398,2.1686,127.2553,84.641,0.357906,2.4808,53.3499,30.6579,5.9531,-263.7022
409.6512,8.5,8.4278,2.1607,129.7861,82.6809,0.35721,2.4319,55.1056,29.5372,4.8242,-263.8694
409.8036,8.5,8.4532,2.1379,130.9785,83.0204,0.369415,2.4712,55.4413,27.731,3.9791,-263.9118
409.956,8.5,8.4469,2.1296,131.3559,78.7612,0.347551,2.44,51.0846,25.1447,3.5319,-264.1437
410.1084,8.5,8.4264,2.1124,131.1692,86.796,0.34893,2.4836,49.0987,24.573,3.4469,-264.6371
410.2608,8.5,8.4271,2.1387,131.247,90.3164,0.339336,2.4692,50.0553,24.7382,3.3083,-265.0879
410.4132,8.5,8.4558,2.1405,131.0052,87.1009,0.353235,2.5227,48.4951,23.5011,3.1051,-265.6652
410.5656,8.5,8.4378,2.1386,130.7892,85.4705,0.348066,2.5246,48.1597,22.4289,2.8915,-266.4587
410.718,8.5,8.4344,2.1285,130.9436,86.6146,0.334004,2.5864,51.6372,22.9627,2.8502,-267.2802
410.8704,8.5,8.407,2.1367,131.2064,80.256,0.348096,2.5978,50.5253,21.5263,2.7647,-267.9871
411.0228,8.5,8.4457,2.1324,130.763,84.0154,0.362672,2.6155,44.3274,19.4527,2.6785,-268.3957
411.1752,8.5,8.4597,2.1576,130.7991,84.8877,0.365794,2.5689,46.7869,21.1208,2.9797,-268.7322
411.3276,8.5,8.5275,2.1959,130.9389,79.0235,0.353032,2.7699,46.4011,20.7045,2.8653,-269.0865
411.48,8.5,8.5828,2.1427,131.1139,75.0148,0.324753,2.6283,45.6822,20.7583,2.7398,-269.0525
411.6324,8.5,8.5941,2.126,131.3599,65.9518,0.319529,2.4973,41.5292,20.2507,2.7771,-268.5699
411.7848,8.5,8.6088,2.1181,131.3696,80.7584,0.322419,2.5145,37.5374,19.3796,2.9654,-267.9509
411.9372,8.5,8.6228,2.1331,131.4137,75.311,0.343128,2.5096,38.9973,19.998,3.1306,-267.5763
412.0896,8.5,8.6713,2.1152,131.2018,84.8469,0.346701,2.6131,43.2288,21.2373,3.262,-267.3981
412.242,8.5,8.7871,2.1146,131.1957,76.7407,0.356379,2.4641,45.3997,21.2202,3.4577,-267.1371
412.3944,8.5,8.9212,2.135,131.564,75.5542,0.359289,2.4016,44.6638,21.3727,3.9444,-266.6937
