DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
1713.1284,8.5,8.727,2.4809,0.0013725,88.8099,122.6806,0.290066,0.289071,3.2408,5.3169,5.5472,-440.612,48.2664,1685.959
1713.2808,8.5,8.7466,2.4875,0.0015706,88.8222,124.3348,0.29361,0.292644,3.2398,5.2347,5.4626,-440.5577,48.2664,1682.2111
1713.4332,8.5,8.7662,2.494,0.0017687,88.8344,125.989,0.297154,0.296218,3.2387,5.1526,5.3779,-440.5035,48.2664,1678.4631
1713.5856,8.5,8.7591,2.4922,0.0016215,88.6653,124.8574,0.294709,0.293709,3.2357,5.1159,5.3385,-440.6309,48.2664,1675.5725
1713.738,8.5,8.7311,2.4839,0.0012048,88.3548,121.5518,0.287591,0.286454,3.231,5.1146,5.3342,-440.9002,48.2664,1673.3508
1713.8904,8.5,8.7032,2.4756,0.000788,88.0443,118.2462,0.280474,0.2792,3.2263,5.1134,5.33,-441.1695,48.2664,1671.1292
1714.0428,8.5,8.6949,2.4694,0.0016433,87.9045,115.2541,0.27639,0.275046,3.2228,5.1179,5.3344,-441.3155,48.2664,1674.8801
1714.1952,8.5,8.7371,2.4686,0.0057558,88.2022,113.0646,0.280074,0.278834,3.2221,5.1373,5.3608,-441.1459,48.2664,1693.925
1714.3476,8.5,8.7793,2.4678,0.0098683,88.4999,110.875,0.283757,0.282621,3.2215,5.1566,5.3872,-440.9763,48.2664,1712.9701
1714.5,8.5,8.8215,2.4669,0.0139807,88.7975,108.6855,0.287441,0.286409,3.2209,5.176,5.4136,-440.8068,48.2664,1732.0151
1714.6524,8.5,8.821,2.4684,0.0200943,88.5879,109.9971,0.294925,0.293814,3.2576,5.1134,5.3401,-440.3507,48.2664,1720.7346
1714.8048,8.5,8.8204,2.4698,0.0262079,88.3782,111.3087,0.302408,0.30122,3.2943,5.0509,5.2666,-439.8947,48.2664,1709.4542
1714.9572,8.5,8.8199,2.4712,0.0323215,88.1686,112.6203,0.309891,0.308625,3.331,4.9883,5.1932,-439.4386,48.2664,1698.1737
1715.1096,8.5,8.8,2.4702,0.0262947,87.9769,113.3342,0.308893,0.307682,3.3236,5.0048,5.2152,-439.2179,48.2664,1697.1418
1715.262,8.5,8.7725,2.4683,0.0155269,87.7924,113.8148,0.304581,0.30348,3.2989,5.0522,5.2746,-439.0891,48.2664,1700.1122
1715.4144,8.5,8.745,2.4664,0.0047591,87.6078,114.2953,0.30027,0.299277,3.2741,5.0996,5.3339,-438.9602,48.2664,1703.0826
1715.5668,8.5,8.7142,2.4674,-0.0014131,87.4793,113.8929,0.296857,0.295937,3.2568,5.1445,5.3853,-438.9711,48.2664,1700.4791
1715.7192,8.5,8.6791,2.4719,-0.0016963,87.4226,112.3591,0.294596,0.293701,3.249,5.1863,5.4266,-439.1612,48.2664,1690.7332
1715.8716,8.5,8.644,2.4764,-0.0019795,87.366,110.8252,0.292336,0.291465,3.2412,5.2282,5.4678,-439.3513,48.2664,1680.9872
1716.024,8.5,8.6181,2.4811,-0.0026806,87.3005,109.6871,0.290303,0.289445,3.236,5.2712,5.5118,-439.5226,48.2664,1674.991
1716.1764,8.5,8.641,2.4869,-0.005617,87.1877,110.6663,0.289494,0.288581,3.2443,5.3201,5.5704,-439.5931,48.2664,1689.0557
1716.3288,8.5,8.664,2.4926,-0.0085535,87.075,111.6455,0.288685,0.287718,3.2526,5.3691,5.6289,-439.6637,48.2664,1703.1205
1716.4812,8.5,8.6869,2.4984,-0.01149,86.9622,112.6247,0.287876,0.286854,3.2609,5.4181,5.6875,-439.7343,48.2664,1717.1853
1716.6336,8.5,8.6603,2.5002,-0.0081374,86.7275,111.8931,0.285642,0.284611,3.2524,5.4683,5.7446,-439.5233,48.2664,1708.853
1716.786,8.5,8.6268,2.5014,-0.0038998,86.4757,110.9209,0.283208,0.282173,3.2416,5.5186,5.8015,-439.2726,48.2664,1697.369
1716.9384,8.5,8.5932,2.5026,0.0003379,86.2239,109.9486,0.280773,0.279735,3.2308,5.569,5.8585,-439.022,48.2664,1685.8851
1717.0908,8.5,8.5914,2.503,0.0023731,86.2761,110.0058,0.277513,0.276306,3.2303,5.5832,5.8717,-438.9788,48.2664,1692.3986
1717.2432,8.5,8.6113,2.5031,0.0029142,86.5346,110.7614,0.273694,0.272204,3.2369,5.5729,5.8554,-439.0764,48.2664,1711.1218
1717.3956,8.5,8.6311,2.5031,0.0034553,86.7931,111.517,0.269874,0.268102,3.2435,5.5627,5.8391,-439.174,48.2664,1729.8451
1717.548,8.5,8.6397,2.5047,0.0034729,86.7799,111.7492,0.266762,0.264766,3.2507,5.6323,5.9073,-439.371,48.2664,1737.8516
1717.7004,8.5,8.6237,2.5097,0.0023521,86.1758,110.8429,0.265189,0.263095,3.2592,5.876,6.1594,-439.7841,48.2664,1722.5491
1717.8528,8.5,8.6076,2.5147,0.0012312,85.5717,109.9365,0.263616,0.261425,3.2677,6.1196,6.4116,-440.1973,48.2664,1707.2466
1718.0052,8.5,8.5922,2.5192,0.0001565,85.0162,109.122,0.262691,0.260423,3.2755,6.3466,6.6465,-440.607,48.2664,1693.0143
1718.1576,8.5,8.594,2.5106,0.0003875,85.8355,110.9071,0.280101,0.278349,3.2657,6.103,6.3968,-440.92,48.2664,1709.076
1718.31,8.5,8.5957,2.502,0.0006185,86.6549,112.6922,0.297511,0.296276,3.2558,5.8593,6.147,-441.233,48.2664,1725.1379
1718.4624,8.5,8.5975,2.4934,0.0008495,87.4743,114.4773,0.31492,0.314203,3.246,5.6157,5.8973,-441.546,48.2664,1741.1997
1718.6148,8.5,8.6071,2.4941,0.0006537,87.8225,114.2013,0.311949,0.311283,3.2406,5.5127,5.7906,-441.4325,48.2664,1731.9794
1718.7672,8.5,8.6192,2.4977,0.0003181,88.0165,113.2503,0.302302,0.301535,3.2366,5.4559,5.7308,-441.1794,48.2664,1714.4785
1718.9196,8.5,8.6313,2.5014,-1.75e-05,88.2104,112.2992,0.292655,0.291787,3.2327,5.3991,5.671,-440.9262,48.2664,1696.9778
1719.072,8.5,8.6295,2.5033,-0.0001344,88.2572,113.1536,0.288681,0.287776,3.2213,5.3866,5.6554,-440.7022,48.2664,1694.0117
1719.2244,8.5,8.6122,2.503,-7.2e-06,88.1398,116.024,0.291041,0.290174,3.2017,5.4236,5.689,-440.5107,48.2664,1707.2762
1719.3768,8.5,8.595,2.5028,0.0001199,88.0224,118.8945,0.293401,0.292571,3.182,5.4606,5.7226,-440.3193,48.2664,1720.5409
1719.5292,8.5,8.5842,2.5009,8.6e-05,87.9787,121.0161,0.295209,0.294407,3.1712,5.4816,5.7405,-440.2303,48.2664,1731.7618
1719.6816,8.5,8.6008,2.492,-0.0006279,88.2464,119.9786,0.294685,0.293875,3.1977,5.4353,5.6923,-440.5737,48.2664,1734.3605
1719.834,8.5,8.6175,2.4831,-0.0013417,88.5141,118.941,0.294161,0.293343,3.2241,5.389,5.6442,-440.9171,48.2664,1736.959
1719.9864,8.5,8.6341,2.4742,-0.0020556,88.7818,117.9035,0.293637,0.292812,3.2506,5.3426,5.596,-441.2606,48.2664,1739.5576
1720.1388,8.5,8.6028,2.4735,-0.0007485,88.4141,117.7985,0.290601,0.289793,3.251,5.3743,5.6209,-441.3387,48.2664,1723.4
1720.2912,8.5,8.5668,2.4736,0.0007567,87.9841,117.7848,0.287318,0.28653,3.2489,5.4137,5.653,-441.3909,48.2664,1705.4045
1720.4436,8.5,8.5309,2.4737,0.0022619,87.5541,117.7712,0.284036,0.283268,3.2468,5.4531,5.6851,-441.4431,48.2664,1687.4091
1720.596,8.5,8.5378,2.4764,0.0030976,87.5641,118.0943,0.280705,0.27979,3.2284,5.4194,5.6566,-441.1878,48.2664,1701.1202
1720.7484,8.5,8.5699,2.4805,0.0035399,87.8326,118.6153,0.277347,0.276186,3.2005,5.3429,5.5925,-440.7518,48.2664,1733.459
1720.9008,8.5,8.602,2.4847,0.0039823,88.101,119.1363,0.273988,0.272582,3.1726,5.2664,5.5285,-440.3159,48.2664,1765.7979
1721.0532,8.5,8.6101,2.4833,0.0042951,88.241,118.2793,0.272179,0.270652,3.1435,5.2126,5.4856,-439.9717,48.2664,1778.8483
1721.2056,8.5,8.5735,2.4714,0.0043665,88.1415,114.8527,0.273261,0.271844,3.1119,5.2011,5.4825,-439.7986,48.2664,1755.9323
1721.358,8.5,8.537,2.4596,0.0044378,88.0419,111.426,0.274342,0.273036,3.0804,5.1896,5.4793,-439.6254,48.2664,1733.0164
1721.5104,8.5,8.5038,2.4491,0.0046805,87.9286,108.273,0.275671,0.27448,3.0546,5.1825,5.481,-439.4441,48.2664,1712.7646
1721.6628,8.5,8.5175,2.4574,0.0072616,87.6264,108.8557,0.280393,0.279363,3.1074,5.2352,5.5496,-439.1504,48.2664,1728.8901
1721.8152,8.5,8.5312,2.4657,0.0098427,87.3241,109.4384,0.285114,0.284246,3.1601,5.2879,5.6183,-438.8568,48.2664,1745.0156
1721.9676,8.5,8.5449,2.474,0.0124238,87.0219,110.0211,0.289835,0.289129,3.2129,5.3406,5.687,-438.5632,48.2664,1761.1412
1722.12,8.5,8.5258,2.4768,0.0126857,86.569,110.5238,0.288785,0.288148,3.2446,5.4586,5.7996,-438.6563,48.2664,1749.1891
1722.2724,8.5,8.4979,2.478,0.0123215,86.0753,111.0049,0.286177,0.285583,3.2705,5.5941,5.9241,-438.8539,48.2664,1729.656
1722.4248,8.5,8.4701,2.4792,0.0119572,85.5816,111.4859,0.283569,0.283018,3.2965,5.7296,6.0486,-439.0514,48.2664,1710.1229
1722.5772,8.5,8.4824,2.4811,0.0094642,84.9523,111.122,0.279047,0.278306,3.3071,5.8992,6.2151,-438.9946,48.2664,1712.8452
1722.7296,8.5,8.5339,2.4836,0.0048976,84.1908,109.9351,0.27266,0.271502,3.3026,6.1019,6.4225,-438.6901,48.2664,1737.2466
1722.882,8.5,8.5855,2.4861,0.0003309,83.4292,108.7482,0.266273,0.264699,3.2981,6.3046,6.63,-438.3856,48.2664,1761.6478
1723.0344,8.5,8.6203,2.4874,-0.0031063,82.953,108.6716,0.260092,0.258242,3.2978,6.4311,6.7575,-438.1156,48.2664,1776.8842
1723.1868,8.5,8.5978,2.4844,-0.0026697,83.4552,112.4035,0.254617,0.252977,3.312,6.2962,6.6105,-437.9641,48.2664,1760.6826
1723.3392,8.5,8.5754,2.4814,-0.002233,83.9574,116.1355,0.249142,0.247712,3.3262,6.1613,6.4635,-437.8127,48.2664,1744.4811
1723.4916,8.5,8.5529,2.4784,-0.0017963,84.4596,119.8675,0.243667,0.242447,3.3404,6.0264,6.3166,-437.6613,48.2664,1728.2794
1723.644,8.5,8.5827,2.4836,-0.0025628,84.4481,120.2187,0.243987,0.242683,3.3106,6.0588,6.3508,-438.0097,48.2664,1737.5416
1723.7964,8.5,8.6156,2.4893,-0.0033994,84.4066,120.3727,0.244645,0.24324,3.2783,6.101,6.3957,-438.3873,48.2664,1748.2893
1723.9488,8.5,8.6485,2.4949,-0.0042361,84.3651,120.5266,0.245304,0.243798,3.246,6.1431,6.4405,-438.7648,48.2664,1759.0369
1724.1012,8.5,8.667,2.4944,-0.0040537,84.8255,120.5113,0.247817,0.246162,3.2419,6.0807,6.3824,-439.0685,48.2664,1758.7473
1724.2536,8.5,8.6783,2.4908,-0.0033557,85.5398,120.4103,0.251268,0.24944,3.2521,5.9655,6.2722,-439.3348,48.2664,1752.8739
1724.406,8.5,8.6895,2.4871,-0.0026577,86.2541,120.3092,0.25472,0.252719,3.2622,5.8503,6.162,-439.601,48.2664,1747.0004
1724.5584,8.5,8.6906,2.483,-0.0023017,86.7328,119.0028,0.256986,0.254885,3.2642,5.7596,6.0728,-439.7794,48.2664,1743.8608
1724.7108,8.5,8.6752,2.4779,-0.0024962,86.8321,115.7562,0.257344,0.255261,3.253,5.7083,6.0173,-439.8163,48.2664,1745.1215
1724.8632,8.5,8.6598,2.4728,-0.0026907,86.9313,112.5095,0.257702,0.255637,3.2418,5.657,5.9619,-439.8532,48.2664,1746.3822
1725.0156,8.5,8.6463,2.4682,-0.002876,86.9962,109.7079,0.258943,0.256927,3.2312,5.6134,5.9135,-439.8661,48.2664,1745.9751
1725.168,8.5,8.6491,2.467,-0.0029798,86.7595,110.808,0.26793,0.266237,3.2254,5.6372,5.9277,-439.6689,48.2664,1730.9423
1725.3204,8.5,8.6518,2.4658,-0.0030837,86.5228,111.9082,0.276917,0.275548,3.2197,5.6609,5.9419,-439.4716,48.2664,1715.9094
1725.4728,8.5,8.6546,2.4647,-0.0031876,86.286,113.0083,0.285904,0.284858,3.2139,5.6847,5.9561,-439.2744,48.2664,1700.8766
1725.6252,8.5,8.6465,2.4695,-0.0026539,86.3738,112.7567,0.278735,0.277503,3.2082,5.6963,5.9624,-439.4491,48.2664,1717.1144
1725.7776,8.5,8.636,2.4757,-0.0019816,86.532,112.2115,0.268056,0.266527,3.2024,5.7052,5.967,-439.7046,48.2664,1740.1459
1725.93,8.5,8.6255,2.4819,-0.0013094,86.6903,111.6662,0.257377,0.255551,3.1966,5.7142,5.9716,-439.9601,48.2664,1763.1772
