DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
89.4588,8.5,,,,,83.7466,,,,,,,,609.1741
89.6112,8.5,,,,,83.1875,,,,,,,,609.299
89.7636,8.5,,,,,81.4959,,,,,,,,609.579
89.916,8.5,,,,,79.8044,,,,,,,,609.859
90.0684,8.5,,,,,79.2073,,,,,,,,609.53
90.2208,8.5,,,,,79.9544,,,,,,,,608.4531
90.3732,8.5,,,,,80.7015,,,,,,,,607.3761
90.5256,8.5,,,,,81.3888,,,,,,,,606.7842
90.678,8.5,,,,,81.7797,,,,,,,,608.5952
90.8304,8.5,,,,,82.1707,,,,,,,,610.4061
90.9828,8.5,,,,,82.5616,,,,,,,,612.2169
91.1352,8.5,,,,,80.545,,,,,,,,610.6155
91.2876,8.5,,,,,78.2222,,,,,,,,608.58
91.44,8.5,,,,,75.8993,,,,,,,,606.5444
91.5924,8.5,,,,,75.9997,,,,,,,,605.9296
91.7448,8.5,,,,,77.6736,,,,,,,,606.2373
91.8972,8.5,,,,,79.3475,,,,,,,,606.5451
92.0496,8.5,,,,,80.0985,,,,,,,,607.1322
92.202,8.5,,,,,78.9367,,,,,,,,608.2983
92.3544,8.5,,,,,77.7749,,,,,,,,609.4644
92.5068,8.5,,,,,76.6011,,,,,,,,610.5906
92.6592,8.5,,,,,75.1709,,,,,,,,610.8626
92.8116,8.5,,,,,73.7408,,,,,,,,611.1347
92.964,8.5,,,,,72.3107,,,,,,,,611.4067
93.1164,8.5,,,,,72.9986,,,,,,,,611.6807
93.2688,8.5,,,,,74.3416,,,,,,,,611.9554
93.4212,8.5,,,,,75.6846,,,,,,,,612.23
93.5736,8.5,,,,,76.1142,,,,,,,,612.5163
93.726,8.5,,,,,75.5659,,,,,,,,612.8152
93.8784,8.5,,,,,75.0175,,,,,,,,613.1142
94.0308,8.5,,,,,74.7801,,,,,,,,613.1458
94.1832,8.5,,,,,75.7703,,,,,,,,612.1219
94.3356,8.5,,,,,76.7606,,,,,,,,611.0981
94.488,8.5,,,,,77.7508,,,,,,,,610.0742
94.6404,8.5,,,,,79.0969,,,,,,,,609.9861
94.7928,8.5,,,,,80.4734,,,,,,,,609.978
94.9452,8.5,,,,,81.85,,,,,,,,609.9699
95.0976,8.5,,,,,81.1884,,,,,,,,610.5721
95.25,8.5,,,,,79.3825,,,,,,,,611.5171
95.4024,8.5,,,,,77.5766,,,,,,,,612.462
95.5548,8.5,,,,,75.7651,,,,,,,,613.1376
95.7072,8.5,,,,,73.9436,,,,,,,,613.3337
95.8596,8.5,,,,,72.122,,,,,,,,613.5298
96.012,8.5,,,,,70.5374,,,,,,,,613.7567
96.1644,8.5,,,,,71.7255,,,,,,,,614.3442
96.3168,8.5,,,,,72.9137,,,,,,,,614.9318
96.4692,8.5,,,,,74.1018,,,,,,,,615.5193
96.6216,8.5,,,,,75.4336,,,,,,,,615.56
96.774,8.5,,,,,76.8017,,,,,,,,615.4622
96.9264,8.5,,,,,78.1699,,,,,,,,615.3644
97.0788,8.5,,,,,77.7597,,,,,,,,614.9052
97.2312,8.5,,,,,75.6884,,,,,,,,614.1084
97.3836,8.5,,,,,73.6171,,,,,,,,613.3116
97.536,8.5,,,,,72.1295,,,,,,,,612.1146
97.6884,8.5,,,,,72.529,,,,,,,,609.6236
97.8408,8.5,,,,,72.9285,,,,,,,,607.1326
97.9932,8.5,,,,,73.328,,,,,,,,604.6417
98.1456,8.5,,,,,72.5968,,,,,,,,605.395
98.298,8.5,,,,,71.8128,,,,,,,,606.2997
98.4504,8.5,,,,,71.0288,,,,,,,,607.2045
98.6028,8.5,,,,,71.4006,,,,,,,,606.9854
98.7552,8.5,,,,,72.33,,,,,,,,606.2241
98.9076,8.5,,,,,73.2594,,,,,,,,605.4627
99.06,8.5,,,,,73.4943,,,,,,,,605.0808
99.2124,8.5,,,,,72.6596,,,,,,,,605.2832
99.3648,8.5,,,,,71.8249,,,,,,,,605.4857
99.5172,8.5,,,,,71.2222,,,,,,,,605.817
99.6696,8.5,,,,,72.443,,,,,,,,607.1613
99.822,8.5,,,,,73.6638,,,,,,,,608.5056
99.9744,8.5,,,,,74.8846,,,,,,,,609.8499
100.1268,8.5,,,,,77.6468,,,,,,,,609.2093
100.2792,8.5,,,,,80.7204,,,,,,,,608.1679
100.4316,8.5,,,,,83.7939,,,,,,,,607.1265
100.584,8.5,,,,,84.8544,,,,,,,,606.5237
100.7364,8.5,,,,,84.2757,,,,,,,,606.2781
100.8888,8.5,,,,,83.6971,,,,,,,,606.0325
101.0412,8.5,,,,,83.282,,,,,,,,605.9046
101.1936,8.5,,,,,83.3083,,,,,,,,606.0947
101.346,8.5,,,,,83.3346,,,,,,,,606.2848
101.4984,8.5,,,,,83.361,,,,,,,,606.4749
101.6508,8.5,,,,,83.3254,,,,,,,,607.4577
101.8032,8.5,,,,,83.2891,,,,,,,,608.4489
101.9556,8.5,,,,,83.2528,,,,,,,,609.4402
102.108,8.5,,,,,81.9293,,,,,,,,610.1204
102.2604,8.5,,,,,80.0765,,,,,,,,610.6729
102.4128,8.5,,,,,78.2237,,,,,,,,611.2252
102.5652,8.5,,,,,76.4604,,,,,,,,611.3934
102.7176,8.5,,,,,74.8168,,,,,,,,611.0477
102.87,8.5,,,,,73.1732,,,,,,,,610.702
103.0224,8.5,,,,,71.7152,,,,,,,,610.3599
103.1748,8.5,,,,,71.3343,,,,,,,,610.0381
103.3272,8.5,,,,,70.9535,,,,,,,,609.7164
103.4796,8.5,,,,,70.5727,,,,,,,,609.3947
103.632,8.5,,,,,70.401,,,,,,,,608.565
103.7844,8.5,,,,,70.2616,,,,,,,,607.6568
103.9368,8.5,,,,,70.1222,,,,,,,,606.7486
104.0892,8.5,,,,,70.5368,,,,,,,,606.9841
104.2416,8.5,,,,,71.3439,,,,,,,,608.03
104.394,8.5,,,,,72.151,,,,,,,,609.0758
104.5464,8.5,,,,,73.1494,,,,,,,,610.0912
104.6988,8.5,,,,,74.5848,,,,,,,,611.0371
104.8512,8.5,,,,,76.0202,,,,,,,,611.983
105.0036,8.5,,,,,77.368,,,,,,,,612.9185
105.156,8.5,,,,,75.0959,,,,,,,,613.42
105.3084,8.5,,,,,72.8237,,,,,,,,613.9216
105.4608,8.5,,,,,70.5516,,,,,,,,614.4231
105.6132,8.5,,,,,72.1308,,,,,,,,614.8704
105.7656,8.5,,,,,75.0436,,,,,,,,615.2988
105.918,8.5,,,,,77.9564,,,,,,,,615.7272
106.0704,8.5,,,,,79.9016,,,,,,,,616.2866
106.2228,8.5,,,,,80.7198,,,,,,,,616.9982
106.3752,8.5,,,,,81.538,,,,,,,,617.71
106.5276,8.5,,,,,82.28,,,,,,,,618.1233
106.68,8.5,,,,,82.6779,,,,,,,,617.1872
106.8324,8.5,,,,,83.0758,,,,,,,,616.2511
106.9848,8.5,,,,,83.4737,,,,,,,,615.3151
107.1372,8.5,,,,,80.5257,,,,,,,,615.1134
107.2896,8.5,,,,,77.207,,,,,,,,614.9931
107.442,8.5,,,,,73.8883,,,,,,,,614.8728
107.5944,8.5,,,,,73.0981,,,,,,,,614.8718
107.7468,8.5,,,,,73.8615,,,,,,,,614.9441
107.8992,8.5,,,,,74.6248,,,,,,,,615.0164
108.0516,8.5,,,,,74.8905,,,,,,,,615.0735
108.204,8.5,,,,,74.1841,,,,,,,,615.1011
108.3564,8.5,,,,,73.4777,,,,,,,,615.1287
108.5088,8.5,,,,,72.8954,,,,,,,,615.2117
108.6612,8.5,,,,,74.3377,,,,,,,,616.1979
108.8136,8.5,,,,,75.7799,,,,,,,,617.184
108.966,8.5,,,,,77.2221,,,,,,,,618.1702
109.1184,8.5,,,,,76.4392,,,,,,,,617.2398
109.2708,8.5,,,,,75.0174,,,,,,,,615.759
109.4232,8.5,,,,,73.5955,,,,,,,,614.2781
109.5756,8.5,,,,,73.5573,,,,,,,,612.9714
109.728,8.5,,,,,74.9247,,,,,,,,611.8414
109.8804,8.5,,,,,76.292,,,,,,,,610.7115
110.0328,8.5,,,,,76.7704,,,,,,,,610.2255
110.1852,8.5,,,,,74.0072,,,,,,,,612.0879
110.3376,8.5,,,,,71.244,,,,,,,,613.9503
110.49,8.5,,,,,68.4807,,,,,,,,615.8126
110.6424,8.5,,,,,69.2542,,,,,,,,616.9046
110.7948,8.5,,,,,70.2761,,,,,,,,617.9425
110.9472,8.5,,,,,71.2979,,,,,,,,618.9804
111.0996,8.5,,,,,71.7494,,,,,,,,618.5103
111.252,8.5,,,,,71.8986,,,,,,,,617.2409
111.4044,8.5,,,,,72.0477,,,,,,,,615.9715
111.5568,8.5,,,,,72.1839,,,,,,,,615.4776
111.7092,8.5,,,,,72.2982,,,,,,,,616.289
111.8616,8.5,,,,,72.4124,,,,,,,,617.1005
112.014,8.5,,,,,72.4687,,,,,,,,617.8445
112.1664,8.5,,,,,71.951,,,,,,,,617.923
112.3188,8.5,,,,,71.4332,,,,,,,,618.0013
112.4712,8.5,,,,,70.9155,,,,,,,,618.0798
112.6236,8.5,,,,,71.516,,,,,,,,617.6208
112.776,8.5,,,,,72.3771,,,,,,,,617.0367
112.9284,8.5,,,,,73.2381,,,,,,,,616.4526
113.0808,8.5,,,,,74.4614,,,,,,,,616.1555
113.2332,8.5,,,,,76.0057,,,,,,,,616.1127
113.3856,8.5,,,,,77.5501,,,,,,,,616.0698
113.538,8.5,,,,,78.1403,,,,,,,,616.2437
113.6904,8.5,,,,,75.8581,,,,,,,,617.0697
113.8428,8.5,,,,,73.576,,,,,,,,617.8958
113.9952,8.5,,,,,71.2939,,,,,,,,618.7219
114.1476,8.5,,,,,71.2023,,,,,,,,619.081
114.3,8.5,,,,,71.1819,,,,,,,,619.4249
114.4524,8.5,,,,,71.1616,,,,,,,,619.7689
114.6048,8.5,,,,,71.1496,,,,,,,,620.2198
114.7572,8.5,,,,,71.1415,,,,,,,,620.7195
114.9096,8.5,,,,,71.1334,,,,,,,,621.2191
115.062,8.5,,,,,71.6758,,,,,,,,621.4223
115.2144,8.5,,,,,73.021,,,,,,,,621.1932
115.3668,8.5,,,,,74.3662,,,,,,,,620.9642
115.5192,8.5,,,,,75.4653,,,,,,,,620.6614
115.6716,8.5,,,,,74.857,,,,,,,,619.8473
115.824,8.5,,,,,74.2487,,,,,,,,619.0332
115.9764,8.5,,,,,73.6404,,,,,,,,618.2191
116.1288,8.5,,,,,74.6838,,,,,,,,618.1481
116.2812,8.5,,,,,76.0299,,,,,,,,618.2133
116.4336,8.5,,,,,77.376,,,,,,,,618.2786
116.586,8.5,,,,,76.842,,,,,,,,619.3359
116.7384,8.5,,,,,74.8565,,,,,,,,621.1592
116.8908,8.5,,,,,72.871,,,,,,,,622.9825
117.0432,8.5,,,,,71.4554,,,,,,,,624.0351
117.1956,8.5,,,,,71.4802,,,,,,,,623.1397
117.348,8.5,,,,,71.5051,,,,,,,,622.2443
117.5004,8.5,,,,,71.5332,,,,,,,,621.353
117.6528,8.5,,,,,72.7932,,,,,,,,622.0323
117.8052,8.5,,,,,74.0532,,,,,,,,622.7116
117.9576,8.5,,,,,75.3132,,,,,,,,623.3909
118.11,8.5,,,,,76.6133,,,,,,,,623.9655
118.2624,8.5,,,,,77.9289,,,,,,,,624.4997
118.4148,8.5,,,,,79.2446,,,,,,,,625.0339
118.5672,8.5,,,,,80.4881,,,,,,,,625.0749
118.7196,8.5,,,,,81.6404,,,,,,,,624.4904
118.872,8.5,,,,,82.7926,,,,,,,,623.9059
119.0244,8.5,,,,,83.7572,,,,,,,,623.4371
119.1768,8.5,,,,,83.7378,,,,,,,,623.5753
119.3292,8.5,,,,,83.7184,,,,,,,,623.7133
119.4816,8.5,,,,,83.699,,,,,,,,623.8514
119.634,8.5,,,,,82.4561,,,,,,,,623.671
119.7864,8.5,,,,,81.0451,,,,,,,,623.4468
