DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
1673.0472,0.1042,0.0906,91.1271,125.0141,8.5884,-0.0055,3.5483,3.502,4.9566,5.041,5.2162,5.3682,5.9235,0.0001,0.0001,6.3036,4.4934,4.4906,3793.3572,0.3134
1672.8948,0.0889,0.088,90.9916,124.2,8.6038,0.0037,3.4916,3.4599,4.9707,5.0526,5.2364,5.4139,5.9368,0.0001,0.0001,6.3469,4.5262,4.5431,3779.9287,0.3017
1672.7424,0.1034,0.0875,90.6543,123.7289,8.6115,0.0072,3.4583,3.448,5.0366,5.1484,5.335,5.5456,6.0388,0.0001,0.0001,6.5252,4.6069,4.6255,3803.8574,0.297
1672.59,-0.0278,0.0723,90.1694,118.1187,8.5884,0.0036,3.2508,3.4384,5.1833,5.3115,5.4974,5.7636,6.2286,0.0001,0.0001,6.7329,4.7529,4.7322,3800.3569,0.2976
1672.4376,0.031,0.0665,89.6942,116.5335,8.6038,-0.0032,3.3819,3.4478,5.3153,5.4502,5.6363,5.9583,6.4129,0.0001,0.0001,6.9209,4.8556,4.8465,3812.0715,0.3001
1672.2852,0.0069,0.0352,89.7759,116.6237,8.5961,-0.0044,3.4584,3.4361,5.4255,5.5662,5.7828,6.0966,6.5656,0.0001,0.0001,7.0923,4.8851,4.8012,3788.2859,0.3094
1672.1328,0.0294,0.02,90.0945,119.4078,8.5653,-0.0034,3.3675,3.4447,5.3027,5.4121,5.7226,5.9549,6.4192,0.0001,0.0001,6.9592,4.6594,4.7044,3784.5386,0.3069
1671.9804,-0.006,0.0185,90.1485,122.0869,8.5653,-0.0035,3.4567,3.4655,5.1157,5.1921,5.5516,5.7195,6.1789,0.0001,0.0001,6.7035,4.5675,4.5678,3812.2859,0.3081
1671.828,0.0014,0.0124,90.5848,125.4909,8.5576,-0.0027,3.5054,3.4391,5.0326,5.2239,5.5087,5.6805,6.1378,0.0001,0.0001,6.6905,4.5195,4.5657,3770.1431,0.2896
1671.6756,0.0022,0.0069,90.8054,124.2632,8.5422,-0.0019,3.3219,3.3876,5.0694,5.4258,5.6182,5.7942,6.2737,0.0001,0.0001,6.8887,4.5335,4.5291,3809.3572,0.284
