TVD,GR,T-TEMP,ROP
79.5528,39.3295,24.3234,20.7791
79.7052,39.647,24.3251,20.7212
79.8576,39.4066,24.3191,20.6633
80.01,39.8895,24.3177,20.6194
80.1624,38.6062,24.3231,20.7383
80.3148,38.7339,24.3286,20.8572
80.4672,39.2532,24.3308,20.9761
80.6196,39.0506,24.3308,20.8467
80.772,38.4197,24.3449,20.6546
80.9244,38.3765,24.3379,20.4626
81.0768,37.9853,24.3308,20.3511
81.2292,39.3442,24.3462,20.3145
81.3816,40.7644,24.3584,20.2779
81.534,42.68,24.3412,20.2818
81.6864,42.7941,24.327,20.4159
81.8388,41.517,24.3175,20.55
81.9912,40.9846,24.3195,20.6841
82.1436,40.3409,24.3004,20.7483
82.296,40.3424,24.321,20.8092
82.4484,40.9825,24.3003,20.8702
82.6008,41.6063,24.3003,20.9291
82.7532,42.238,24.2916,20.987
82.9056,42.4522,24.2699,21.0449
83.058,42.9041,24.2625,20.92
83.2104,41.8089,24.2223,20.5147
83.3628,41.3185,24.2137,20.1093
83.5152,41.4635,24.2085,19.7656
83.6676,40.7631,24.01,19.9028
83.82,40.8742,23.7132,20.0399
83.9724,41.9056,23.6946,20.1771
84.1248,41.3606,23.676,20.1898
84.2772,41.6428,23.6839,20.1777
84.4296,42.1553,23.6862,20.1655
84.582,41.4579,23.6767,18.9987
84.7344,40.6639,23.6707,16.8955
84.8868,41.148,23.6898,14.7924
85.0392,40.8057,23.6997,14.0226
85.1916,40.7064,23.6749,16.8329
85.344,42.0656,23.6673,19.6432
85.4964,41.6655,23.7027,22.4535
85.6488,42.5953,22.9109,22.6642
85.8012,43.484,22.5973,22.8501
85.9536,43.1194,22.4852,23.036
86.106,42.6721,22.4089,23.09
86.2584,42.5898,22.3326,23.09
86.4108,41.9016,22.2994,23.09
86.5632,41.2566,22.2584,23.192
86.7156,41.2593,22.2544,23.4297
86.868,40.217,22.2124,23.6675
87.0204,40.1471,22.1688,23.7503
87.1728,40.6597,22.1287,22.9425
87.3252,41.0936,22.1033,22.1348
87.4776,41.8802,22.0779,21.3271
87.63,43.4932,22.1305,21.1089
87.7824,43.1992,22.1084,20.9809
87.9348,42.8804,22.0829,20.8529
88.0872,43.3886,22.0575,20.9305
88.2396,43.1414,22.0835,21.1531
