TVD,GR,T-TEMP,ROP
82.6008,41.5813,24.8032,20.9291
82.7532,41.3657,24.8032,20.987
82.9056,41.1016,24.8032,21.0449
83.058,40.8335,24.8032,20.92
83.2104,40.1593,24.8032,20.5147
83.3628,40.3859,24.8032,20.1093
83.5152,40.4034,24.8032,19.7656
83.6676,39.6932,24.4808,19.9028
83.82,40.0111,23.4252,20.0399
83.9724,40.4122,23.4252,20.1771
84.1248,41.7425,23.4252,20.1898
84.2772,42.3354,23.4252,20.1777
84.4296,43.3445,23.4252,20.1655
84.582,42.7389,23.4252,18.9987
84.7344,41.599,23.4252,16.8955
84.8868,41.5795,23.4252,14.7924
85.0392,40.9977,23.4252,14.0226
85.1916,41.1664,23.4252,16.8329
85.344,42.0474,23.4252,19.6432
85.4964,41.4956,23.4252,22.4535
85.6488,41.7616,23.4252,22.6642
85.8012,42.8466,22.7434,22.8501
85.9536,42.4157,22.0472,23.036
86.106,42.0714,22.0472,23.09
86.2584,42.2251,22.0472,23.09
86.4108,40.9662,22.0472,23.09
86.5632,40.0378,22.0472,23.192
86.7156,39.476,22.0472,23.4297
86.868,38.6097,22.0472,23.6675
87.0204,37.9232,22.0472,23.7503
87.1728,39.538,22.0472,22.9425
87.3252,40.6569,22.0472,22.1348
87.4776,41.8096,22.0472,21.3271
87.63,42.616,22.0472,21.1089
87.7824,42.9241,22.0472,20.9809
87.9348,41.6515,22.0472,20.8529
88.0872,41.9501,22.0472,20.9305
88.2396,41.9394,22.0472,21.1531
88.392,42.0909,22.0472,21.3756
88.5444,41.5385,22.0472,21.557
88.6968,41.0119,22.0472,21.6454
88.8492,40.0733,22.0472,21.7338
89.0016,39.9939,22.0472,21.8178
89.154,41.7351,22.0472,21.7294
89.3064,42.1367,22.0472,21.641
89.4588,42.5098,22.0472,21.5526
89.6112,42.1026,22.0472,21.3167
89.7636,41.7644,22.0472,21.0302
89.916,42.0113,22.0472,20.7437
90.0684,42.3293,22.0472,20.6451
90.2208,43.4686,22.0472,20.764
90.3732,43.3923,22.0472,20.8829
90.5256,45.2033,22.0472,20.8199
90.678,47.1276,22.0472,19.9451
90.8304,48.6689,22.0472,19.0703
90.9828,49.1144,22.0472,18.1955
91.1352,49.4676,22.0472,18.9984
91.2876,48.6098,22.0472,19.9829
91.44,49.0821,22.0472,20.9675
91.5924,49.0,22.0472,21.8573
91.7448,47.8652,22.0472,22.6894
91.8972,46.6163,22.0472,23.5216
92.0496,44.0279,22.0472,24.0201
92.202,44.4776,22.4273,23.8738
92.3544,44.9834,22.8102,23.7275
92.5068,46.3905,23.193,23.5277
92.6592,48.008,23.4252,22.4944
92.8116,47.6094,23.4252,21.4611
92.964,47.293,23.4252,20.4277
93.1164,47.2461,23.4252,18.5532
93.2688,46.5232,23.4252,16.4408
93.4212,45.9737,23.4252,14.3284
93.5736,47.0,23.4252,14.2616
93.726,47.1657,23.4252,16.2491
93.8784,47.539,23.4252,18.2365
94.0308,49.0985,23.4252,19.5504
94.1832,49.184,23.4252,18.4531
94.3356,48.5529,23.4252,17.3557
94.488,48.9997,23.4252,16.2584
94.6404,48.875,23.4252,19.6172
94.7928,48.6984,23.4252,23.272
94.9452,48.5843,23.4252,26.9268
95.0976,48.3426,23.4252,28.861
95.25,46.2133,23.4252,29.8974
95.4024,45.3046,23.4252,30.9338
95.5548,45.3629,23.4252,31.6213
95.7072,46.139,23.4252,31.7311
95.8596,47.3295,23.4252,31.8408
96.012,48.6931,23.4252,31.8625
96.1644,48.7076,23.4252,31.0548
96.3168,48.1494,23.4252,30.247
96.4692,49.0884,23.4252,29.4392
96.6216,49.3831,23.4252,30.6668
96.774,49.353,23.4252,32.3555
96.9264,49.0023,23.4252,34.0442
97.0788,47.8333,23.4252,32.2223
97.2312,47.6893,23.4252,27.3451
97.3836,48.0162,23.4252,22.468
97.536,48.5504,23.4252,18.8695
97.6884,48.614,23.4252,19.025
97.8408,48.1918,23.4252,19.1804
97.9932,48.3893,23.4252,19.3359
98.1456,49.4286,23.4252,17.8919
98.298,49.375,23.4252,16.4044
98.4504,49.6682,23.4252,14.9168
98.6028,51.0422,23.4252,14.7684
98.7552,49.7272,23.4252,15.2134
98.9076,48.5409,23.4252,15.6584
99.06,49.8352,23.4252,15.8358
99.2124,49.0148,23.4252,15.6316
99.3648,48.8628,23.4252,15.4273
99.5172,50.7638,23.4252,15.2211
99.6696,50.7994,23.4252,15.0016
99.822,51.2575,23.4252,14.7821
99.9744,51.4656,23.4252,14.5627
100.1268,50.9082,23.4252,14.9918
100.2792,50.9628,23.4252,15.5344
100.4316,50.4286,23.4252,16.077
100.584,49.775,23.4252,15.8578
100.7364,49.7519,23.4252,15.0653
100.8888,48.3559,23.4252,14.2727
101.0412,48.75,23.4252,13.3812
101.1936,49.983,23.4252,12.2473
101.346,51.2629,23.4252,11.1133
101.4984,51.3571,23.4252,9.9898
101.6508,52.6728,23.4252,9.9654
101.8032,52.0505,23.4252,9.941
101.9556,51.5871,23.4252,9.9166
102.108,53.2834,23.4252,9.8967
102.2604,53.5831,23.4252,9.8784
102.4128,55.0966,23.4252,9.8601
102.5652,56.0,23.4252,9.8076
102.7176,56.5113,23.4252,9.7131
102.87,57.1144,23.4252,9.6187
103.0224,57.974,23.4252,9.5472
103.1748,58.5342,23.4252,9.5898
103.3272,59.3038,23.4252,9.6325
103.4796,60.0567,23.4252,9.6752
103.632,60.2233,23.4252,8.1982
103.7844,60.511,23.4252,6.5277
103.9368,59.8711,23.4252,4.8573
104.0892,59.3985,23.4252,9.6227
104.2416,59.1498,23.4252,18.5632
104.394,58.9155,23.4252,27.5037
104.5464,59.4299,23.4252,31.518
104.6988,59.1093,23.4252,25.3453
104.8512,58.796,23.4252,19.1726
105.0036,57.3972,23.4252,13.3467
105.156,55.75,23.4252,14.8159
105.3084,55.2754,23.4252,16.2852
105.4608,57.2111,23.4252,17.7544
105.6132,59.1707,23.4252,16.1954
105.7656,60.16,23.4252,13.705
105.918,60.8571,23.4252,11.2146
106.0704,61.7316,23.4252,10.8584
106.2228,61.3198,23.4252,12.7757
106.3752,63.9127,23.4252,14.693
106.5276,63.4841,23.4252,16.2628
106.68,63.836,23.4252,16.4731
106.8324,64.1983,23.4252,16.6835
