DEPT,GR,T-TEMP,ROP
89.916,41.3628,22.2069,20.7479
90.0684,41.1655,22.2449,20.6434
90.2208,42.4326,22.2703,20.7622
90.3732,43.3642,22.2957,20.8811
90.5256,46.3584,22.3707,20.8331
90.678,48.7821,22.3976,19.9583
90.8304,49.8263,22.418,19.0835
90.9828,50.3257,22.4383,18.2087
91.1352,50.4063,22.4832,18.9834
91.2876,49.4979,22.5012,19.9679
91.44,50.8966,22.5191,20.9524
91.5924,50.7087,22.5767,21.8445
91.7448,49.2183,22.6018,22.6766
91.8972,47.9897,22.6268,23.5087
92.0496,46.1561,22.6518,24.0224
92.202,46.0294,22.6831,23.8761
92.3544,46.1683,22.7145,23.7298
92.5068,47.6512,22.7459,23.5439
92.6592,48.2243,22.7931,22.5106
92.8116,47.1824,22.8021,21.4774
92.964,47.2349,22.8111,20.4441
93.1164,47.3092,22.8201,18.5867
93.2688,46.6961,22.8906,16.4744
93.4212,47.2542,22.9001,14.3622
93.5736,47.6861,22.9097,14.2297
93.726,48.4384,22.9664,16.217
93.8784,48.398,22.9817,18.2043
94.0308,50.056,22.9969,19.5682
94.1832,49.8201,23.0491,18.471
94.3356,50.474,23.0491,17.3737
94.488,51.428,23.0491,16.2764
94.6404,50.8294,23.1084,19.5568
94.7928,50.0773,23.1847,23.2113
94.9452,49.9443,23.278,26.8659
95.0976,48.6395,23.278,28.8437
95.25,47.1008,23.278,29.88
95.4024,45.6115,23.278,30.9163
95.5548,46.0239,23.278,31.6195
95.7072,46.7587,23.278,31.7292
95.8596,48.0685,23.278,31.8389
96.012,49.9114,23.2835,31.8764
96.1644,50.0439,23.2931,31.0687
96.3168,49.5088,23.3026,30.261
96.4692,49.3954,23.3508,29.4532
96.6216,49.0459,23.3311,30.6373
96.774,48.6805,23.3114,32.3259
96.9264,48.1715,23.3173,34.0145
97.0788,48.4451,23.3238,32.3084
97.2312,48.1565,23.3238,27.4316
97.3836,48.5281,23.3238,22.5548
97.536,49.2279,23.3362,18.8667
97.6884,48.6741,23.3313,19.0222
97.8408,48.9021,23.3263,19.1776
97.9932,49.0741,23.3409,19.3331
98.1456,49.7664,23.3456,17.9189
98.298,50.2673,23.3504,16.4315
98.4504,50.148,23.3552,14.9441
98.6028,50.9922,23.3603,14.7602
98.7552,50.0977,23.3654,15.2052
98.9076,49.1425,23.3831,15.6502
99.06,50.5169,23.3749,15.8396
99.2124,49.8499,23.3647,15.6354
99.3648,50.0108,23.3545,15.4312
99.5172,50.8989,23.3745,15.2252
99.6696,51.0533,23.3798,15.0058
99.822,51.0107,23.4084,14.7863
99.9744,51.6688,23.406,14.5669
100.1268,51.4499,23.3964,14.9814
100.2792,51.3765,23.3869,15.524
100.4316,50.3677,23.4243,16.0665
100.584,49.5052,23.4143,15.8732
100.7364,49.2468,23.4043,15.0807
100.8888,48.3934,23.4153,14.2882
101.0412,49.9902,23.4153,13.4035
101.1936,51.4331,23.4153,12.2696
101.346,52.4939,23.4274,11.1358
101.4984,52.4193,23.4262,10.0019
101.6508,54.2203,23.4217,9.9659
101.8032,53.4779,23.4172,9.9415
101.9556,53.4938,23.4435,9.9171
102.108,54.8976,23.439,9.897
102.2604,55.6136,23.4346,9.8788
102.4128,58.0094,23.4425,9.8605
102.5652,58.3354,23.4413,9.8096
102.7176,58.5683,23.4366,9.7151
102.87,58.2111,23.432,9.6206
103.0224,57.7716,23.4688,9.5463
103.1748,58.8842,23.4557,9.5889
103.3272,59.928,23.4426,9.6316
103.4796,60.1797,23.437,9.6743
103.632,61.2036,23.5069,8.2333
103.7844,62.2265,23.4971,6.563
103.9368,61.9141,23.4711,4.8927
104.0892,62.339,23.4755,9.4325
104.2416,61.4175,23.4898,18.3723
104.394,59.7977,23.485,27.312
104.5464,60.834,23.4803,31.6508
104.6988,59.6303,23.4899,25.4786
104.8512,59.2498,23.4828,19.3064
105.0036,58.2962,23.4738,13.3147
105.156,57.0757,23.4649,14.7838
105.3084,57.2854,23.4743,16.253
105.4608,59.0688,23.4696,17.7221
105.6132,61.9235,23.465,16.2503
105.7656,61.9308,23.4746,13.7601
105.918,62.5163,23.4763,11.2699
106.0704,63.1085,23.4763,10.8156
106.2228,63.1187,23.4763,12.7328
106.3752,64.9313,23.4892,14.65
106.5276,64.9613,23.4846,16.2581
