DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1856.6,50.755863,2519.53125,116.764038,0.314114,8.746907,0.028865,2.458853,3.266861,90.718735,-139.008682,4.354537,5.112628,5.075987,5.051706,5.021519,4.967634,4.932033,4.751845,0.136902,0.049221,8.5
1856.7,50.687729,2514.648438,116.141159,0.320732,8.746686,0.030084,2.460502,3.26008,90.769127,-139.066528,4.364076,5.303081,5.265972,5.241378,5.210796,5.156199,5.120118,4.937404,0.136965,0.049284,8.5
1856.8,50.731007,2524.414063,116.962769,0.324285,8.75093,0.030467,2.459328,3.26139,90.870468,-139.057404,4.376859,5.477571,5.440809,5.416439,5.38613,5.332,5.296216,5.114884,0.137236,0.049554,8.5
1856.9,50.741974,2514.648438,116.346817,0.324344,8.76398,0.031636,2.460733,3.257914,91.017891,-139.08783,4.377304,5.474315,5.436196,5.410931,5.379515,5.323424,5.286355,5.098557,0.137767,0.050086,8.5
1857.0,50.694969,2519.53125,116.704399,0.324063,8.784791,0.031801,2.460451,3.257646,91.208183,-139.06955,4.358804,5.163126,5.124495,5.098901,5.06709,5.010328,4.97284,4.782922,0.138433,0.050752,8.5
1857.1,50.716072,2519.53125,117.006561,0.324526,8.80635,0.031062,2.459509,3.242655,91.398834,-139.103058,4.341596,5.101345,5.060118,5.032819,4.998902,4.938426,4.898516,4.696339,0.139015,0.051334,8.5
1857.2,50.738098,2519.53125,117.657852,0.32666,8.821719,0.029337,2.457158,3.244505,91.559769,-139.133514,4.342663,5.154378,5.11049,5.081439,5.045357,4.981054,4.938642,4.723853,0.139349,0.051667,8.5
1857.3,50.742302,2524.414063,116.851547,0.328011,8.827495,0.028513,2.455142,3.249218,91.665657,-139.197433,4.345758,5.177927,5.13455,5.105834,5.070164,5.006586,4.964644,4.752252,0.139387,0.051706,8.5
1857.4,50.753029,2529.296875,116.640785,0.327878,8.824168,0.030774,2.45517,3.25534,91.704102,-139.267471,4.357408,5.172336,5.132695,5.106437,5.073803,5.015586,4.977147,4.782354,0.139224,0.051542,8.5
1857.5,50.733479,2529.296875,115.247795,0.326094,8.817147,0.036305,2.456959,3.235583,91.650299,-139.319214,4.384099,5.219075,5.181513,5.156623,5.125678,5.070444,5.033952,4.8489,0.138937,0.051255,8.5
1857.6,50.730946,2529.296875,114.096146,0.324927,8.805942,0.044045,2.461952,3.2231,91.507637,-139.334427,4.410241,4.985922,4.947334,4.921774,4.89001,4.833352,4.795944,4.606338,0.138377,0.050696,8.5
1857.7,50.728828,2534.179688,111.988022,0.325629,8.781638,0.047776,2.460404,3.207505,91.285591,-139.377045,4.411072,4.786953,4.74529,4.717716,4.683474,4.622463,4.582231,4.378325,0.137249,0.049568,8.5
1857.8,50.766949,2529.296875,111.175125,0.328095,8.734094,0.048052,2.459411,3.196001,91.016876,-139.380096,4.412354,4.916251,4.868418,4.836788,4.797539,4.727692,4.681693,4.448613,0.1356,0.047919,8.5
1857.9,50.740749,2524.414063,110.949104,0.329284,8.676077,0.042824,2.455176,3.194158,90.736359,-139.358795,4.440196,5.377315,5.321814,5.285132,5.239635,5.158726,5.105482,4.835662,0.134067,0.046385,8.5
1858.0,50.78635,2529.296875,111.478447,0.328269,8.63538,0.036033,2.455094,3.208613,90.516121,-139.358795,4.495537,5.630302,5.571716,5.532997,5.484977,5.39959,5.343404,5.058826,0.133219,0.045538,8.5
1858.1,50.722778,2534.179688,111.618866,0.324532,8.621303,0.028491,2.454281,3.223288,90.414673,-139.328339,4.562669,5.838873,5.783364,5.746652,5.701089,5.619984,5.566556,5.295805,0.133047,0.045365,8.5
1858.2,50.752911,2543.945313,112.301521,0.320674,8.624196,0.026323,2.461518,3.226456,90.46125,-139.267471,4.621787,5.717063,5.669487,5.63799,5.598864,5.52912,5.483108,5.249801,0.133114,0.045432,8.5
1858.3,50.765877,2529.296875,114.635529,0.315886,8.625649,0.028876,2.471869,3.233176,90.64212,-139.252228,4.524921,5.633111,5.589758,5.561041,5.525353,5.46169,5.419656,5.206592,0.133059,0.045377,8.5
1858.4,50.76078,2534.179688,116.340546,0.313931,8.620652,0.032277,2.477242,3.26439,90.936539,-139.209595,4.072055,5.365891,5.325427,5.298621,5.265304,5.205859,5.166602,4.967804,0.132822,0.045141,8.5
1858.5,50.711929,2534.179688,119.398659,0.313493,8.610294,0.034555,2.476213,3.296896,91.266045,-139.176117,3.341067,5.231341,5.194271,5.169703,5.139157,5.084628,5.048597,4.866372,0.132472,0.044791,8.5
1858.6,50.709484,2534.179688,118.874428,0.315857,8.597938,0.034436,2.468278,3.318829,91.53714,-139.136551,2.576246,5.277622,5.249334,5.230559,5.207186,5.165376,5.137689,4.997686,0.132032,0.04435,8.5
1858.7,50.709366,2534.179688,119.773041,0.31729,8.581651,0.034476,2.462703,3.312133,91.665688,-139.130463,1.973422,5.319697,5.304576,5.29452,5.281976,5.259472,5.244524,5.16902,0.131483,0.043802,8.5
1858.8,50.756012,2534.179688,117.900993,0.320188,8.562222,0.031015,2.451473,3.287395,91.657051,-139.160919,1.602059,5.126108,5.128617,5.130291,5.132384,5.136154,5.138669,5.151381,0.131063,0.043382,8.5
