DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DT:1,DT:2,ECGR:1,ECGR:2,ECGR:3,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTNP,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TNPH:1,TNPH:2
599.3892,,8.5,,-0.0078376,,133.2262,,,102.6574,,25.4704,,10.4263,,0.0185,20.9522,17.4363,,1.1039,,1.2246,,,,,34.041,,,2.2922,,2.5754,,35.9448,,,784.0337,,0.373854
599.5416,,8.5,,-0.0087125,,129.4715,,,106.7921,,25.224,,10.484,,0.0226,20.7457,17.2717,,1.1199,,1.238,,,,,34.041,,,2.2873,,2.5465,,35.7427,,,793.3844,,0.354703
599.694,,8.5,,-0.0096373,,129.9709,,,113.2201,,25.3013,,10.5763,,0.037,20.8181,17.3147,,1.0506,,1.1655,,,,,34.041,,,2.284,,2.4452,,36.1867,,,791.233,,0.340043
599.8464,,8.5,,-0.0102878,,133.3411,,,115.0957,,24.8193,,10.6673,,0.0497,20.4682,17.0167,,0.7136,,0.8564,,,,,34.041,,,2.2774,,2.2777,,35.3987,,,784.6634,,0.339105
599.9988,,8.5,,-0.0112245,,133.0078,,,117.2264,,23.9368,,10.8301,,0.0541,19.7928,16.511,,0.5827,,0.7256,,,,,34.041,,,2.2814,,2.1734,,35.2982,,,786.5251,,0.349985
600.1512,,8.5,,-0.0113254,,133.9634,,,112.7577,,23.7182,,10.8577,,0.0468,19.6355,16.4058,,0.7627,,0.8916,,,,,34.041,,,2.2844,,2.1448,,36.974,,,782.6188,,0.355042
600.3036,,8.5,,-0.0117994,,155.5737,,,109.0778,,24.2166,,10.9109,,0.0332,20.0669,16.8066,,0.8933,,1.0053,,,,,34.041,,,2.2847,,2.1833,,34.6894,,,782.7354,,0.347878
600.456,,8.5,,-0.0113003,,162.5501,,,106.6572,,24.7879,,10.8923,,0.0216,20.5854,17.2658,,0.9503,,1.0533,,,,,34.041,,,2.2768,,2.2148,,35.2263,,,790.6033,,0.366607
600.6084,,8.5,,-0.0113379,,160.5972,,,103.7597,,24.5592,,10.9355,,0.0129,20.4577,17.2404,,0.8486,,0.9743,,,,,34.041,,,2.2678,,2.2112,,35.7261,,,784.2626,,0.377404
600.7608,,8.5,,-0.0123878,,133.9285,,,104.1851,,24.2518,,11.0509,,0.0107,20.2432,17.1434,,0.9053,,1.0173,,,,,34.041,,,2.2677,,2.2181,,35.2108,,,781.2663,,0.36742
600.9132,,8.5,,-0.0139997,,129.1225,,,107.722,,24.0576,,11.2196,,0.0082,20.1099,17.0666,,1.0643,,1.1452,,,,,34.041,,,2.2625,,2.2036,,34.6495,,,794.7383,,0.346245
601.0656,,8.5,,-0.014937,,131.2751,,,110.2935,,23.4556,,11.3393,,0.0102,19.6126,16.6556,,0.8222,,0.9475,,,,,34.041,,,2.2584,,2.182,,35.8431,,,788.5169,,0.340811
601.218,,8.5,,-0.0148502,,130.2112,,,108.4981,,22.9035,,11.3639,,0.0144,19.1049,16.1768,,0.7809,,0.9115,,,,,34.041,,,2.2498,,2.1642,,36.0076,,,785.9091,,0.355302
601.3704,,8.5,,-0.0146492,,130.7009,,,107.0607,,22.4202,,11.3306,,0.0205,18.6791,15.7923,,0.7098,,0.8467,,,,,34.041,,,2.2465,,2.1401,,35.6642,,,791.5187,,0.35315
601.5228,,8.5,,-0.0130878,,130.2287,,,104.4728,,22.4005,,11.0971,,0.0243,18.6963,15.8147,,0.451,,0.5898,,,,,34.041,,,2.2409,,2.0603,,35.5313,,,797.0714,,0.347873
601.6752,,8.5,,-0.011963,,127.8296,,,107.5298,,23.0228,,10.9125,,0.0307,19.253,16.2717,,0.5732,,0.6983,,,,,34.041,,,2.2531,,1.987,,35.3037,,,793.6688,,0.341169
601.8276,,8.5,,-0.0120003,,127.2212,,,109.1462,,23.6117,,10.9413,,0.0371,19.773,16.7351,,0.8209,,0.9233,,,,,34.041,,,2.2643,,2.0592,,33.7282,,,782.0556,,0.347678
601.98,,8.5,,-0.0127624,,128.8533,,,110.6974,,23.2905,,11.0783,,0.0441,19.5042,16.5709,,0.8051,,0.9387,,,,,34.041,,,2.2799,,2.1733,,34.5688,,,781.6006,,0.359744
602.1324,,8.5,,-0.0132997,,132.3984,,,109.8165,,23.1249,,11.1504,,0.0445,19.2921,16.3926,,0.7911,,0.9369,,,,,34.041,,,2.2829,,2.3146,,33.431,,,792.3718,,0.359456
