DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
677.113,8.365,8.5,101.411,0.07,0.0,5.082,11.564,17.473,20.172,23.388,31.823,110.071,-0.006,2.953,2.271,0.381,1.007,1804.867
677.266,8.296,8.5,110.43,-0.014,0.0,5.239,12.618,18.49,21.617,25.111,33.848,109.747,-0.007,2.816,2.302,0.351,1.035,1809.867
677.418,8.342,8.5,102.349,0.09,0.0,5.545,13.983,20.261,23.805,27.703,37.13,108.94,-0.009,2.915,2.299,0.37,1.086,1810.6
677.57,8.365,8.5,98.643,0.078,0.0,5.789,14.118,20.579,24.199,28.232,38.076,108.573,-0.01,2.79,2.315,0.378,1.097,1791.333
677.723,8.365,8.5,103.834,0.113,0.0,6.331,14.268,20.342,23.834,27.81,37.725,108.018,-0.011,2.742,2.302,0.371,1.135,1819.688
677.875,8.342,8.5,106.499,0.078,0.0,6.405,13.399,18.844,21.87,25.544,34.807,106.121,-0.009,2.782,2.319,0.341,1.169,1821.6
678.028,8.342,8.5,100.274,-0.008,0.01,6.29,12.519,17.185,19.73,22.995,31.277,93.969,0.0,2.781,2.354,0.305,1.239,1831.133
678.18,8.528,8.5,85.034,-0.012,0.049,8.865,19.763,27.553,32.233,37.675,51.053,87.676,0.019,3.097,2.576,0.244,3.167,1830.4
678.332,8.543,8.5,87.18,0.013,0.104,9.422,19.561,25.623,28.774,33.182,44.604,88.241,0.037,3.556,2.524,0.216,3.939,1801.467
678.485,8.458,8.5,86.868,0.121,0.155,7.237,12.642,15.612,17.139,19.63,26.221,89.965,0.051,3.283,2.352,0.246,1.448,1817.467
678.637,8.609,8.5,100.709,0.186,0.184,7.502,12.52,15.292,16.689,19.075,25.465,103.263,0.057,3.119,2.315,0.319,1.218,1806.4
678.79,8.841,8.5,110.511,0.152,0.092,7.689,11.77,14.212,15.381,17.507,23.243,108.636,0.057,2.96,2.348,0.39,1.273,1822.467
678.942,9.015,8.5,126.951,0.091,0.044,7.751,12.161,14.476,15.583,17.689,23.276,110.383,0.043,2.906,2.344,0.388,1.302,1815.667
679.094,9.096,8.5,123.805,0.026,0.04,7.738,13.029,14.985,16.1,18.179,23.878,112.104,0.023,2.849,2.329,0.381,1.358,1854.4
679.247,9.119,8.5,120.35,0.005,0.043,7.965,13.517,15.599,16.766,18.83,24.857,112.363,0.008,2.891,2.333,0.391,1.417,1813.8
679.399,9.061,8.5,116.859,0.002,0.043,8.146,13.439,16.057,17.112,19.167,25.484,112.355,0.003,2.876,2.323,0.425,1.461,1851.625
679.552,9.108,8.5,117.438,0.012,0.041,8.129,12.635,15.265,16.198,18.086,24.057,112.06,0.002,2.869,2.334,0.404,1.46,1810.933
679.704,9.239,8.5,112.323,0.01,0.036,8.2,12.441,14.976,16.046,17.851,23.775,112.316,0.001,2.836,2.326,0.397,1.434,1862.2
679.856,9.301,8.5,111.164,0.003,0.046,8.465,12.66,15.147,16.493,18.257,24.366,112.684,0.002,2.915,2.309,0.368,1.437,1836.2
680.009,9.316,8.5,113.753,0.01,0.054,8.606,12.75,15.111,16.612,18.324,24.45,112.977,0.004,2.936,2.303,0.358,1.436,1792.067
680.161,9.363,8.5,106.392,0.009,0.051,8.56,12.665,14.882,16.466,18.126,24.153,113.391,0.005,2.933,2.303,0.377,1.407,1823.467
680.314,9.27,8.5,127.554,0.022,0.044,8.459,12.434,14.465,15.981,17.659,23.405,113.41,0.004,2.95,2.319,0.378,1.421,1811.133
680.466,9.34,8.5,128.992,0.008,0.046,8.566,12.521,14.576,15.999,17.761,23.465,113.376,0.002,2.821,2.314,0.381,1.444,1806.312
680.618,9.386,8.5,127.427,-0.012,0.047,8.812,13.307,15.68,17.105,19.131,25.32,113.107,0.001,2.876,2.307,0.367,1.49,1844.667
680.771,9.487,8.5,113.925,0.005,0.043,8.46,12.83,15.136,16.481,18.496,24.484,112.955,0.0,2.979,2.315,0.369,1.49,1839.067
680.923,9.595,8.5,112.656,0.015,0.043,8.184,12.066,14.061,15.274,17.138,22.55,113.253,0.001,2.929,2.317,0.378,1.422,1827.667
681.076,9.548,8.5,114.812,0.006,0.045,8.419,12.46,14.557,15.843,17.812,23.473,113.254,0.0,2.886,2.313,0.351,1.461,1802.133
681.228,9.564,8.5,121.788,-0.009,0.044,8.58,12.654,14.813,16.092,18.165,23.936,113.319,0.0,2.899,2.31,0.37,1.438,1805.0
681.38,9.641,8.5,107.576,0.009,0.041,8.6,12.581,14.748,16.0,18.132,23.856,113.261,0.0,2.881,2.32,0.369,1.454,1823.063
681.533,9.68,8.5,125.269,-0.004,0.047,8.321,11.893,13.832,14.936,16.925,22.11,112.798,0.002,2.899,2.322,0.38,1.438,1818.867
681.685,9.641,8.5,111.587,0.026,0.05,8.083,11.8,13.757,14.822,16.808,21.97,112.239,0.004,2.967,2.331,0.374,1.424,1827.867
681.838,9.63,8.5,107.525,0.008,0.049,8.153,12.399,14.63,15.77,17.936,23.58,111.682,0.005,2.903,2.325,0.369,1.452,1829.467
681.99,9.572,8.5,115.281,0.005,0.048,7.876,12.413,14.801,15.913,18.189,23.956,111.407,0.005,2.926,2.315,0.372,1.404,1827.533
682.142,9.518,8.5,107.896,0.035,0.044,7.528,12.182,14.545,15.722,17.902,23.654,111.383,0.005,2.932,2.327,0.372,1.369,1856.4
682.295,9.479,8.5,108.063,0.037,0.041,7.254,11.913,14.291,15.467,17.596,23.274,111.64,0.011,2.86,2.322,0.375,1.385,1823.2
682.447,9.44,8.5,127.342,0.053,0.044,6.989,11.556,13.849,14.999,17.002,22.511,111.829,0.017,2.909,2.335,0.359,1.367,1841.4
682.6,9.471,8.5,121.34,0.055,0.045,7.062,11.822,14.272,15.498,17.545,23.303,111.765,0.021,2.884,2.337,0.347,1.32,1851.333
682.752,9.548,8.5,122.441,0.04,0.047,7.125,11.819,14.242,15.478,17.458,23.201,111.581,0.014,2.867,2.341,0.35,1.377,1836.133
682.904,9.688,8.5,113.252,0.013,0.044,7.248,11.898,14.313,15.566,17.503,23.289,111.475,0.008,2.829,2.319,0.359,1.377,1806.375
683.057,9.734,8.5,115.654,-0.013,0.047,7.705,12.566,15.051,16.425,18.446,24.562,111.668,0.002,2.834,2.315,0.361,1.47,1794.533
683.209,9.835,8.5,119.784,0.015,0.049,7.904,12.974,15.609,17.036,19.144,25.532,111.775,0.004,2.869,2.314,0.359,1.477,1813.6
683.362,9.757,8.5,130.137,0.01,0.048,8.149,13.221,15.955,17.343,19.465,25.999,112.022,0.006,2.891,2.313,0.359,1.46,1821.533
683.514,9.711,8.5,121.46,0.037,0.053,8.297,12.852,15.481,16.786,18.861,25.125,112.329,0.008,2.91,2.315,0.371,1.441,1804.533
683.666,9.75,8.5,113.527,0.012,0.053,8.108,12.262,14.658,15.844,17.801,23.582,112.302,0.006,2.89,2.301,0.353,1.423,1830.25
683.819,9.726,8.5,117.449,0.018,0.042,8.002,12.294,14.649,15.845,17.798,23.564,112.661,0.004,2.88,2.314,0.362,1.404,1795.933
683.971,9.711,8.5,126.153,-0.011,0.041,7.743,12.148,14.357,15.521,17.434,23.014,112.885,0.002,2.757,2.302,0.373,1.366,1851.8
684.124,9.699,8.5,118.786,-0.004,0.05,7.817,12.697,15.049,16.312,18.365,24.29,112.852,0.002,2.841,2.289,0.381,1.412,1800.867
684.276,9.676,8.5,108.818,0.024,0.065,7.543,12.19,14.376,15.559,17.478,23.087,112.718,0.004,2.896,2.302,0.395,1.419,1801.333
684.428,9.572,8.5,122.554,0.035,0.054,6.989,10.87,12.646,13.619,15.259,20.042,112.606,0.004,2.907,2.301,0.384,1.332,1795.933
684.581,9.56,8.5,106.14,0.008,0.046,7.054,10.733,12.611,13.55,15.192,19.972,112.549,0.002,2.971,2.287,0.377,1.337,1790.667
684.733,9.572,8.5,116.734,-0.02,0.047,7.332,11.537,13.677,14.716,16.503,21.805,112.809,-0.001,2.894,2.29,0.363,1.406,1795.2
684.886,9.618,8.5,109.662,-0.007,0.05,7.463,11.791,14.028,15.099,16.866,22.349,113.022,-0.001,2.936,2.297,0.366,1.445,1805.667
685.038,9.603,8.5,133.627,0.011,0.056,7.892,12.605,14.985,16.155,17.985,23.88,113.309,-0.001,2.972,2.313,0.403,1.548,1812.533
685.19,9.641,8.5,114.139,-0.002,0.054,8.013,12.855,15.395,16.641,18.488,24.642,113.324,-0.001,3.042,2.296,0.402,1.615,1807.0
685.343,9.78,8.5,120.631,-0.013,0.049,7.875,12.097,14.398,15.53,17.175,22.806,113.214,0.0,2.85,2.296,0.402,1.511,1815.813
685.495,9.881,8.5,128.467,0.011,0.053,7.784,12.094,14.471,15.632,17.252,22.972,112.958,0.001,2.971,2.31,0.37,1.479,1818.8
685.648,9.85,8.5,112.135,0.004,0.056,7.973,12.539,15.015,16.252,17.947,23.93,112.734,0.002,2.871,2.309,0.384,1.433,1802.533
685.8,9.85,8.5,119.488,0.009,0.063,7.777,12.08,14.296,15.493,17.073,22.653,112.816,0.002,2.863,2.3,0.354,1.409,1820.8
685.952,9.885,8.5,117.073,0.006,0.063,7.635,12.17,14.424,15.644,17.257,22.932,113.086,0.005,2.886,2.296,0.371,1.349,1817.667
686.105,9.804,8.5,117.07,0.017,0.06,7.337,11.387,13.374,14.404,15.889,20.99,113.441,0.007,2.913,2.3,0.36,1.329,1804.533
686.257,9.792,8.5,115.917,0.022,0.07,7.358,11.655,13.756,14.76,16.311,21.61,113.831,0.008,2.922,2.3,0.398,1.376,1785.867
686.41,9.75,8.5,122.315,0.031,0.069,7.524,12.093,14.349,15.367,17.013,22.587,113.994,0.004,2.896,2.311,0.408,1.365,1772.733
686.562,9.664,8.5,108.038,0.01,0.059,7.165,11.173,13.064,13.983,15.471,20.415,113.98,0.002,2.856,2.296,0.401,1.236,1803.063
686.714,9.719,8.5,121.07,0.008,0.054,7.296,11.346,13.174,14.162,15.654,20.641,113.838,0.0,2.848,2.298,0.386,1.254,1789.6
686.867,9.514,8.5,114.35,0.014,0.054,7.591,11.817,13.822,14.903,16.491,21.792,113.549,0.0,2.818,2.282,0.371,1.293,1791.867
687.019,9.537,8.5,125.291,0.006,0.052,7.695,11.521,13.505,14.517,16.061,21.175,113.497,0.001,2.819,2.294,0.372,1.356,1783.133
