DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DPHZ:1,DPHZ:2,DSOZ:1,DSOZ:2,DT:1,DT:2,ECGR,EHGR:1,EHGR:2,GR:1,GR:2,GR:3,GR_EDIT,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HRLD:1,HRLD:2,HRLS:1,HRLS:2,HTEM:1,HTEM:2,HTNP:1,HTNP:2,PEF8:1,PEF8:2,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,VCL
903.5796,,6.125,,0.0273185,,0.217,,0.127531,,109.3608,90.0731,,0.9079,90.0731,,,90.0731,,18.8319,,6.2142,,0.0333,,14.4719,,11.5431,,33.8414,,0.370798,,3.2483,,2.3389,,2.8071,,77.0528,,969.0471,,,
903.732,,6.125,,0.0283277,,0.2132,,0.135808,,109.0189,91.3211,,0.9059,91.3211,,,91.3211,,16.9818,,6.1678,,0.03,,14.0471,,11.1316,,33.8414,,0.383403,,3.2116,,2.3454,,2.7172,,78.3961,,968.9987,,,
903.8844,,6.125,,0.0290307,,0.2091,,0.146764,,108.825,94.5469,,0.9043,94.5469,,,94.5469,,18.198,,6.133,,0.0315,,14.7431,,11.5297,,33.8414,,0.37356,,3.2075,,2.3524,,2.7228,,78.4711,,965.6636,,,
904.0368,,6.125,,0.0287754,,0.2141,,0.142494,,109.0344,95.8389,,0.9041,95.8389,,,95.8389,,21.6582,,6.1277,,0.0339,,15.9405,,12.269,,33.8414,,0.349274,,3.2174,,2.3438,,2.6384,,77.8442,,966.2634,,,
904.1892,,6.125,,0.0280261,,0.2253,,0.122337,,109.0679,93.9954,,0.9041,93.9954,,,93.9954,,21.243,,6.1273,,0.0348,,15.9526,,12.1834,,33.8414,,0.325139,,3.2104,,2.3247,,2.3614,,77.0923,,970.4437,,,
904.3416,,6.125,,0.0272231,,0.2298,,0.10435,,108.817,92.7628,,0.9039,92.7628,,,92.7628,,18.6043,,6.122,,0.0353,,15.3423,,11.6459,,33.8414,,0.308537,,3.1734,,2.3171,,2.2217,,76.7154,,975.6979,,,
904.494,,6.125,,0.0264277,,0.226,,0.091561,,108.6417,93.5035,,0.9043,93.5035,,,93.5035,,21.1019,,6.1326,,0.0346,,16.0248,,12.0295,,33.8414,,0.300109,,3.1136,,2.3236,,2.3804,,76.9981,,974.6157,,,
904.6464,,6.125,,0.0259662,,0.2243,,0.071586,,108.01,95.2934,,0.9059,95.2934,,,95.2934,,24.0193,,6.1684,,0.0291,,16.8319,,12.6547,,33.8414,,0.309699,,3.0523,,2.3265,,2.53,,77.8115,,963.3047,,,
904.7988,,6.125,,0.0264754,,0.2274,,0.048242,,107.117,97.1695,,0.9059,97.1695,,,97.1695,,20.7244,,6.1677,,0.0194,,16.2281,,12.3959,,33.8414,,0.330819,,3.0182,,2.3211,,2.476,,78.875,,951.9304,,,
904.9512,,6.125,,0.0271061,,0.2284,,0.040937,,106.8572,99.361,,0.9064,99.361,,,99.361,,18.7622,,6.1787,,0.0136,,15.764,,12.1313,,33.8414,,0.348855,,3.0415,,2.3196,,2.4789,,80.0154,,950.7929,,,
905.1036,,6.125,,0.0270231,,0.2254,,0.053755,,106.9869,99.986,,0.91,99.986,,,99.986,,21.9662,,6.2603,,0.0153,,16.8823,,12.8783,,33.8414,,0.366187,,3.1057,,2.3246,,2.6782,,81.2952,,959.7946,,,
905.256,,6.125,,0.0271693,,0.2249,,0.067882,,107.4282,98.2257,,0.9116,98.2257,,,98.2257,,24.141,,6.2953,,0.0187,,18.0305,,13.6559,,33.8414,,0.380736,,3.1474,,2.3254,,2.7729,,82.9664,,970.1638,,,
905.4084,,6.125,,0.0281508,,0.2299,,0.068681,,108.2707,96.1894,,0.9084,96.1894,,,96.1894,,22.6377,,6.2251,,0.0183,,17.1948,,13.0314,,33.8414,,0.385322,,3.1365,,2.3168,,2.5858,,85.0625,,970.4217,,,
905.5608,,6.125,,0.0289076,,0.2354,,0.060837,,108.8671,95.8785,,0.9056,95.8785,,,95.8785,,19.3178,,6.1617,,0.015,,15.4054,,11.7573,,33.8414,,0.373024,,3.1045,,2.3075,,2.3937,,87.1125,,964.0174,,,
905.7132,,6.125,,0.0285754,,0.2359,,0.056615,,108.8718,96.5585,,0.9054,96.5585,,,96.5585,,17.1924,,6.1564,,0.0145,,14.3813,,11.0638,,33.8414,,0.355066,,3.1041,,2.3065,,2.4455,,88.6731,,968.0364,,,
905.8656,,6.125,,0.0277985,,0.2312,,0.062654,,108.3781,96.8027,,0.906,96.8027,,,96.8027,,18.2115,,6.1706,,0.0189,,14.7347,,11.3218,,33.8414,,0.343082,,3.1368,,2.3146,,2.677,,89.7057,,979.71,,,
906.018,,6.125,,0.0270769,,0.2265,,0.072495,,107.7624,96.1105,,0.9077,96.1105,,,96.1105,,20.8497,,6.208,,0.0241,,16.0374,,12.2042,,33.8414,,0.336655,,3.1568,,2.3227,,2.8503,,90.2356,,981.971,,,
906.1704,,6.125,,0.0266432,,0.2259,,0.079226,,107.5263,93.9963,,0.9092,93.9963,,,93.9963,,21.7621,,6.2404,,0.0264,,16.5208,,12.5193,,33.8414,,0.335705,,3.14,,2.3238,,2.7509,,90.2529,,973.8421,,,
906.3228,,6.125,,0.0269015,,0.2265,,0.086274,,107.5185,91.7071,,0.9072,91.7071,,,91.7071,,19.936,,6.1968,,0.0273,,15.6909,,11.9454,,33.8414,,0.335787,,3.1077,,2.3226,,2.5209,,89.9048,,966.6894,,,
906.4752,,6.125,,0.0273508,,0.225,,0.094631,,107.4043,93.5855,,0.9039,93.5855,,,93.5855,,18.228,,6.1213,,0.0297,,14.9878,,11.4287,,33.8414,,0.343091,,3.1025,,2.3251,,2.4193,,89.6856,,966.131,,,
906.6276,,6.125,,0.0276492,,0.2213,,0.099198,,107.0719,99.3018,,0.9031,99.3018,,,99.3018,,19.0359,,6.1042,,0.0327,,15.0198,,11.3585,,33.8414,,0.353951,,3.1372,,2.3315,,2.4823,,89.951,,969.7874,,,
906.78,,6.125,,0.0279015,,0.2159,,0.09892,,106.3498,104.3166,,0.9046,104.3166,,,104.3166,,19.6568,,6.139,,0.0338,,15.4998,,11.6318,,33.8414,,0.357913,,3.1907,,2.3408,,2.6724,,90.5327,,977.548,,,
906.9324,,6.125,,0.0278769,,0.2078,,0.100854,,105.6195,105.9613,,0.9064,105.9613,,,105.9613,,19.9233,,6.1794,,0.0336,,16.0467,,12.0382,,33.8414,,0.349167,,3.2327,,2.3547,,2.8962,,90.9394,,987.6582,,,
907.0848,,6.125,,0.0273277,,0.1997,,0.106072,,105.2905,105.5223,,0.9075,105.5223,,,105.5223,,22.0628,,6.2024,,0.0337,,17.0527,,12.8095,,33.8414,,0.332741,,3.2463,,2.3685,,3.091,,90.9538,,985.2993,,,
907.2372,,6.125,,0.0266447,,0.1965,,0.110365,,105.2644,104.5819,,0.9075,104.5819,,,104.5819,,24.8732,,6.2024,,0.0353,,18.6914,,14.0375,,33.8414,,0.323743,,3.2426,,2.374,,3.0976,,90.7962,,970.4932,,,
907.3896,,6.125,,0.0264015,,0.1987,,0.115757,,105.2755,102.2646,,0.9074,102.2646,,,102.2646,,26.6532,,6.2021,,0.0393,,19.8055,,14.8271,,33.8414,,0.320705,,3.2437,,2.3703,,2.917,,90.8414,,971.6456,,,
907.542,,6.125,,0.0262754,,0.2044,,0.124963,,105.5035,98.2359,,0.9087,98.2359,,,98.2359,,26.256,,6.2312,,0.0442,,19.8906,,14.839,,33.8414,,0.318117,,3.2523,,2.3606,,2.7281,,91.3269,,992.4865,,,
907.6944,,6.125,,0.0261231,,0.2148,,0.13013,,106.4446,93.5107,,0.91,93.5107,,,93.5107,,25.5475,,6.2603,,0.0467,,19.6946,,14.6418,,33.8414,,0.313517,,3.2453,,2.3427,,2.5401,,91.9865,,998.6975,,,
907.8468,,6.125,,0.0259292,,0.2311,,0.11981,,107.8153,90.0554,,0.9105,90.0554,,,90.0554,,26.0282,,6.2712,,0.0436,,19.5504,,14.4555,,33.8414,,0.306683,,3.2037,,2.3148,,2.2516,,92.3759,,977.7632,,,
907.9992,,6.125,,0.0255462,,0.2464,,0.098739,,108.9711,88.2203,,0.9106,88.2203,,,88.2203,,24.5607,,6.2748,,0.0366,,18.8217,,13.8993,,33.8414,,0.299597,,3.1437,,2.2887,,1.9313,,92.5308,,952.2943,,,
908.1516,,6.125,,0.0252523,,0.2505,,0.083523,,109.5909,86.765,,0.91,86.765,,,86.765,,21.6402,,6.2597,,0.03,,17.7862,,13.1807,,33.8414,,0.301434,,3.0926,,2.2817,,1.8178,,92.749,,946.9133,,,
908.304,,6.125,,0.025417,,0.2442,,0.081494,,109.8515,87.2097,,0.9096,87.2097,,,87.2097,,22.9144,,6.2514,,0.0267,,18.4074,,13.5753,,33.8414,,0.321292,,3.056,,2.2923,,2.0137,,93.1865,,958.6917,,,
908.4564,,6.125,,0.025983,,0.2417,,0.080941,,110.2135,91.28,,0.9112,91.28,,,91.28,,27.8571,,6.2882,,0.0251,,20.5173,,15.028,,33.8414,,0.345069,,3.0245,,2.2967,,2.2271,,93.951,,972.9418,,,
908.6088,,6.125,,0.0260246,,0.2501,,0.074832,,110.8542,95.3937,,0.9154,95.3937,,,95.3937,,28.3789,,6.3811,,0.0236,,21.2098,,15.6387,,33.8414,,0.356559,,3.0011,,2.2822,,2.1249,,95.1087,,981.887,,,
908.7612,,6.125,,0.0255261,,0.2605,,0.073595,,111.8787,95.1241,,0.9192,95.1241,,,95.1241,,24.5203,,6.4676,,0.024,,20.1656,,15.1037,,33.8414,,0.349567,,2.9977,,2.2645,,1.901,,96.5154,,983.2283,,,
908.9136,,6.125,,0.0250231,,0.2619,,0.085874,,112.9684,91.2857,,0.9197,91.2857,,,91.2857,,24.6411,,6.4793,,0.0272,,20.1566,,15.1221,,33.8414,,0.334553,,3.0019,,2.262,,1.8139,,98.0462,,980.1774,,,
909.066,,6.125,,0.0250447,,0.2578,,0.101531,,113.4884,88.6923,,0.9168,88.6923,,,88.6923,,28.3709,,6.4127,,0.0309,,21.5479,,15.9473,,33.8414,,0.324381,,2.9923,,2.2691,,1.7669,,99.6721,,971.3439,,,
909.2184,,6.125,,0.0256292,,0.2582,,0.103298,,113.7059,89.2389,,0.9125,89.2389,,,89.2389,,28.6866,,6.3175,,0.0313,,22.2392,,16.395,,33.8414,,0.319698,,2.9675,,2.2684,,1.6488,,101.2971,,963.3888,,,
909.3708,,6.125,,0.0262954,,0.2634,,0.090248,,113.913,90.6897,,0.9083,90.6897,,,90.6897,,27.0626,,6.2227,,0.0285,,21.7643,,16.0859,,33.8905,,0.329209,,2.9481,,2.2596,,1.5347,,102.8288,,961.853,,,
909.5232,,6.125,,0.0272261,,0.2659,,0.074006,,113.6595,91.2003,,0.9049,91.2003,,,91.2003,,27.1537,,6.1444,,0.0249,,21.589,,15.9413,,33.9427,,0.355728,,2.9419,,2.2553,,1.5392,,104.1423,,963.8493,,,
