DEPTH,ADTEMP:1,ADTEMP:2,ADTEMP:3,ARH16P:1,ARH16P:2,ARH16P:3,ARH32P:1,ARH32P:2,ARH32P:3,ARH48P:1,ARH48P:2,ARH48P:3,DGRCC:1,DGRCC:2,DGRCC:3,DGRCC:4,GBCGC:1,GBCGC:2,GBCGC:3,R09P:1,R09P:2,R09P:3,R15P:1,R15P:2,R15P:3,R27P:1,R27P:2,R27P:3,R39P:1,R39P:2,R39P:3,TVD:1,TVD:2,TVD:3,TVD:4
421.386,29.9072,,,,,,,,,,,,80.1058,78.7484,,,,,,11.3236,11.3722,11.3722,28.3563,28.5866,28.5866,34.3509,34.5114,34.5114,33.047,33.1102,33.1102,420.1054,420.1085,,
421.5384,29.9072,,,,,,,,,,,,71.8491,72.6179,,,,,,12.8134,12.7441,12.7441,38.7791,38.0869,38.0869,43.2075,42.5129,42.5129,37.977,37.5865,37.5865,420.252,420.2516,,
421.6908,29.9072,,,,,,,,,,,,77.2164,77.0199,,,,,,15.293,14.9465,14.9465,45.9904,45.1939,45.1939,44.7427,44.7954,44.7954,37.4182,37.5894,37.5894,420.4034,420.4067,,
421.8432,29.9072,,,,,,,,,,,,79.7238,79.5928,,,,,,11.8557,12.0896,12.0896,27.7629,28.7427,28.7427,31.9071,32.4857,32.4857,30.0676,30.4073,30.4073,420.549,420.5557,,
421.9956,29.9072,,,,,,,,,,,,77.977,78.1618,,,,,,11.4624,11.2741,11.2741,23.8081,23.6507,23.6507,27.5232,27.3032,27.3032,27.62,27.2745,27.2745,420.7842,420.7704,,
422.148,29.9072,,,,,,,,,,,,75.7783,76.6212,,,,,,8.7887,8.9187,8.9187,17.1907,17.4827,17.4827,20.6879,21.0038,21.0038,22.3691,22.58,22.58,420.8505,420.86,,
422.3004,29.9072,,,,,,,,,,,,87.5123,85.8721,,,,,,12.0627,12.6609,12.6609,28.0976,34.9606,34.9606,31.4988,33.1171,33.1171,30.3421,31.0351,31.0351,421.0063,421.0074,,
422.4528,29.9072,,,,,,,,,,,,81.8733,81.7255,,,,,,20.4696,19.5559,19.5559,73.5619,71.7186,71.7186,43.8225,43.4376,43.4376,35.6068,35.5718,35.5718,421.1423,421.1444,,
422.6052,29.9072,,,,,,,,,,,,79.6304,81.4846,,,,,,13.4406,14.0067,14.0067,25.729,27.2245,27.2245,25.7622,26.489,26.489,25.8084,26.2246,26.2246,421.2898,421.2939,,
422.7576,29.9072,,,,,,,,,,,,90.817,89.8253,,,,,,10.5493,10.5437,10.5437,16.0621,16.3396,16.3396,19.4617,19.5885,19.5885,21.5028,21.5852,21.5852,421.4449,421.4488,,
422.91,29.9072,,,,,,,,,,,,76.0158,75.6784,,,,,,7.2449,7.5143,7.5143,10.3593,10.8678,10.8678,13.5425,14.1982,14.1982,16.9825,17.6898,17.6898,421.5624,421.5424,,
423.0624,29.9072,,,,,,,,,,,,73.2255,72.3848,,,,,,9.5111,9.5298,9.5298,15.3781,15.4625,15.4625,19.7396,19.7412,19.7412,23.6096,23.5899,23.5899,421.7356,421.7355,,
423.2148,29.9072,,,,,,,,,,,,65.911,67.5598,,,,,,11.9553,11.8225,11.8225,23.4174,22.913,22.913,24.7128,24.6488,24.6488,27.7006,27.6719,27.6719,421.884,421.8824,,
423.3672,29.9072,,,,,,,,,,,,72.7752,72.111,,,,,,12.8881,12.8006,12.8006,28.968,28.3892,28.3892,30.64,29.9231,29.9231,30.75,30.221,30.221,422.0319,422.0328,,
423.5196,29.9072,,,,,,,,,,,,69.0866,70.7104,,,,,,12.6213,12.3914,12.3914,24.6949,24.5825,24.5825,25.5246,25.6922,25.6922,24.8183,25.1266,25.1266,422.1851,422.1875,,
423.672,29.9072,,,,,,,,,,,,81.8328,81.7861,,,,,,7.418,8.7011,8.7011,13.935,114.2033,114.2033,17.9468,117.8302,117.8302,20.2801,119.879,119.879,422.3612,422.3608,,
423.8244,29.9072,,,,,,,,,,,,81.5844,81.8491,,,,,,99.6016,84.1972,84.1972,2000.0,1677.4147,1677.4147,1729.0089,1453.5365,1453.5365,1709.5852,1437.6108,1437.6108,422.4808,422.4879,,
423.9768,29.9072,,,,,,,,,,,,76.4763,76.7876,,,,,,235.5826,217.1156,217.1156,1091.4423,1012.0089,1012.0089,286.0456,274.0235,274.0235,225.2826,218.1856,218.1856,422.6145,422.6139,,
424.1292,29.9072,,,,,,,,,,,,76.5456,75.4475,,,,,,14.9421,27.6093,27.6093,31.6262,81.5267,81.5267,34.5921,39.0409,39.0409,32.1591,33.3095,33.3095,422.776,422.7771,,
424.2816,29.6788,,,,,,,,,,,,66.1995,67.198,,,,,,17.6504,17.3828,17.3828,28.9218,28.6441,28.6441,34.7181,34.4948,34.4948,33.2092,32.9462,32.9462,422.9216,422.9186,,
424.434,29.2969,,,,,,,,,,,,67.3222,67.6702,,,,,,15.7859,15.802,15.802,26.9308,26.9935,26.9935,30.2685,30.4097,30.4097,29.9803,30.1642,30.1642,423.0679,423.0692,,
