DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
1801.0632,8.5,,8.5,-0.003637,,-0.0037584,95.6642,,95.6504,121.2151,120.2992,,10.5614,,10.9405,0.039475,,0.0393,1.4315,,1.3976,1.5323,,1.511,51.3421,,51.3421,0.318229,,3.5056,,3.5189,2.3993,,2.407,4.9195,,4.9196,4.7753,,4.7765,4.8018,,4.8068,4.8232,,4.8253,4.7971,,4.7964,5.1215,,5.0941,2.9432,,2.983,-34.9043,,-34.8982,1812.9138,,1818.7159,0.3152
1801.2156,8.5,,8.5,-0.0029037,,-0.0032354,94.7843,,95.0033,119.663,115.4606,,10.5395,,10.8651,0.03583,,0.0358,1.4626,,1.4628,1.5833,,1.5809,51.3421,,51.3421,0.317879,,3.5299,,3.5455,2.4131,,2.4056,5.0284,,5.022,4.8745,,4.8645,4.8921,,4.887,4.9119,,4.9058,4.8826,,4.8752,5.1959,,5.1415,3.1138,,3.1636,-34.742,,-34.7223,1816.1549,,1826.9049,0.3162
1801.368,8.5,,8.5,-0.0019301,,-0.0016248,93.4655,,93.36,117.4297,116.5458,,10.5512,,10.6209,0.038316,,0.0382,1.736,,1.7372,1.8964,,1.8934,51.3421,,51.3421,0.313734,,3.5839,,3.5771,2.4438,,2.4167,5.1145,,5.117,4.9619,,4.9589,4.9768,,4.9751,4.9977,,4.996,4.9679,,4.9654,5.1718,,5.201,3.8231,,3.571,-34.7443,,-34.7223,1786.6274,,1782.7311,0.3153
1801.5204,8.5,,8.5,-0.0010144,,-0.0012752,92.6816,,92.5961,115.4707,115.7685,,10.4567,,10.561,0.049617,,0.0493,1.6838,,1.7071,1.8541,,1.8975,51.3421,,51.3421,0.310093,,3.6217,,3.6012,2.4561,,2.4296,5.0642,,5.0765,4.9412,,4.9541,4.9599,,4.9716,4.9834,,4.9957,4.9557,,4.9679,5.0478,,5.0816,3.8096,,3.5444,-34.9193,,-34.8982,1779.1182,,1774.3734,0.3128
1801.6728,8.5,,8.5,5.25e-05,,0.0002425,93.0843,,92.8655,114.2286,113.2612,,10.3515,,10.3282,0.06253,,0.0626,1.3602,,1.3304,1.5079,,1.4831,51.3421,,51.3421,0.312387,,3.6605,,3.596,2.438,,2.4362,4.9668,,4.9506,4.8918,,4.873,4.9201,,4.8954,4.9504,,4.9243,4.9256,,4.9,4.7199,,4.5809,3.1161,,3.1499,-35.0882,,-35.1178,1808.3679,,1803.889,0.3114
1801.8252,8.5,,8.5,0.0001721,,0.0003584,93.9758,,94.1004,112.6109,112.4918,,10.3486,,10.3406,0.071594,,0.0712,1.199,,1.2215,1.3165,,1.3332,51.3421,,51.3421,0.319197,,3.607,,3.5693,2.4201,,2.4374,4.8971,,4.8645,4.8225,,4.7847,4.8493,,4.8174,4.8778,,4.8483,4.8605,,4.8307,4.6705,,4.3575,2.6422,,2.6974,-35.0757,,-35.1018,1835.9863,,1842.1183,0.3171
1801.9776,8.5,,8.5,-0.0023696,,-0.0017921,94.5592,,94.5702,114.6217,114.0595,,10.6716,,10.6707,0.075855,,0.0762,1.2883,,1.3575,1.3704,,1.4138,51.3421,,51.3421,0.315416,,3.4973,,3.5503,2.4411,,2.4476,4.9146,,4.9022,4.8194,,4.8118,4.8465,,4.8471,4.8671,,4.8701,4.8578,,4.8623,4.6413,,4.4006,2.5836,,2.6942,-35.004,,-34.984,1812.7478,,1822.3248,0.3188
1802.13,8.5,,8.5,-0.0049775,,-0.0056017,94.8174,,94.8638,116.0343,115.2887,,10.8988,,11.1753,0.073584,,0.0736,1.5556,,1.6189,1.626,,1.67,51.3421,,51.3421,0.29899,,3.527,,3.5498,2.4718,,2.4526,4.9577,,4.9616,4.856,,4.8623,4.8888,,4.8935,4.9059,,4.9099,4.8997,,4.9048,4.7104,,4.6105,2.9555,,2.8746,-34.9916,,-34.9884,1780.6056,,1771.1588,0.3057
1802.2824,8.5,,8.5,-0.0042926,,-0.004677,95.0438,,94.9977,114.9354,113.2375,,10.7897,,10.9622,0.065424,,0.0656,1.6968,,1.7426,1.7621,,1.8092,51.3421,,51.3421,0.285722,,3.5583,,3.5533,2.4519,,2.4489,5.0201,,5.0095,4.8902,,4.878,4.9148,,4.9044,4.9314,,4.9193,4.9247,,4.9139,5.0361,,5.0361,3.1708,,3.0534,-34.9526,,-34.9652,1793.4924,,1787.9327,0.29
1802.4348,8.5,,8.5,-0.0021152,,-0.001939,95.3254,,95.3535,112.907,113.2289,,10.5487,,10.5188,0.055505,,0.0552,1.585,,1.5414,1.6418,,1.621,51.3421,,51.3421,0.28619,,3.5271,,3.5436,2.4169,,2.4343,5.0354,,5.0653,4.863,,4.8871,4.8668,,4.8942,4.8791,,4.9071,4.8737,,4.9063,5.184,,5.1945,2.9487,,2.9392,-34.6224,,-34.6963,1812.3529,,1820.1853,0.2851
