DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DSO8,DSOZ,DT:1,DT:2,ECGR:1,ECGR:2,HART:1,HART:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TNPH
1778.9652,8.5,8.5,0.011011,0.0110277,-0.0102,0.00494,87.4402,87.2992,106.3682,119.8252,6.3115,6.2015,0.0042,0.002472,5.6699,6.092,4.866,5.1451,4.339,4.5692,6.1677,6.5278,47.1479,48.2664,0.290725,3.1106,3.2197,2.5017,2.5084,6.3037,6.5382,-455.4013,-442.6947,1759.1617,1739.1569,0.268273
1779.1176,8.5,8.5,0.0112618,0.0119746,0.0221,0.0077,87.4447,87.1001,109.0384,126.0816,6.2266,6.2287,0.0188,0.002537,5.662,6.0612,4.1111,4.7516,3.7791,4.2304,6.0928,6.4324,47.1479,48.2664,0.299954,3.1369,3.1919,2.4732,2.4903,6.1274,6.2452,-455.4843,-443.051,1769.6332,1715.3248,0.294881
1779.27,8.5,8.5,0.0117395,0.0119254,0.1048,0.022805,87.552,87.3387,110.957,119.9114,6.3232,6.3781,0.0379,0.004215,5.4884,5.8712,2.577,1.4293,2.6431,1.7508,6.2196,6.4957,47.1479,48.2664,0.299824,3.2575,3.2166,2.4751,2.4699,5.9681,5.3242,-455.4147,-442.9317,1769.6097,1759.3629,0.300657
1779.4224,8.5,8.5,0.011947,0.0128608,0.1386,0.038278,87.4832,87.5772,111.1725,117.9549,5.8812,5.7648,0.049,0.010647,4.4505,4.8385,1.131,0.9223,1.4424,1.1482,5.802,6.07,47.1479,48.2664,0.296359,3.3367,3.2415,2.4762,2.4565,5.0392,4.0773,-455.3227,-442.5654,1770.6569,1782.3035,0.299643
1779.5748,8.5,8.5,0.0116667,0.0122346,0.1238,0.04816,86.9065,87.1425,111.4547,116.1943,4.5673,4.3314,0.0453,0.01488,4.2856,4.6478,0.9398,0.9506,1.1812,1.1494,4.5212,4.8343,47.1479,48.2664,0.289243,3.289,3.2638,2.4693,2.4577,4.0239,3.9001,-455.1254,-442.314,1754.9077,1846.1672,0.284549
1779.7272,8.5,8.5,0.0111772,0.0129446,0.0787,0.035731,85.3314,87.5095,112.8785,117.5405,4.5363,3.5018,0.033,0.014008,4.2557,4.6187,1.1696,1.0116,1.4603,1.2996,4.475,4.7824,47.1479,48.2664,0.282181,3.3193,3.2673,2.4792,2.4553,5.0578,4.6583,-454.8878,-442.1192,1778.3971,1836.0,0.302959
1779.8796,8.5,8.5,0.0106978,0.0114369,0.0536,0.02865,83.5103,84.1861,113.6713,115.4094,5.5729,5.2713,0.0273,0.009368,4.2034,4.5965,1.6766,1.4559,1.9523,1.7891,5.475,5.7923,47.1479,48.2664,0.27248,3.3067,3.2828,2.4635,2.4576,5.4448,5.3434,-454.6995,-441.6933,1802.0924,1745.1956,0.271753
1780.032,8.5,8.5,0.0106736,0.0113723,0.0689,0.04042,83.0472,82.87,112.6942,111.9541,5.6858,5.6915,0.0284,0.011692,5.2488,5.6819,1.9003,3.2466,2.1404,3.0569,5.5966,5.9396,47.1479,48.2664,0.269919,3.3586,3.2908,2.493,2.4761,5.6607,5.5883,-454.6661,-441.5029,1789.5167,1737.0039,0.273694
1780.1844,8.5,8.5,0.0105988,0.0102438,0.0541,0.056957,83.6452,83.5683,111.8249,112.4752,5.7588,4.7568,0.0271,0.017811,4.3843,4.7222,1.4396,1.8946,1.8344,2.2541,5.7939,6.0826,47.1479,48.2664,0.263109,3.2893,3.3059,2.5214,2.4911,6.923,6.2505,-454.9375,-441.4433,1768.355,1740.6215,0.240185
1780.3368,8.5,8.5,0.0107434,0.0109023,0.0614,0.046728,85.2579,83.5474,112.0801,115.2421,4.4345,3.7897,0.0196,0.016101,4.101,4.4464,1.4878,1.604,1.8764,2.04,4.7005,4.9451,47.1479,48.2664,0.270268,3.3194,3.2777,2.514,2.485,7.426,5.0698,-455.2477,-441.6236,1740.9758,1808.7656,0.254832
1780.4892,8.5,8.5,0.0110118,0.0117138,0.0761,0.024665,88.0345,84.6764,113.3267,114.8082,4.141,4.9103,0.0092,0.010056,4.2583,4.6056,2.2313,1.5517,2.3069,1.7152,4.136,4.4375,47.1479,48.2664,0.273157,3.3079,3.2327,2.4858,2.4711,5.0215,4.8163,-455.4009,-441.7558,1757.2493,1887.1521,0.272369
1780.6416,8.5,8.5,0.0107152,0.0130516,0.046,0.005394,89.4658,89.9633,115.1898,114.8311,5.1599,5.3902,0.0063,0.002264,4.2708,4.6448,3.9376,2.7145,3.5043,2.6478,5.0935,5.3771,47.1479,48.2664,0.269159,3.2637,3.1979,2.4886,2.4667,5.0564,4.4145,-455.576,-442.1192,1796.5315,1825.0181,0.304455
1780.794,8.5,8.5,0.0099871,0.0123839,0.009,0.0025,89.2803,90.198,119.693,116.339,5.5981,5.5823,0.0058,0.001179,4.8749,5.209,4.5311,4.3746,4.0239,3.8885,5.4989,5.7951,47.1479,48.2664,0.260386,3.2711,3.1906,2.4956,2.48,5.7543,5.6307,-455.6838,-442.2428,1809.3837,1787.0284,0.305493
1780.9464,8.5,8.5,0.0098505,0.0110554,0.0049,5.8e-05,86.7571,86.8482,122.2244,116.3618,5.6779,5.6804,0.005,-0.00054,5.1147,5.5002,4.5513,4.4599,4.0419,3.9588,5.5701,5.8919,47.1479,48.2664,0.261385,3.2177,3.2368,2.4958,2.483,5.787,5.8482,-455.3343,-442.0582,1801.2235,1745.9181,0.281664
1781.0988,8.5,8.5,0.0098369,0.0119631,0.0063,0.0,84.9616,84.8986,120.3141,114.8669,5.7962,5.9977,0.003,0.000177,5.4747,5.839,4.5733,4.6452,4.1078,4.1239,5.7245,6.0576,47.1479,48.2664,0.263284,3.1543,3.2489,2.5081,2.4913,6.1526,5.9213,-454.601,-441.6774,1762.3873,1762.5448,0.296339
1781.2512,8.5,8.5,0.0097617,0.0114208,-0.0094,0.0,84.6856,84.6193,114.5683,112.3657,5.8492,4.5374,0.0024,3.5e-05,4.485,4.8316,5.1485,4.8748,4.7161,4.3356,5.9677,6.2797,47.1479,48.2664,0.255171,3.0963,3.2612,2.5064,2.4886,7.7302,7.4517,-453.9529,-440.8736,1752.7111,1775.7513,0.280929
1781.4036,8.5,8.5,0.0101217,0.0116977,-0.0112,0.0,85.5237,85.1847,107.9375,111.6837,5.0278,3.4572,0.0033,0.001263,4.0525,4.3762,6.0083,5.0675,5.5324,4.8046,5.3858,5.6566,47.1479,48.2664,0.249939,3.2048,3.1898,2.4528,2.4889,9.316,7.1619,-453.5107,-440.013,1766.6794,1787.2615,0.282355
