DEPTH,BS:1,BS:2,BS:3,BS:4,DNPH:1,DNPH:2,DNPH:3,DNPH:4,DPHZ:1,DPHZ:2,DPHZ:3,DPHZ:4,DT:1,DT:2,DT:3,DT:4,ECGR:1,ECGR:2,ECGR:3,EHGR:1,EHGR:2,EHGR:3,EHGR:4,HART:1,HART:2,HART:3,HART:4,HCAL:1,HCAL:2,HCAL:3,HCAL:4,HDRA:1,HDRA:2,HDRA:3,HDRA:4,HLLD:1,HLLD:2,HLLD:3,HLLS:1,HLLS:2,HLLS:3,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTEM:4,HTNP,NPHI:1,NPHI:2,NPHI:3,PEF8,PEFZ:1,PEFZ:2,RHO8,RHOZ:1,RHOZ:2,RHOZ:3,RXO8,RXOZ:1,RXOZ:2,RXOZ:3,SP:1,SP:2,SP:3,SP:4,TENS:1,TENS:2,TENS:3,TENS:4
859.2312,6.125,,,,0.0268688,,,,0.2296,,,,108.8,,,,93.2123,,,90.9231,,,,21.1164,,,,5.9297,,,,0.0077,,,,16.6381,,,13.9588,,,,,35.2387,,,,,0.306365,,,,,,,2.3175,,,,4.6448,,,93.6458,,,,959.9999,,,
859.3836,6.125,,,,0.027,,,,0.2438,,,,110.1183,,,,89.6662,,,90.6419,,,,20.999,,,,6.0001,,,,0.003,,,,16.8851,,,14.0215,,,,,35.2595,,,,,0.314744,,,,,,,2.2932,,,,4.6165,,,94.4245,,,,949.2932,,,
859.536,6.125,,,,0.0270583,,,,0.2585,,,,111.4909,,,,90.4362,,,86.7323,,,,19.4954,,,,6.1003,,,,0.0012,,,,15.1361,,,12.4628,,,,,35.4175,,,,,0.315804,,,,,,,2.2679,,,,4.0343,,,94.9935,,,,942.4042,,,
859.6884,6.125,,,,0.0268312,,,,0.2606,,,,110.8768,,,,89.1945,,,93.0892,,,,15.6766,,,,6.1149,,,,0.0041,,,,13.5626,,,11.2376,,,,,35.4383,,,,,0.318998,,,,,,,2.2644,,,,3.6784,,,95.4284,,,,948.6979,,,
859.8408,6.125,,,,0.0267896,,,,0.2393,,,,108.9193,,,,90.6958,,,87.3332,,,,16.3441,,,,6.1311,,,,0.0154,,,,14.2253,,,11.7273,,,,,35.4383,,,,,0.312369,,,,,,,2.3007,,,,3.9754,,,95.3125,,,,958.3462,,,
859.9932,6.125,,,,0.0266688,,,,0.215,,,,107.3002,,,,92.9208,,,90.5844,,,,22.557,,,,6.1149,,,,0.0259,,,,16.8999,,,13.7578,,,,,35.4383,,,,,0.303025,,,,,,,2.3423,,,,4.7772,,,95.0404,,,,965.7644,,,
860.1456,6.125,,,,0.0264042,,,,0.201,,,,106.2146,,,,101.0483,,,99.009,,,,24.4322,,,,6.1149,,,,0.0338,,,,18.6513,,,15.2808,,,,,35.4383,,,,,0.312808,,,,,,,2.3663,,,,5.311,,,94.1315,,,,960.6991,,,
860.298,6.125,,,,0.0268375,,,,0.2071,,,,106.4187,,,,103.1687,,,111.566,,,,20.8478,,,,6.1421,,,,0.0283,,,,17.3077,,,14.4622,,,,,35.4383,,,,,0.324917,,,,,,,2.356,,,,5.2167,,,93.1419,,,,960.6614,,,
860.4504,6.125,,,,0.0268479,,,,0.2142,,,,107.3855,,,,101.0432,,,96.9233,,,,18.8572,,,,6.2205,,,,0.0204,,,,15.8549,,,13.2996,,,,,35.4383,,,,,0.347665,,,,,,,2.3437,,,,5.0377,,,91.7669,,,,959.3196,,,
860.6028,6.125,,,,0.0265562,,,,0.2219,,,,107.8502,,,,94.6022,,,94.1873,,,,18.5016,,,,6.298,,,,0.0098,,,,15.4351,,,12.9122,,,,,35.4383,,,,,0.344971,,,,,,,2.3305,,,,4.98,,,89.9089,,,,947.0439,,,
860.7552,6.125,,,,0.0272854,,,,0.2258,,,,107.8817,,,,93.9235,,,90.86,,,,18.9574,,,,6.1951,,,,0.0045,,,,15.4828,,,12.9516,,,,,35.4383,,,,,0.339388,,,,,,,2.3239,,,,4.8848,,,87.306,,,,955.4924,,,
860.9076,6.125,,,,0.0273,,,,0.2307,,,,107.7411,,,,94.2352,,,94.4999,,,,19.1477,,,,6.1424,,,,0.0019,,,,15.6576,,,13.0688,,,,,35.4383,,,,,0.325548,,,,,,,2.3155,,,,4.7798,,,84.6927,,,,958.0154,,,
861.06,6.125,,,,0.0272521,,,,0.235,,,,107.5361,,,,93.0253,,,94.7156,,,,18.8711,,,,6.001,,,,0.0008,,,,15.5287,,,12.959,,,,,35.4383,,,,,0.321671,,,,,,,2.3082,,,,4.7694,,,83.095,,,,956.598,,,
861.2124,6.125,,,,0.0275375,,,,0.2372,,,,107.0468,,,,91.6136,,,91.4201,,,,18.5644,,,,6.0558,,,,0.001,,,,15.3279,,,12.8562,,,,,35.4383,,,,,0.322998,,,,,,,2.3042,,,,4.7758,,,81.9075,,,,958.6957,,,
861.3648,6.125,,,,0.0274833,,,,0.2358,,,,106.782,,,,89.9235,,,89.6467,,,,18.2971,,,,6.0729,,,,0.003,,,,15.0874,,,12.8007,,,,,35.4383,,,,,0.336531,,,,,,,2.3067,,,,4.7594,,,80.9674,,,,965.9911,,,
861.5172,6.125,,,,0.0279271,,,,0.2288,,,,106.7303,,,,89.4083,,,89.9866,,,,18.1725,,,,6.1287,,,,0.0046,,,,15.0975,,,12.8792,,,,,35.4383,,,,,0.343535,,,,,,,2.3187,,,,4.7704,,,79.7539,,,,971.0278,,,
861.6696,6.125,,,,0.0279208,,,,0.2217,,,,106.5091,,,,94.5544,,,88.3628,,,,18.6679,,,,6.1311,,,,0.0046,,,,15.2032,,,13.0563,,,,,35.4383,,,,,0.341604,,,,,,,2.3309,,,,4.8261,,,78.1211,,,,986.9131,,,
861.822,6.125,,,,0.0279167,,,,0.2197,,,,106.2746,,,,94.2874,,,106.3884,,,,18.5662,,,,6.0915,,,,0.004,,,,15.3561,,,13.2202,,,,,35.4383,,,,,0.328492,,,,,,,2.3345,,,,4.9334,,,77.0638,,,,991.572,,,
861.9744,6.125,,,,0.0273,,,,0.2181,,,,106.066,,,,93.3138,,,90.401,,,,18.955,,,,6.0803,,,,0.008,,,,15.5844,,,13.3281,,,,,35.4383,,,,,0.317335,,,,,,,2.337,,,,4.9693,,,77.5391,,,,981.451,,,
862.1268,6.125,,,,0.0266312,,,,0.218,,,,106.1382,,,,95.6708,,,86.823,,,,19.1893,,,,6.1756,,,,0.0099,,,,15.5271,,,13.2549,,,,,35.4383,,,,,0.315787,,,,,,,2.3373,,,,4.951,,,78.3893,,,,972.4265,,,
862.2792,6.125,,,,0.0263562,,,,0.2205,,,,106.2021,,,,98.5314,,,112.6962,,,,18.1689,,,,6.2152,,,,0.0096,,,,15.0754,,,12.9755,,,,,35.4383,,,,,0.321871,,,,,,,2.333,,,,4.9003,,,78.2617,,,,967.1251,,,
862.4316,6.125,,,,0.0272271,,,,0.2267,,,,106.1207,,,,103.6918,,,99.8994,,,,17.3758,,,,6.1409,,,,0.0039,,,,14.5759,,,12.5733,,,,,35.4383,,,,,0.336717,,,,,,,2.3224,,,,4.855,,,76.5899,,,,965.1595,,,
862.584,6.125,,,,0.0275542,,,,0.2232,,,,103.1662,,,,96.5342,,,101.8367,,,,16.8068,,,,6.0964,,,,0.0006,,,,14.0718,,,12.1742,,,,,35.4383,,,,,0.338342,,,,,,,2.3284,,,,5.0037,,,73.8633,,,,959.1965,,,
