TVD,ROP,GR,T-TEMP
100.4316,20.4372,49.4124,22.0838
100.584,19.2603,50.5088,22.079
100.7364,17.3338,53.9777,22.0742
100.8888,15.4073,54.072,22.1009
101.0412,15.0046,54.5488,22.0964
101.1936,18.2357,52.7722,22.092
101.346,21.4668,50.083,22.1077
101.4984,24.6315,51.2959,22.1098
101.6508,23.3848,51.6637,22.1009
101.8032,22.1381,51.4042,22.0921
101.9556,20.8914,50.9479,22.1277
102.108,20.7883,49.1771,22.1142
102.2604,21.0992,48.6557,22.1006
102.4128,21.4101,49.871,22.3321
102.5652,21.338,51.6358,22.3364
102.7176,20.8046,55.4559,22.3407
102.87,20.2711,58.9058,22.3449
103.0224,19.5921,60.5134,22.393
103.1748,18.2174,60.9075,22.393
103.3272,16.8426,62.5334,22.393
103.4796,15.4679,63.1135,22.393
103.632,15.777,62.3747,22.393
103.7844,16.2891,64.3536,22.393
103.9368,16.8012,63.4794,22.393
104.0892,16.7557,62.9363,22.4065
104.2416,16.3564,62.5621,22.3976
104.394,15.957,62.5707,22.3888
104.5464,15.9657,64.7048,22.3799
104.6988,16.7978,66.4788,22.4331
104.8512,17.63,67.8306,22.4245
105.0036,18.4333,68.8108,22.416
105.156,18.6954,66.951,22.4387
105.3084,18.9576,65.1433,22.4301
105.4608,19.2197,64.0307,22.4215
105.6132,19.2917,62.8908,22.4129
105.7656,19.307,63.2069,22.4659
105.918,19.3222,65.382,22.4528
106.0704,19.3942,63.3228,22.4398
106.2228,19.5252,63.3723,22.4267
106.3752,19.6563,62.8868,22.4634
106.5276,19.7963,63.8707,22.4545
106.68,19.9701,65.1248,22.4457
106.8324,20.1438,65.6918,22.469
106.9848,20.3176,67.1759,22.4645
107.1372,19.8008,65.9336,22.46
107.2896,19.2308,64.4929,22.4556
107.442,18.6608,64.3154,22.4789
107.5944,18.5429,63.1804,22.4648
107.7468,18.671,63.6445,22.4507
107.8992,18.799,63.8842,22.4801
108.0516,18.9102,64.7149,22.5073
108.204,18.9925,65.3963,22.4983
108.3564,19.0748,65.2506,22.4894
108.5088,19.1489,65.3959,22.4967
108.6612,19.1368,64.272,22.4874
108.8136,19.1246,63.6686,22.478
108.966,19.1124,62.7697,22.4769
109.1184,19.0609,63.8506,22.4962
109.2708,18.9999,62.7078,22.4918
109.4232,18.9389,63.5431,22.4874
109.5756,19.0366,62.927,22.5268
109.728,19.2774,63.0386,22.5135
109.8804,19.5182,63.3616,22.5002
110.0328,19.5969,63.9573,22.487
110.1852,19.1763,64.5651,22.5127
110.3376,18.7556,65.1047,22.5083
110.49,18.335,63.8644,22.5039
110.6424,16.9559,62.4839,22.4998
110.7948,15.5415,61.662,22.4998
110.9472,14.1271,62.2648,22.4998
111.0996,14.5514,62.5203,22.4998
111.252,15.8256,62.8048,22.5456
111.4044,17.0998,63.1863,22.5456
111.5568,17.6694,61.6831,22.5456
111.7092,17.1969,60.9115,22.5535
111.8616,16.7245,62.8616,22.63
112.014,16.4189,62.918,22.649
112.1664,17.306,64.9918,22.6391
112.3188,18.193,64.816,22.6434
112.4712,19.0801,64.8385,22.6476
112.6236,19.0249,63.7426,22.6518
112.776,18.7932,63.8406,22.6503
112.9284,18.5615,63.9445,22.6472
113.0808,18.6826,63.7843,22.644
113.2332,19.0789,64.7132,22.6409
113.3856,19.4752,64.2502,22.6377
113.538,19.7763,63.9214,22.6805
113.6904,19.8342,63.4944,22.6761
113.8428,19.8921,61.9883,22.6716
113.9952,19.95,61.6529,22.6672
114.1476,19.95,61.414,22.6627
114.3,19.95,62.5167,22.6583
114.4524,19.95,63.0871,22.6538
114.6048,19.8951,62.9086,22.7099
114.7572,19.8189,62.698,22.701
114.9096,19.7427,62.0936,22.692
115.062,19.7188,61.8443,22.6831
115.2144,19.7614,62.1466,22.6742
115.3668,19.8041,61.3225,22.6681
115.5192,19.8279,61.6554,22.675
115.6716,19.7517,61.5265,22.6818
115.824,19.6755,61.6262,22.6887
115.9764,19.5993,65.3146,22.6955
116.1288,19.7052,65.8673,22.7423
116.2812,19.8362,64.8688,22.7375
116.4336,19.9673,64.9786,22.7326
116.586,19.8942,63.6352,22.7277
116.7384,19.6839,63.9336,22.7228
116.8908,19.4736,64.2689,22.7179
117.0432,19.3881,64.8733,22.7315
117.1956,19.571,63.4922,22.7541
117.348,19.7539,62.7156,22.7481
117.5004,19.9302,64.103,22.7422
