DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
879.4,0.137049,0.049368,37.305096,1513.671875,98.886349,0.375219,8.756599,0.077274,2.226454,2.885017,116.227928,8.809229,0.872232,20.046464,23.56236,26.242731,30.02618,38.264248,44.977482,68.611439,8.5
879.5,0.136996,0.049314,37.29991,1525.878906,99.766754,0.3771,8.746374,0.081926,2.239098,2.867909,114.864738,8.594852,0.896442,20.808133,24.579021,27.465407,31.554658,40.51021,47.851955,73.328594,8.5
879.6,0.137472,0.04979,37.288942,1550.292969,101.580936,0.378252,8.753207,0.084439,2.253128,2.859886,112.992504,8.932382,0.927195,21.558298,25.495107,28.511392,32.788414,42.1681,49.868523,76.539745,8.5
879.7,0.138431,0.050749,37.277155,1535.644531,104.086823,0.375756,8.776705,0.08491,2.269123,2.857214,110.757889,9.569432,0.959623,22.524407,26.536859,29.601686,33.935423,43.397877,51.131086,78.257915,8.5
879.8,0.139802,0.05212,37.292772,1506.347656,107.278431,0.367712,8.814212,0.082941,2.283215,2.853902,108.491623,10.214084,0.993155,24.560866,28.68684,31.816202,36.212826,45.715925,53.401287,81.05547,8.5
879.9,0.141433,0.053751,37.30687,1491.699219,110.644871,0.355457,8.86358,0.080003,2.293549,2.854888,106.619984,10.951481,1.028856,25.850273,29.859159,32.87219,37.070471,46.027437,53.173733,79.761749,8.5
880.0,0.142963,0.055282,37.297661,1479.492188,113.39011,0.341479,8.916999,0.078907,2.301588,2.858312,105.39793,11.599174,1.070139,25.417151,28.999184,31.66414,35.343176,43.078749,49.15741,72.604443,8.5
880.1,0.143947,0.056265,37.302504,1479.492188,115.416817,0.32879,8.959586,0.081415,2.308795,2.860308,104.889832,11.755775,1.120349,25.259354,28.474516,30.84277,34.082636,40.798182,45.997013,66.750519,8.5
880.2,0.144191,0.05651,37.326286,1496.582031,116.053219,0.319597,8.978416,0.086783,2.313523,2.858856,104.753216,11.476021,1.180283,25.638686,28.622094,30.801799,33.761688,39.82576,44.463148,63.472597,8.5
880.3,0.143944,0.056263,37.305662,1525.878906,115.09016,0.313474,8.974851,0.093583,2.314794,2.865553,104.375515,10.953001,1.245049,25.588379,28.380375,30.409062,33.150158,38.722057,42.94803,60.611977,8.5
880.4,0.143632,0.055951,37.280134,1528.320313,112.407269,0.306423,8.963022,0.101188,2.315257,2.890514,102.930359,10.062044,1.30802,24.392222,26.951566,28.805338,31.302916,36.356981,40.172085,56.337494,8.5
880.5,0.14349,0.055809,37.300938,1518.554688,108.90601,0.294411,8.955412,0.108771,2.319503,2.932666,99.818935,8.77426,1.356862,20.458841,22.538445,24.041037,26.060961,30.134181,33.197605,46.31542,8.5
880.6,0.14355,0.055869,37.295485,1518.554688,105.034363,0.276798,8.954147,0.114805,2.33271,3.007367,94.962421,7.553374,1.375147,15.693717,17.221336,18.321549,19.796248,22.756443,24.972099,34.55794,8.5
880.7,0.143959,0.056278,37.271193,1508.789063,101.56284,0.256095,8.959156,0.118599,2.359439,3.130415,89.013092,6.603121,1.354737,14.380377,15.700386,16.647089,17.9112,20.433566,22.309681,30.510511,8.5
880.8,0.144975,0.057294,37.300058,1499.023438,98.790054,0.235793,8.979637,0.119689,2.396263,3.278991,83.116791,5.876367,1.307699,24.612944,26.755629,28.286772,30.32454,34.369665,37.36203,50.559464,8.5
880.9,0.146368,0.058687,37.276499,1474.609375,96.411495,0.218644,9.022285,0.11843,2.435041,3.401229,78.438034,5.385276,1.293818,42.29241,45.909248,48.490728,51.922661,58.723759,63.745842,85.90501,8.5
