DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
3425.0376,6.82191,6.25,83.79248,0.14496,0.00467,13.37116,13.09708,12.93621,12.91071,13.18601,13.09968,70.88663,0.0293,3.83909,2.5955,0.25399,5.54073,7528.12537
3425.19,6.74214,6.25,96.26643,0.13222,0.0001,12.90769,13.02696,12.80932,12.72862,12.95545,12.89011,69.47316,0.02559,3.64011,2.5699,0.25204,5.82243,7440.40043
3425.3424,6.73834,6.25,67.24458,0.22686,0.02183,12.84265,13.6708,13.36662,13.18435,13.38731,13.42932,67.12025,0.02403,3.51437,2.5501,0.23983,4.92103,7467.26734
3425.4948,6.92066,6.25,68.84377,0.16923,0.0001,14.91936,16.13467,16.1219,15.78329,15.69389,15.98863,66.21112,0.0238,3.54661,2.55075,0.22261,5.78932,7371.0626
3425.6472,7.02701,6.25,77.11937,0.13884,0.0001,22.59528,23.76156,25.66215,25.29659,24.15834,25.95055,66.37352,0.0202,3.53114,2.57866,0.19017,6.95356,7412.13295
3425.7996,6.92825,6.25,92.3912,0.11704,0.0001,13.81499,14.18119,15.23152,15.43946,14.48914,15.14745,65.55446,0.02026,3.71032,2.62783,0.17131,9.86861,7356.81196
3425.952,6.84469,6.25,77.76916,0.15346,0.0001,13.46632,13.97875,14.90589,15.28511,14.29533,15.135,65.98207,0.02433,3.80409,2.58795,0.176,8.57877,7372.46766
3426.1044,6.89787,6.25,79.38073,0.22948,0.01548,13.71237,14.10929,15.08191,15.51222,14.48977,15.22425,67.72562,0.03544,3.67606,2.56244,0.19601,6.56864,7434.93307
3426.2568,6.92825,6.25,82.16419,0.2312,0.0001,15.56516,15.89258,16.90708,17.44442,16.22444,16.68288,67.80931,0.03812,3.58329,2.6382,0.20076,7.84676,7417.75092
3426.4092,6.98143,6.25,81.0007,0.11551,0.0001,23.44365,23.18067,24.76576,25.53652,23.83288,24.20821,67.54947,0.03195,3.76147,2.6552,0.1915,10.48203,7522.66701
3426.5616,6.98903,6.25,79.54709,0.07071,0.0001,26.54396,26.10645,26.91253,27.2492,25.67906,26.64263,67.63859,0.02117,4.0223,2.64748,0.18485,11.00314,7562.93479
3426.714,6.88267,6.25,80.28931,0.06459,0.0001,14.82658,14.91125,14.5493,14.61141,14.18015,14.18164,67.68517,0.01325,3.74985,2.59475,0.17926,7.06913,7595.62426
3426.8664,6.79911,6.25,90.53707,0.13037,0.0001,20.99255,19.92975,19.7004,19.4405,19.27198,17.96228,67.80611,0.02135,3.60415,2.57418,0.17745,6.81381,7588.8665
3427.0188,6.91306,6.25,93.68977,0.13404,0.0001,14.91285,14.49255,13.94218,13.55038,13.7213,12.65709,67.90222,0.02654,3.6561,2.63636,0.17863,7.78693,7584.59963
3427.1712,6.94344,6.25,93.19621,0.14918,0.0001,17.54611,17.4182,16.97211,16.61616,16.95668,16.82331,66.09814,0.03964,4.09726,2.66948,0.14498,11.93063,7610.81235
3427.3236,6.98143,6.25,91.76601,0.19078,0.0001,17.81192,17.6848,17.19619,16.81856,17.17447,16.97618,65.12948,0.04056,3.94701,2.67171,0.11146,7.98446,7585.53258
3427.476,6.86748,6.25,99.66688,0.17696,0.0001,18.03849,17.77856,17.30067,16.93156,17.29718,16.96134,64.39778,0.04069,3.87556,2.65938,0.09663,6.83174,7584.81319
3427.6284,6.93585,6.25,93.10664,0.15055,0.0001,18.45968,18.19938,17.70731,17.3383,17.68851,17.24192,63.09397,0.03628,3.7799,2.67928,0.10619,10.36343,7635.33451
3427.7808,6.97004,6.25,93.08366,0.10284,0.0001,35.12576,35.31658,35.26628,34.5647,35.49612,35.10141,59.23773,0.03297,3.90768,2.67577,0.11684,11.33084,7672.73372
3427.9332,6.90546,6.25,79.69299,0.20366,0.0001,45.56145,46.18978,46.24791,44.61601,46.16514,45.82158,59.01788,0.03795,3.8668,2.69631,0.11258,11.34739,7689.62587
3428.0856,6.86748,6.25,84.65159,0.13473,0.0001,60.67295,64.11721,64.38305,63.88784,66.64802,68.51482,58.15602,0.04237,4.12845,2.67603,0.11204,12.19297,7695.39896
3428.238,6.92446,6.25,72.54855,0.13226,0.0001,55.88787,52.79294,53.85697,53.75471,55.55839,54.28255,58.04514,0.04321,4.14126,2.69541,0.1138,15.42384,7793.31225
3428.3904,6.89027,6.25,92.90981,0.15229,0.0001,58.37405,54.33179,55.56628,55.94123,57.66748,56.18323,58.20964,0.04275,4.13594,2.70526,0.11284,15.6489,7856.80054
3428.5428,6.89027,6.25,96.993,0.14068,0.0001,68.15881,63.32583,63.35622,64.00454,65.8532,64.41854,58.26404,0.04569,4.04858,2.69344,0.11502,14.74932,7872.12577
3428.6952,6.85229,6.25,95.97169,0.17112,0.0001,61.68038,59.0134,58.88519,59.55695,61.17715,60.14003,58.21878,0.05192,4.0352,2.71523,0.10995,14.36241,7930.3333
3428.8476,6.86748,6.25,103.0093,0.18809,0.0001,48.06468,45.38952,45.04432,45.07486,46.21475,45.02177,58.58064,0.056,3.91184,2.72944,0.11014,13.94384,7896.5625
3429.0,6.86748,6.25,103.35,0.17275,0.0001,49.21568,47.60347,46.91827,46.93037,47.9806,47.44249,59.29469,0.06001,3.95734,2.71671,0.10996,13.99115,7851.73335
3429.1524,6.85609,6.25,103.8163,0.1427,0.0001,47.84147,45.93624,44.92596,44.73207,45.77293,44.32541,59.80508,0.06229,3.91124,2.69315,0.11498,12.74013,7717.43923
3429.3048,6.91306,6.25,101.1843,0.13737,0.03527,49.75869,48.32693,48.12631,47.12098,48.07933,47.71112,60.63728,0.06141,4.00241,2.65917,0.12472,11.02017,7674.93236
3429.4572,6.93585,6.25,99.9278,0.20551,0.04046,36.00651,35.0501,34.97523,33.44513,33.99781,33.29465,61.89488,0.05462,4.05805,2.68057,0.13174,11.11594,7576.49976
3429.6096,6.89027,6.25,115.4852,0.18422,0.0001,25.3546,25.06906,25.10386,23.81431,24.32848,24.23685,62.90426,0.0517,3.82283,2.67667,0.13707,10.04548,7558.60047
3429.762,6.8295,6.25,95.02123,0.11677,0.0001,23.848,23.82009,23.79687,22.56789,23.07046,23.07226,62.08797,0.05443,3.75931,2.67091,0.14079,8.15533,7573.50081
3429.9144,6.76873,6.25,105.5803,0.131,0.02269,23.865,23.73628,23.59064,22.3073,22.79103,22.41311,61.33274,0.06679,3.73052,2.64199,0.1439,7.65539,7555.93199
3430.0668,6.89027,6.25,87.80439,0.28349,0.07983,28.6292,28.89034,28.58672,27.10751,27.72071,27.74887,60.22875,0.08369,3.67062,2.61292,0.14995,8.7868,7549.43726
3430.2192,7.01941,6.25,108.3053,0.45559,0.05674,38.35018,40.59851,39.65779,37.71901,38.58891,39.07996,58.98983,0.09301,3.76129,2.54539,0.16094,6.81498,7554.46624
3430.3716,7.11057,6.25,112.4283,0.22155,0.02052,27.56253,28.08211,27.24786,26.1682,26.71612,26.7718,58.61773,0.09159,3.52325,2.52863,0.17485,5.25966,7619.93285
3430.524,7.18654,6.25,107.3026,0.24654,0.13221,22.9367,22.23871,21.54613,20.68731,20.9915,19.23615,61.0006,0.08508,3.73436,2.56263,0.19216,4.43665,7786.12511
3430.6764,7.19413,6.25,113.8977,0.33778,0.20229,24.20686,23.05662,22.42276,21.77496,22.06929,20.12148,60.99389,0.09128,3.9903,2.61007,0.18855,3.77883,7811.66565
3430.8288,7.09537,6.25,109.7733,0.46908,0.04754,21.43753,20.07351,19.49672,18.9785,19.16998,16.95743,60.1766,0.10732,4.07546,2.61989,0.18021,4.97085,7752.87586
3430.9812,7.51698,6.25,87.91152,0.3406,0.05269,23.83636,23.29894,22.87171,22.57354,22.71734,22.13405,60.12244,0.10372,3.95947,2.71924,0.17385,9.95489,7705.53335
3431.1336,6.86748,6.25,87.37098,0.20019,0.0001,43.51253,43.55919,43.44155,42.9447,43.50731,43.40926,59.75415,0.08198,3.89518,2.70394,0.15032,7.46404,7589.62635
3431.286,6.85989,6.25,84.28194,0.20636,0.0001,53.10165,52.62448,53.06353,53.14513,54.20605,53.51287,59.07073,0.05279,3.91501,2.6626,0.13378,7.0952,7556.13432
3431.4384,6.93585,6.25,99.87101,0.19309,0.0001,44.43064,44.19845,45.55608,45.60781,46.79554,46.92347,60.24262,0.04421,3.79459,2.63568,0.13076,7.13535,7598.49956
3431.5908,6.93585,6.25,92.42529,0.19151,0.0001,28.98084,28.4944,28.72265,28.40638,29.06164,28.73881,61.16912,0.04421,3.75494,2.66062,0.14557,7.14925,7625.06748
3431.7432,6.98143,6.25,89.202,0.1681,0.0001,33.2056,32.39803,32.6897,32.76737,33.4379,32.9256,61.93298,0.04578,3.75729,2.64374,0.15395,7.09646,7665.74891
3431.8956,6.98143,6.25,98.08978,0.16959,0.0001,28.52148,26.9034,26.7273,26.98083,27.28831,26.66203,64.02559,0.04596,3.80621,2.64411,0.15616,7.01428,7604.46599
3432.048,6.98903,6.25,103.594,0.18915,0.0001,26.95847,24.93228,24.72044,24.90108,25.04453,23.63964,65.85542,0.04992,3.76259,2.66792,0.17113,6.98445,7578.37467
3432.2004,6.98143,6.25,96.38062,0.2179,0.0001,17.3897,16.2413,15.92622,15.96666,16.03231,14.95726,67.57767,0.05286,3.90925,2.66487,0.19232,7.04199,7625.8678
3432.3528,7.00422,6.25,97.22375,0.21897,0.0001,14.70005,14.14641,14.02305,14.00263,14.06605,13.84532,67.77722,0.05028,3.98463,2.67117,0.2129,7.11446,7606.19927
3432.5052,7.00422,6.25,86.21754,0.2269,0.0001,16.44642,15.88165,15.91606,15.74396,15.63938,15.32404,67.44883,0.04219,4.08405,2.65928,0.2028,7.49517,7586.62515
3432.6576,7.00422,6.25,89.18306,0.17469,0.03937,23.84597,23.66307,23.74111,23.83305,23.39808,23.6569,66.82237,0.03481,4.17319,2.6553,0.18919,7.28337,7555.66672
3432.81,6.98143,6.25,101.1651,0.23115,0.06285,20.02815,20.17687,20.12598,20.07215,19.50065,19.95588,67.48281,0.0303,4.08825,2.68121,0.18084,7.99951,7520.60102
3432.9624,6.95864,6.25,86.7189,0.22353,0.03754,15.32895,15.49004,15.57165,15.63552,15.02659,15.41994,68.18778,0.02354,3.87156,2.64831,0.18646,6.39363,7563.31247
3433.1148,7.00422,6.25,94.60107,0.06328,0.0001,13.70568,13.75871,14.0865,14.17075,13.52577,13.85888,69.96529,0.01522,3.55393,2.60227,0.20158,6.67138,7547.66801
3433.2672,7.00422,6.25,99.56145,-0.00245,0.0001,13.9518,13.85823,14.50953,14.45563,13.70862,14.10974,69.33142,0.00793,3.56956,2.58841,0.21812,7.3915,7534.25142
3433.4196,7.02701,6.25,93.84414,0.0501,0.0001,13.99318,13.73347,14.38314,14.31957,13.45233,13.86943,69.08505,0.00707,3.70103,2.60023,0.21536,7.17377,7551.66736
3433.572,7.02701,6.25,92.81596,0.07832,0.0001,17.42883,17.85384,18.18166,18.20415,17.27713,17.78126,69.27781,0.01091,3.71065,2.57827,0.20993,6.99234,7513.75109
3433.7244,7.07259,6.25,83.40218,0.08318,0.0001,13.86125,13.7306,13.92087,13.60508,13.32902,13.44823,70.59232,0.01338,3.69642,2.60852,0.20332,6.88188,7495.86754
3433.8768,7.10297,6.25,86.95639,0.10115,0.0001,14.49303,13.88845,13.84598,13.69986,13.81508,13.46293,70.20751,0.01561,3.66821,2.65173,0.20998,7.56257,7509.93383
3434.0292,7.0384,6.25,78.12961,0.04021,0.0001,16.31609,15.55695,15.51141,15.43102,15.67213,15.36245,70.04508,0.01115,3.46037,2.60644,0.21989,6.62813,7478.87648
3434.1816,6.97004,6.25,67.63594,0.06405,0.0001,16.58481,15.83531,15.7874,15.66652,15.95192,15.65491,69.84023,0.00755,3.40782,2.55663,0.21865,6.60988,7537.2661
