TVD,GR,T-TEMP
524.256,75.0461,33.0709
524.4084,76.1875,33.0709
524.5608,75.6667,33.0709
524.7132,76.25,33.0709
524.8656,78.1307,33.0709
525.018,79.5838,33.0709
525.1704,78.5291,33.0709
525.3228,78.2677,33.0709
525.4752,78.0,33.0709
525.6276,74.9359,33.0709
525.78,74.7286,33.0709
525.9324,73.8462,33.0709
526.0848,72.1637,33.0709
526.2372,72.3559,33.0709
526.3896,72.9835,33.0709
526.542,74.3256,33.0709
526.6944,75.7621,33.0709
526.8468,74.5611,33.0709
526.9992,74.7428,33.0709
527.1516,73.3993,33.0709
527.304,74.2517,33.0709
527.4564,74.8902,33.0709
527.6088,76.0,33.0709
527.7612,75.875,33.0709
527.9136,75.7111,33.0709
528.066,75.4099,33.0709
528.2184,74.8901,33.0709
528.3708,75.3097,33.0709
528.5232,76.2689,33.0709
528.6756,75.8649,33.0709
528.828,76.5519,33.0709
528.9804,76.3565,33.0709
529.1328,77.2754,33.0709
529.2852,76.471,33.0709
529.4376,77.4327,33.0709
529.59,76.6365,33.0709
529.7424,76.5162,33.0709
529.8948,75.7245,33.0709
530.0472,76.0207,33.0709
530.1996,77.5902,33.0709
530.352,77.6923,33.0709
530.5044,78.076,33.0709
530.6568,78.1482,33.0709
530.8092,76.9279,33.0709
530.9616,76.2583,33.0709
531.114,76.5099,33.0709
531.2664,76.291,33.0709
531.4188,78.6191,33.0709
531.5712,77.8571,33.0709
531.7236,80.0,33.0709
531.876,78.6512,33.0709
532.0284,78.4,33.0709
532.1808,76.2695,33.0709
532.3332,76.4444,33.0709
532.4856,76.2515,33.0709
532.638,75.7837,33.0709
532.7904,76.6688,33.0709
532.9428,76.6725,33.0709
533.0952,75.8751,33.0709
533.2476,74.2002,33.0709
533.4,75.5399,33.0709
533.5524,77.2325,33.0709
533.7048,78.7959,33.0709
533.8572,80.8533,33.0709
534.0096,80.6355,33.0709
534.162,79.2094,33.0709
534.3144,78.3776,33.0709
534.4668,77.5081,33.0709
534.6192,77.4132,33.0709
534.7716,78.1697,33.0709
534.924,77.5979,33.0709
535.0764,77.7102,33.0709
535.2288,76.4139,33.0709
535.3812,73.9785,33.0709
535.5336,73.6754,33.0709
535.686,75.1168,33.0709
535.8384,75.9389,33.0709
535.9908,78.5076,33.0709
536.1432,78.0277,33.0709
536.2956,78.1333,33.0709
536.448,78.4098,33.0709
536.6004,78.3078,33.0709
536.7528,77.0225,33.0709
536.9052,74.9473,33.0709
537.0576,75.1465,33.0709
537.21,74.8479,33.0709
537.3624,75.5,33.0709
537.5148,76.3128,33.0709
537.6672,76.0686,33.0709
537.8196,77.1065,33.0709
537.972,78.4653,33.0709
538.1244,79.0181,33.0709
538.2768,80.8455,33.0709
538.4292,81.6133,33.0709
538.5816,81.307,33.0709
538.734,81.895,33.0709
538.8864,80.5455,33.0709
539.0388,80.0,33.0709
539.1912,79.1859,33.0709
539.3436,78.6046,33.0709
539.496,78.4895,33.0709
539.6484,78.6177,33.0709
539.8008,78.9091,33.0709
539.9532,79.1894,33.0709
540.1056,79.6589,33.0709
540.258,80.3436,33.0709
540.4104,80.2222,33.0709
540.5628,78.643,33.0709
540.7152,77.8819,33.0709
540.8676,75.8526,33.0709
541.02,76.2559,33.0709
541.1724,76.6659,33.0709
541.3248,76.4272,33.0709
541.4772,79.3121,33.0709
541.6296,79.5265,33.0709
541.782,80.25,33.0709
541.9344,81.3634,33.0709
542.0868,80.7662,33.0709
542.2392,80.1628,33.0709
542.3916,79.33,33.0709
542.544,78.8821,33.0709
542.6964,77.9315,33.0709
542.8488,76.4547,33.0709
543.0012,76.5022,33.0709
543.1536,76.0901,33.0709
543.306,76.1199,33.0709
543.4584,77.4144,33.0709
543.6108,77.1269,33.0709
543.7632,77.8182,33.0709
543.9156,76.6803,33.0709
544.068,76.0298,33.0709
544.2204,76.1855,33.0709
544.3728,76.0,33.0709
544.5252,76.4523,33.0709
544.6776,76.3547,33.0709
544.83,76.3746,33.0709
544.9824,76.4945,33.0709
545.1348,77.5294,33.0709
545.2872,78.0578,33.0709
545.4396,77.622,33.0709
545.592,77.235,33.0709
545.7444,76.9099,33.0709
545.8968,76.1845,33.0709
546.0492,76.3895,33.0709
546.2016,76.9391,33.0709
546.354,78.3067,33.0709
546.5064,79.125,33.0709
546.6588,78.868,33.0709
546.8112,80.1774,33.0709
546.9636,80.1429,33.0709
547.116,78.7707,33.0709
547.2684,79.7918,33.0709
547.4208,79.0365,33.0709
547.5732,78.3192,33.0709
547.7256,78.0071,33.0709
547.878,78.2415,33.0709
548.0304,78.4451,33.0709
548.1828,78.8571,33.0709
548.3352,78.5916,33.0709
548.4876,78.5772,33.0709
548.64,78.3715,33.0709
548.7924,78.0993,33.0709
548.9448,78.4286,33.0709
549.0972,78.3966,33.0709
549.2496,78.1566,33.0709
549.402,78.3175,33.0709
549.5544,77.4541,33.0709
549.7068,77.9419,33.0709
549.8592,77.9651,33.0709
550.0116,77.316,33.0709
550.164,77.7914,33.0709
550.3164,77.507,33.0709
550.4688,77.8476,33.0709
550.6212,78.4,33.0709
550.7736,79.6386,33.0709
550.926,80.005,33.0709
551.0784,80.0261,33.0709
551.2308,80.3971,33.0709
551.3832,78.9293,33.0709
551.5356,79.0124,33.0709
551.688,79.2476,33.0709
551.8404,78.5459,33.0709
551.9928,76.9539,33.0709
552.1452,77.7227,33.0709
552.2976,77.0194,33.0709
552.45,77.2016,33.0709
552.6024,77.1919,33.0709
552.7548,77.4701,33.0709
552.9072,76.7922,33.0709
553.0596,79.8352,33.0709
553.212,78.9572,33.0709
553.3644,79.1111,33.0709
553.5168,80.0664,33.0709
553.6692,79.2594,33.0709
553.8216,79.6527,33.0709
553.974,78.0098,33.0709
554.1264,76.8458,33.0709
554.2788,76.0446,33.0709
554.4312,76.2788,33.0709
554.5836,77.2038,33.0709
554.736,78.9029,33.0709
554.8884,80.9261,33.0709
555.0408,80.4505,33.0709
555.1932,81.7528,33.0709
555.3456,80.6482,33.0709
555.498,78.6667,33.0709
555.6504,78.0847,33.0709
555.8028,77.3159,33.0709
555.9552,76.2222,33.0709
556.1076,80.3571,33.0709
556.26,81.4011,33.0709
556.4124,81.3633,33.0709
556.5648,80.352,33.0709
556.7172,78.0549,33.0709
556.8696,75.692,33.0709
557.022,76.0659,33.0709
557.1744,77.4542,33.0709
557.3268,78.9515,33.0709
557.4792,80.0486,33.0709
557.6316,80.1625,33.0709
557.784,81.0146,33.0709
557.9364,81.0986,33.0709
558.0888,81.6819,33.0709
558.2412,80.5473,33.0709
558.3936,79.484,33.0709
558.546,79.0448,33.0709
558.6984,78.0638,33.0709
558.8508,78.4035,33.0709
559.0032,76.0529,33.0709
559.1556,75.3596,33.0709
559.308,75.2,33.0709
559.4604,75.105,33.0709
559.6128,77.2616,33.0709
559.7652,77.3435,33.0709
559.9176,77.8233,33.0709
560.07,79.5737,33.2298
560.2224,79.2685,33.4386
560.3748,78.5893,33.6473
560.5272,78.0946,33.8561
560.6796,76.8693,34.0648
560.832,74.573,34.2736
560.9844,74.6423,34.4488
561.1368,74.532,34.4488
561.2892,76.6457,34.4488
561.4416,76.7516,34.4488
561.594,77.3903,34.4488
561.7464,76.7993,34.4488
561.8988,75.253,33.9938
562.0512,75.5075,33.4998
562.2036,76.3183,33.1372
562.356,76.6388,33.6399
562.5084,76.1221,34.1427
562.6608,76.4606,34.4488
562.8132,75.6753,34.4488
562.9656,75.3901,34.4488
563.118,75.708,34.4488
563.2704,77.1872,34.4488
563.4228,76.2864,34.4488
563.5752,77.0386,34.4488
563.7276,77.7923,34.4488
563.88,77.6806,34.4488
564.0324,77.9043,34.4488
564.1848,79.0157,34.4488
564.3372,79.0,34.4488
564.4896,80.1945,34.4488
564.642,79.2235,34.4488
564.7944,78.103,34.4488
564.9468,79.3713,34.4488
565.0992,79.1527,34.4488
565.2516,78.7669,34.4488
565.404,79.12,34.4488
565.5564,78.6524,34.4488
565.7088,78.1527,34.4488
565.8612,77.4154,34.4488
566.0136,76.394,34.4488
566.166,75.0292,34.4488
566.3184,74.6286,34.4488
566.4708,74.8148,34.4488
566.6232,74.3472,34.4488
566.7756,75.0114,34.3613
566.928,75.4366,34.0002
567.0804,74.9069,33.6391
567.2328,74.4456,33.2779
567.3852,74.515,33.0709
567.5376,73.8333,33.0709
567.69,73.3573,33.0709
567.8424,73.5188,33.0709
567.9948,74.4633,33.6625
568.1472,76.5731,34.2716
568.2996,76.216,34.4488
568.452,76.1178,34.4488
568.6044,75.6913,34.4488
568.7568,75.0506,34.4488
568.9092,75.5829,34.4488
569.0616,76.4598,34.4488
569.214,76.9377,34.4488
569.3664,78.4726,34.4488
569.5188,78.0,34.4488
569.6712,75.9669,34.4488
569.8236,75.7733,34.4488
569.976,74.6845,34.4488
570.1284,75.9214,34.4488
570.2808,76.3677,34.4488
570.4332,77.1206,34.4488
570.5856,77.5606,34.4488
570.738,76.9219,34.4488
570.8904,76.9457,34.4488
571.0428,76.7953,34.4488
571.1952,76.9635,34.4488
571.3476,78.2738,34.4488
571.5,77.9284,34.4488
571.6524,77.3858,34.4488
571.8048,77.3633,34.4488
571.9572,78.6667,34.4488
572.1096,77.7333,34.4488
572.262,77.6651,34.4488
572.4144,75.2787,34.4488
572.5668,70.8273,34.4488
572.7192,65.9573,34.4488
572.8716,60.4405,34.4488
573.024,56.7824,34.4488
573.1764,51.9678,34.4488
573.3288,51.2164,34.4488
573.4812,50.6782,34.4488
573.6336,50.2635,34.4488
573.786,50.3345,34.4488
573.9384,50.2321,34.4488
574.0908,50.4158,34.4488
574.2432,52.0187,34.4488
574.3956,51.9344,34.4488
574.548,52.4929,34.4488
574.7004,53.1746,34.4488
574.8528,54.8548,34.4488
575.0052,55.5682,34.4488
575.1576,60.6162,34.4488
575.31,64.1698,34.4488
575.4624,67.0,34.4488
575.6148,70.3774,34.4488
575.7672,70.8889,34.4488
575.9196,71.7345,34.4488
576.072,69.0565,34.4488
576.2244,68.5969,34.4488
576.3768,68.1411,34.4488
576.5292,69.3481,34.4488
576.6816,71.0241,34.4488
576.834,71.9201,34.4488
576.9864,72.0838,34.4488
577.1388,72.3867,34.4488
577.2912,69.7171,34.4488
577.4436,70.0681,34.4488
577.596,70.3635,34.4488
577.7484,69.3609,34.4488
577.9008,69.7904,34.4488
578.0532,70.068,34.4488
578.2056,70.1287,34.4488
578.358,71.1638,34.4488
578.5104,72.1613,34.4488
578.6628,72.0309,34.4488
578.8152,72.7971,34.4488
578.9676,72.5455,34.4488
579.12,72.0333,34.4488
579.2724,72.0237,34.4488
579.4248,72.2522,34.4488
579.5772,72.6353,34.4488
579.7296,72.3651,34.4488
579.882,72.4,34.4488
580.0344,70.1037,34.4488
580.1868,70.6457,34.4488
580.3392,70.1385,34.4488
580.4916,69.6344,34.4488
580.644,71.0459,34.4488
580.7964,71.549,34.4488
580.9488,70.8068,34.4488
581.1012,70.9133,34.4488
581.2536,71.6831,34.4488
581.406,68.2418,34.4488
581.5584,70.1818,34.4488
581.7108,70.5882,34.4488
581.8632,70.9901,34.4488
582.0156,71.4619,34.4488
582.168,72.9289,34.4488
582.3204,72.9435,34.4488
