DEPT,GR
467.0,68.7827
467.5,65.6351
468.0,64.8519
468.5,67.2676
469.0,71.1977
469.5,71.8877
470.0,72.3555
470.5,72.43
471.0,74.2313
471.5,75.0801
472.0,74.1452
472.5,74.7125
473.0,76.9904
473.5,74.7206
474.0,72.3299
474.5,75.2496
475.0,72.4307
475.5,74.4075
476.0,73.4239
476.5,73.1175
477.0,72.9205
477.5,74.4606
478.0,71.429
478.5,73.4869
479.0,76.5057
479.5,74.055
480.0,74.9722
480.5,74.8845
481.0,75.9755
481.5,74.8875
482.0,74.0823
482.5,75.0344
483.0,78.9442
483.5,77.2978
484.0,75.8428
484.5,76.2962
485.0,76.1453
485.5,76.6608
486.0,80.8207
486.5,81.0482
487.0,79.5154
487.5,83.9172
488.0,79.3829
488.5,78.2636
489.0,75.2144
489.5,74.8731
490.0,75.7257
490.5,74.8482
491.0,79.6538
491.5,79.9753
492.0,83.6055
492.5,78.6888
493.0,78.0647
493.5,75.3986
494.0,74.7365
494.5,78.663
495.0,78.2001
495.5,77.3774
496.0,77.3385
496.5,77.595
497.0,76.4347
497.5,77.0192
498.0,79.7838
498.5,80.593
499.0,75.2142
499.5,78.5596
500.0,75.3778
500.5,75.5412
501.0,78.882
501.5,80.3034
502.0,77.1669
502.5,76.3723
503.0,77.7071
503.5,78.2202
504.0,78.8665
504.5,78.4021
505.0,74.0229
505.5,73.7683
506.0,76.2483
506.5,77.4399
507.0,76.8214
507.5,81.237
508.0,78.241
508.5,77.6751
509.0,73.8782
509.5,75.247
510.0,78.7165
510.5,77.4609
511.0,79.5387
511.5,77.38
512.0,76.8318
512.5,78.5839
513.0,79.4155
513.5,76.7632
514.0,78.7095
514.5,80.7971
515.0,79.7757
515.5,77.48
516.0,77.1606
516.5,79.5917
517.0,81.4272
517.5,81.2416
518.0,78.4007
518.5,78.0244
519.0,77.9429
519.5,75.3074
520.0,74.9817
520.5,78.1815
521.0,76.8557
521.5,78.6206
522.0,77.8494
522.5,81.4694
523.0,80.2771
523.5,81.2696
524.0,80.3287
524.5,80.8
525.0,79.8687
525.5,80.1268
526.0,80.7853
526.5,80.3067
527.0,83.7847
527.5,82.0728
528.0,79.7064
528.5,83.4535
529.0,80.3609
529.5,78.5664
530.0,79.9536
530.5,83.0551
531.0,79.5214
531.5,76.9629
532.0,75.2299
532.5,76.544
533.0,76.3571
533.5,78.4913
534.0,76.8239
534.5,78.1332
535.0,74.9558
535.5,77.5965
536.0,78.3367
536.5,77.0695
537.0,77.6809
537.5,74.9611
538.0,76.6719
538.5,77.2243
539.0,76.915
539.5,77.1385
540.0,79.9382
540.5,79.531
541.0,77.8435
541.5,78.7704
542.0,78.6913
542.5,79.7757
543.0,77.6014
543.5,76.5777
544.0,81.6315
544.5,79.8944
545.0,74.8125
545.5,76.7777
546.0,77.262
546.5,77.6042
547.0,75.9966
547.5,78.4939
548.0,79.359
548.5,78.5731
549.0,77.7181
549.5,74.9029
550.0,73.0938
550.5,74.5449
551.0,77.8048
551.5,75.212
552.0,77.3759
552.5,77.8947
553.0,78.5173
553.5,76.7143
554.0,77.8099
554.5,80.0374
555.0,80.607
555.5,79.6876
556.0,77.6849
556.5,77.7404
557.0,77.8106
557.5,79.0193
558.0,80.8243
558.5,79.6085
559.0,81.5597
559.5,81.8476
560.0,78.9002
560.5,76.6672
561.0,76.7962
561.5,77.8946
562.0,79.717
562.5,80.8189
563.0,78.4159
563.5,76.3258
564.0,78.2209
564.5,79.4536
565.0,76.874
565.5,78.8882
566.0,77.2587
566.5,76.7524
567.0,81.4889
567.5,81.9973
568.0,80.528
568.5,77.7035
569.0,78.2049
569.5,76.9779
570.0,75.2409
570.5,79.1118
571.0,78.3389
571.5,78.9022
572.0,78.5802
572.5,78.5943
573.0,79.2203
573.5,79.8005
574.0,79.9237
574.5,77.9804
575.0,73.9352
