DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,HP01,HP02,BIT
1719.8,50.175613,3346.755119,114.2553,0.300049,9.107909,0.049633,2.460941,3.265642,87.188939,93.896593,3.683726,5.26262,5.061333,5.242452,5.20635,5.182425,0.147594,0.059912,5.303198,5.278812,8.5
1719.9,50.155279,3341.848512,113.491625,0.298336,9.055533,0.053404,2.470941,3.256873,87.005895,93.814938,3.626569,5.084904,4.816615,5.057935,5.009757,4.977898,0.145748,0.058067,5.139283,5.106585,8.5
1720.0,50.141679,3339.84375,113.604621,0.295262,8.993973,0.058545,2.482094,3.251967,86.955225,93.700316,3.584079,5.049963,4.718226,5.016514,4.956868,4.917502,0.144278,0.056597,5.117536,5.076883,8.5
1720.1,50.183289,3342.769085,115.172679,0.292058,8.964601,0.063087,2.490138,3.239082,87.036647,93.627507,3.56349,5.122868,4.752358,5.085457,5.018806,4.974857,0.144148,0.056467,5.198518,5.152995,8.5
1720.2,50.188321,3344.726563,117.850886,0.288572,8.986159,0.0652,2.492325,3.219236,87.187173,93.541972,3.568766,5.148231,4.780071,5.111071,5.044858,5.001193,0.145517,0.057836,5.223364,5.178153,8.5
1720.3,50.187468,3356.615438,120.07819,0.283982,9.049701,0.06545,2.491508,3.20079,87.32397,93.473304,3.593731,5.096293,4.762268,5.062637,5.002615,4.962998,0.147838,0.060156,5.164282,5.12338,8.5
1720.4,50.173964,3376.239856,121.781436,0.278821,9.129333,0.064235,2.488836,3.198504,87.40578,93.423776,3.61906,5.030213,4.728007,4.999807,4.945538,4.909686,0.150249,0.062567,5.091583,5.054672,8.5
1720.5,50.127503,3386.807766,121.946526,0.273465,9.197265,0.062337,2.486008,3.219902,87.403996,93.315516,3.635912,4.895777,4.612568,4.867296,4.816448,4.782844,0.152048,0.064366,4.95324,4.918682,8.5
1720.6,50.152238,3379.546487,121.37983,0.269151,9.238677,0.06135,2.486786,3.260211,87.333542,93.202311,3.647776,4.904934,4.615005,4.875769,4.823708,4.78931,0.153,0.065318,4.963789,4.928392,8.5
1720.7,50.158847,3370.958648,121.14702,0.267764,9.254851,0.061942,2.49223,3.303513,87.209729,93.136275,3.660802,4.965107,4.649306,4.933304,4.876572,4.839114,0.153221,0.06554,5.029332,4.990698,8.5
1720.8,50.161937,3369.140625,122.050266,0.270919,9.251986,0.06302,2.498664,3.342259,87.071131,93.139308,3.672629,4.945431,4.600706,4.910663,4.848697,4.807822,0.152917,0.065235,5.015708,4.973422,8.5
1720.9,50.189026,3369.140625,123.748175,0.276397,9.236396,0.063037,2.50154,3.368539,86.92839,93.157404,3.677274,5.00619,4.628892,4.968088,4.900233,4.855513,0.152262,0.06458,5.083275,5.036883,8.5
1721.0,50.169526,3372.273803,124.39344,0.281788,9.212327,0.063052,2.503663,3.38263,86.812925,93.217257,3.675969,5.143276,4.734642,5.101971,5.028458,4.980039,0.151455,0.063773,5.22689,5.17656,8.5
1721.1,50.157034,3370.86766,123.163744,0.285026,9.187431,0.062274,2.503305,3.383649,86.753332,93.280252,3.673565,5.168992,4.746558,5.12627,5.050257,5.000209,0.150749,0.063067,5.255509,5.203427,8.5
1721.2,50.176277,3381.853743,120.620832,0.286091,9.169453,0.061092,2.502017,3.39597,86.784769,93.325143,3.673864,5.185478,4.762516,5.142701,5.06659,5.016476,0.150248,0.062566,5.272103,5.219956,8.5
1721.3,50.18113,3375.869141,117.536958,0.283648,9.156907,0.059614,2.500301,3.421079,86.891824,93.387802,3.679549,5.20962,4.801823,5.168403,5.095035,5.046702,0.149832,0.062151,5.293042,5.24283,8.5
1721.4,50.21335,3365.917635,114.369071,0.280352,9.144086,0.058962,2.500916,3.437239,87.050795,93.455046,3.691968,5.210368,4.839196,5.172912,5.106171,5.062158,0.149314,0.061632,5.286098,5.240529,8.5
1721.5,50.207796,3354.522215,112.791426,0.279062,9.125177,0.056853,2.49753,3.437857,87.206026,93.533286,3.696404,5.122105,4.807585,5.090431,5.033913,4.996585,0.148555,0.060873,5.18605,5.147587,8.5
1721.6,50.212454,3343.074752,112.682811,0.28182,9.097563,0.05365,2.490941,3.428898,87.325885,93.612658,3.689476,5.07876,4.834619,5.05424,5.010409,4.981404,0.147567,0.059885,5.128164,5.098463,8.5
