DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,RXO_HRLT:1,RXO_HRLT:2,RXO_HRLT:3,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
1279.5504,,8.5,8.5,,0.00778623,0.0068,,93.9761,94.6999,106.4369,,103.2396,,8.7429,8.8103,,-0.0068696,0.001,,3.4949,2.9202,,3.104,2.7215,,41.2272,42.2253,,0.290349,,3.0199,3.002,,2.4456,2.4696,,4.8497,4.9767,,5.1992,5.3223,,5.4645,5.5374,,5.596,5.7425,,5.68,5.8222,,5.8894,6.0369,,4.4403,4.5008,,4.325,4.391,,193.9488,171.5736,,1365.1526,1409.3888,0.2704
1279.7028,,8.5,8.5,,0.00760507,0.0071645,,94.3391,95.1207,105.0897,,100.177,,8.7996,8.8504,,-0.003498,-0.0009,,3.2924,3.1346,,2.9604,2.8881,,41.2272,42.2253,,0.286848,,3.0244,3.0181,,2.4563,2.4662,,4.8628,5.0494,,5.1852,5.3918,,5.4154,5.6103,,5.5963,5.816,,5.6644,5.9062,,5.8323,6.1165,,4.4307,4.5637,,4.3622,4.4529,,193.9771,171.8195,,1387.7412,1425.2411,0.2899
1279.8552,,8.5,8.5,,0.00727129,0.0076309,,94.8387,95.5839,98.947,,104.7757,,8.8171,8.8454,,-0.0018265,-0.0037,,3.0455,3.2781,,2.816,2.9659,,41.2272,42.2253,,0.289707,,3.0292,3.0203,,2.4549,2.4599,,5.0478,5.0052,,5.3824,5.3525,,5.6093,5.5746,,5.8222,5.7513,,5.8961,5.8643,,6.1199,6.0654,,4.5591,4.5514,,4.4181,4.4384,,194.0475,171.8306,,1398.9806,1428.0819,0.3037
1280.0076,,8.5,8.5,,0.00703841,0.0085092,,95.3656,95.9489,97.2384,,106.6482,,8.8418,8.7703,,-0.0028106,-0.006,,3.3509,3.3725,,3.03,3.0243,,41.2272,42.2253,,0.282366,,3.0499,3.0138,,2.4517,2.4529,,5.0686,5.0314,,5.4122,5.3917,,5.6312,5.6248,,5.8319,5.7621,,5.9284,5.9079,,6.1639,6.1514,,4.6108,4.4971,,4.4196,4.3908,,194.0993,171.6916,,1393.839,1418.1626,0.3129
1280.16,,8.5,8.5,,0.00753909,0.0085197,,95.8155,95.926,101.1375,,100.428,,8.7792,8.7659,,-0.0059308,-0.007,,3.2321,3.5079,,2.9218,3.1189,,41.2272,42.2253,,0.28232,,3.0806,3.0102,,2.4443,2.4431,,5.012,5.0199,,5.3761,5.3868,,5.5997,5.6198,,5.7658,5.7235,,5.8951,5.8953,,6.1453,6.1679,,4.4219,4.4117,,4.3821,4.3144,,194.074,171.861,,1400.8719,1404.3905,0.3121
1280.3124,,8.5,8.5,,0.00780255,0.0088027,,95.9634,96.0203,103.4398,,98.6375,,8.7196,8.7737,,-0.0073695,-0.0072,,3.3451,3.3065,,3.0099,2.9417,,41.2272,42.2253,,0.283218,,3.086,3.0192,,2.4304,2.4298,,5.0574,4.9176,,5.4335,5.3107,,5.6734,5.516,,5.8063,5.6031,,5.964,5.7748,,6.2849,6.0882,,4.506,4.2448,,4.3232,4.1579,,194.0219,172.1447,,1401.041,1398.4551,0.322
1280.4648,,8.5,8.5,,0.00770314,0.0079908,,95.9183,96.1064,106.9483,,96.9596,,8.7737,8.8218,,-0.0059818,-0.0065,,3.4167,2.9915,,3.0294,2.6961,,41.2272,42.2253,,0.291577,,3.0542,3.0291,,2.4383,2.424,,5.0288,4.8801,,5.4127,5.2997,,5.6523,5.4686,,5.7616,5.549,,5.9307,5.7194,,6.3098,6.0879,,4.3136,4.0821,,4.1829,4.0099,,193.862,171.3277,,1385.4961,1398.3834,0.309
1280.6172,,8.5,8.5,,0.00739787,0.0078158,,96.0072,95.9936,106.9974,,97.4439,,8.7842,8.8082,,-0.0045886,-0.0053,,3.0973,2.8859,,2.7644,2.6234,,41.2272,42.2253,,0.286271,,3.019,3.0271,,2.4458,2.428,,4.9277,4.8521,,5.327,5.2609,,5.5401,5.437,,5.6307,5.5183,,5.8012,5.6992,,6.2066,6.0776,,4.0272,4.0412,,4.0262,3.9706,,193.6243,170.4708,,1377.5226,1401.2813,0.3012
1280.7696,,8.5,8.5,,0.0073104,0.0071954,,95.9989,96.1361,107.3205,,106.1499,,8.7985,8.7999,,-0.0037151,-0.0045,,2.8435,2.9561,,2.595,2.6745,,41.2272,42.2253,,0.278291,,3.0249,3.0159,,2.4484,2.4363,,4.8851,4.723,,5.2975,5.0852,,5.4784,5.2681,,5.5649,5.3452,,5.7385,5.5306,,6.1489,5.8517,,4.0123,3.9648,,3.9466,3.8943,,193.3641,169.9013,,1375.4805,1392.5077,0.2804
1280.922,,8.5,8.5,,0.00696829,0.0069822,,95.9247,95.914,102.6453,,99.4746,,8.7953,8.7957,,-0.0038331,-0.0037,,2.8313,2.9664,,2.5987,2.6416,,41.2272,42.2253,,0.269164,,3.0858,3.0054,,2.4517,2.4404,,4.8857,4.5041,,5.2953,4.8218,,5.4735,5.012,,5.5636,5.08,,5.7439,5.2644,,6.1315,5.5344,,4.0905,3.8177,,3.9949,3.7476,,193.119,169.7097,,1364.9495,1382.6809,0.2737
1281.0744,,8.5,8.5,,0.00666548,0.0070599,,95.9212,95.3588,102.0513,,95.5589,,8.7975,8.7638,,-0.0034142,-0.0025,,3.0434,2.8628,,2.7326,2.5382,,41.2272,42.2253,,0.266145,,3.1003,2.9986,,2.4419,2.445,,4.6826,4.3131,,5.0436,4.6236,,5.2213,4.7762,,5.3055,4.8422,,5.4878,5.03,,5.8025,5.2438,,4.0467,3.7217,,3.8756,3.6517,,193.0647,169.7319,,1364.688,1374.4237,0.2693
1281.2268,,8.5,8.5,,0.00666922,0.0074691,,95.502,95.0157,104.0433,,100.7638,,8.7822,8.7177,,-0.0027743,-0.0025,,2.9515,3.0318,,2.6162,2.6895,,41.2272,42.2253,,0.264354,,3.0427,3.0144,,2.4351,2.4477,,4.3908,4.4687,,4.703,4.8256,,4.8508,4.9518,,4.9248,5.0222,,5.1097,5.2193,,5.3134,5.4533,,3.737,3.8878,,3.7322,3.8143,,193.2233,169.9264,,1356.2253,1372.8928,0.2711
1281.3792,,8.5,8.5,,0.00697107,0.0073954,,95.0802,94.7577,109.4487,,101.416,,8.7257,8.7839,,-0.0029455,-0.0036,,2.928,3.309,,2.5978,2.9499,,41.2272,42.2253,,0.259377,,3.0328,3.0399,,2.4323,2.4499,,4.31,4.8592,,4.6098,5.2913,,4.7438,5.478,,4.8169,5.5466,,5.0074,5.7536,,5.1518,6.1628,,3.7165,4.1989,,3.7538,4.1154,,193.3727,170.1028,,1344.1495,1374.6266,0.2819
1281.5316,,8.5,8.5,,0.00725244,0.0078,,94.8511,94.5165,112.0074,,102.9743,,8.6897,8.8559,,-0.0037195,-0.0052,,3.146,3.3211,,2.8205,2.987,,41.2272,42.2253,,0.258824,,3.0899,3.0726,,2.4513,2.4497,,4.6175,5.0608,,4.9766,5.5516,,5.1285,5.7894,,5.2026,5.8506,,5.4099,6.0446,,5.6207,6.5446,,4.1723,4.4575,,4.0168,4.356,,193.4469,170.1875,,1344.9944,1379.0908,0.3089
1281.684,,8.5,8.5,,0.00687699,0.0082757,,94.6163,94.3925,109.0942,,98.3599,,8.8177,8.8621,,-0.0037251,-0.0063,,3.069,3.5852,,2.8205,3.1923,,41.2272,42.2253,,0.274272,,3.1229,3.0923,,2.4614,2.4484,,4.9158,5.1503,,5.3484,5.6221,,5.5349,5.8632,,5.6155,5.9286,,5.8255,6.1018,,6.1546,6.4645,,4.4854,4.6197,,4.3208,4.5074,,193.3763,170.2833,,1325.3423,1386.0502,0.3243
1281.8364,,8.5,8.5,,0.00700986,0.0083533,,94.4949,94.3582,107.1681,,108.0266,,8.8523,8.8276,,-0.0028179,-0.0064,,3.3747,3.7681,,3.043,3.3441,,41.2272,42.2253,,0.286127,,3.1182,3.1039,,2.462,2.4482,,5.1064,5.1629,,5.594,5.6029,,5.814,5.837,,5.8922,5.9137,,6.0854,6.0782,,6.5641,6.3162,,4.5818,4.7452,,4.4766,4.6236,,193.2794,170.4223,,1329.8838,1383.8387,0.3203
1281.9888,,8.5,8.5,,0.00737202,0.0083579,,94.38,94.472,103.2472,,108.9385,,8.8214,8.7999,,-0.0016019,-0.0061,,3.7241,3.7584,,3.3033,3.3355,,41.2272,42.2253,,0.287339,,3.108,3.1161,,2.4704,2.447,,5.1925,5.1642,,5.658,5.5644,,5.8875,5.7951,,5.9632,5.8701,,6.1339,6.0344,,6.4391,6.2073,,4.7116,4.771,,4.6004,4.6549,,193.2952,170.3236,,1357.4174,1385.9843,0.3149
