DEPT,RHO8,PEFZ,DT,RLA2,RLA4,RT,RLA0,RXO8,GR,BS,CALI,TVDSS,TENS,RLA3,RLA1,RLA5,SP,HDRA,TNPH
1696.974,2.508,3.095,84.435,6.128,6.371,6.508,0.081,5.955,101.08,8.5,8.884,1371.303,3584.801,6.221,6.178,6.547,-308.277,0.002,0.263
1697.126,2.501,3.095,83.826,6.226,6.403,6.598,0.082,5.985,102.963,8.5,8.858,1371.444,3508.8,6.299,6.242,6.631,-311.258,0.004,0.272
1697.279,2.516,3.125,83.382,6.395,6.565,6.868,0.084,6.101,101.064,8.5,8.88,1371.592,3437.376,6.471,6.316,6.809,-316.683,0.005,0.274
1697.431,2.519,3.127,83.083,6.47,6.669,6.999,0.084,6.253,104.007,8.5,8.869,1371.74,3394.667,6.583,6.41,6.937,-325.067,0.004,0.268
1697.584,2.494,3.115,82.275,6.335,6.597,6.751,0.08,6.124,117.818,8.5,8.839,1371.882,3447.333,6.5,6.48,6.84,-327.538,0.002,0.254
1697.736,2.501,3.131,81.832,6.388,6.701,6.832,0.08,6.351,103.847,8.5,8.832,1372.025,3502.2,6.578,6.57,6.922,-326.663,-0.001,0.252
1697.888,2.516,3.19,81.552,6.767,7.197,7.445,0.08,7.021,103.847,8.5,8.832,1372.167,3590.667,7.012,6.902,7.399,-325.492,-0.001,0.251
1698.041,2.49,3.252,80.315,7.402,7.928,8.403,0.083,7.264,104.913,8.5,8.772,1372.309,3621.2,7.689,7.353,8.101,-327.167,0.0,0.243
1698.193,2.51,3.279,79.774,8.087,8.696,9.379,0.085,8.218,102.015,8.5,8.79,1372.451,3615.4,8.446,7.936,8.867,-328.652,0.0,0.229
1698.346,2.51,3.307,80.326,7.936,8.544,9.43,0.087,8.316,101.619,8.5,8.802,1372.593,3519.532,8.332,7.649,8.708,-327.796,0.0,0.224
1698.498,2.494,3.307,81.322,7.27,7.754,8.535,0.086,7.293,106.899,8.5,8.772,1372.735,3585.734,7.589,6.962,7.901,-328.246,-0.001,0.242
1698.65,2.493,3.292,82.715,6.888,7.27,7.933,0.085,6.751,113.637,8.5,8.727,1372.881,3583.749,7.151,6.57,7.389,-328.188,-0.001,0.269
1698.803,2.491,3.232,83.879,6.732,7.052,7.562,0.085,6.579,106.403,8.5,8.734,1373.028,3608.134,6.963,6.45,7.146,-325.938,0.001,0.28
1698.955,2.498,3.152,83.871,6.837,7.116,7.42,0.084,6.495,115.271,8.5,8.723,1373.17,3657.333,7.025,6.656,7.193,-325.629,0.002,0.283
1699.108,2.48,3.1,84.996,7.344,7.605,8.153,0.084,6.436,110.977,8.5,8.723,1373.31,3555.266,7.507,6.983,7.708,-326.267,0.001,0.272
1699.26,2.442,3.049,84.051,6.234,6.427,7.043,0.086,3.938,97.225,8.5,8.712,1373.456,3573.875,6.391,5.84,6.545,-317.929,0.002,0.279
1699.412,2.445,3.037,83.797,5.349,5.518,5.972,0.085,2.87,92.188,8.5,8.563,1373.603,3690.333,5.529,5.072,5.638,-307.429,0.009,0.274
1699.565,2.423,3.011,85.495,7.505,7.87,9.028,0.087,5.605,94.783,8.5,8.555,1373.743,3579.667,7.886,6.912,8.069,-316.3,0.017,0.26
1699.717,2.426,3.006,86.179,6.727,6.883,7.859,0.086,3.484,94.216,8.5,8.578,1373.885,3525.333,6.917,6.078,7.031,-319.137,0.022,0.252
1699.87,2.426,3.018,85.581,5.498,5.544,6.093,0.084,3.448,98.387,8.5,8.634,1374.031,3660.688,5.564,5.013,5.65,-323.013,0.036,0.26
1700.022,2.559,3.05,84.688,8.337,8.47,9.328,0.086,6.105,98.885,8.5,8.675,1374.178,3741.666,8.456,7.647,8.607,-325.404,0.045,0.265
1700.174,2.534,3.089,85.065,7.849,8.101,9.097,0.087,6.353,89.432,8.5,8.622,1374.32,3639.0,8.073,7.232,8.246,-328.021,0.05,0.273
1700.327,2.44,3.115,83.856,4.651,4.764,5.143,0.086,3.369,98.793,8.5,8.652,1374.461,3600.933,4.769,4.378,4.848,-330.079,0.04,0.27
1700.479,2.476,3.143,82.466,7.181,7.552,8.577,0.085,3.257,89.264,8.5,8.57,1374.603,3582.533,7.488,6.593,7.68,-329.521,0.04,0.257
1700.632,2.587,3.175,81.781,9.694,10.281,11.386,0.085,8.096,89.192,8.5,8.727,1374.745,3580.934,10.182,9.136,10.391,-330.137,0.037,0.227
1700.784,2.587,3.159,79.213,10.266,10.918,12.246,0.084,11.295,95.434,8.5,8.802,1374.888,3606.066,10.763,9.58,11.005,-329.346,0.026,0.222
1700.936,2.521,3.149,79.365,8.01,8.369,8.986,0.083,8.844,98.564,8.5,8.757,1375.033,3558.687,8.205,7.587,8.416,-326.346,0.01,0.24
1701.089,2.507,3.166,81.497,6.684,6.952,7.147,0.083,6.235,98.718,8.5,8.794,1375.179,3571.668,6.826,6.531,6.995,-329.404,0.0,0.263
1701.241,2.495,3.219,84.977,6.112,6.452,6.457,0.083,5.842,110.613,8.5,8.854,1375.32,3580.399,6.359,6.212,6.484,-330.031,-0.001,0.278
1701.394,2.486,3.251,85.172,5.98,6.287,6.272,0.083,5.514,114.696,8.5,8.869,1375.464,3532.187,6.218,6.102,6.326,-329.65,-0.001,0.282
1701.546,2.5,3.253,85.235,6.125,6.395,6.394,0.083,5.379,110.755,8.5,8.891,1375.611,3587.532,6.318,6.195,6.433,-328.288,0.0,0.284
1701.698,2.515,3.232,85.028,6.449,6.656,6.727,0.083,6.138,127.151,8.5,8.847,1375.754,3560.068,6.517,6.343,6.685,-329.513,0.002,0.275
1701.851,2.528,3.207,84.099,6.461,6.649,6.661,0.082,6.218,117.191,8.5,8.847,1375.895,3545.401,6.519,6.414,6.684,-333.196,0.003,0.274
1702.003,2.508,3.182,84.521,6.419,6.612,6.672,0.082,6.187,108.261,8.5,8.854,1376.037,3529.399,6.519,6.373,6.673,-329.727,0.004,0.274
1702.156,2.495,3.218,85.386,5.952,6.189,6.271,0.082,5.844,107.863,8.5,8.876,1376.178,3616.868,6.141,5.976,6.267,-328.729,0.011,0.307
1702.308,2.518,3.265,87.282,5.102,5.305,5.328,0.08,5.09,119.183,8.5,8.847,1376.325,3522.374,5.259,5.181,5.385,-327.783,0.019,0.329
1702.46,2.5,3.291,88.297,5.097,5.316,5.35,0.08,5.015,125.711,8.5,8.847,1376.471,3544.333,5.256,5.165,5.391,-323.583,0.023,0.321
1702.613,2.506,3.277,87.413,5.283,5.504,5.59,0.083,5.752,102.52,8.5,8.832,1376.613,3629.801,5.413,5.264,5.567,-321.983,0.015,0.303
1702.765,2.502,3.266,87.014,5.827,6.028,6.098,0.082,5.581,120.179,8.5,8.847,1376.755,3626.933,5.95,5.797,6.096,-321.309,0.006,0.288
1702.918,2.502,3.238,85.529,6.001,6.172,6.263,0.08,5.575,120.843,8.5,8.847,1376.895,3554.933,6.107,5.949,6.252,-327.042,0.001,0.285
1703.07,2.503,3.255,84.687,5.851,6.029,6.198,0.081,5.818,121.396,8.5,8.847,1377.04,3577.124,5.98,5.763,6.129,-330.808,0.0,0.294
1703.222,2.51,3.276,84.559,5.78,5.984,6.173,0.083,5.53,125.724,8.5,8.891,1377.186,3543.801,5.927,5.7,6.088,-331.883,-0.001,0.293
1703.375,2.521,3.297,85.372,5.753,5.977,6.164,0.084,5.488,119.404,8.5,8.891,1377.329,3506.066,5.92,5.699,6.085,-333.471,-0.002,0.288
1703.527,2.532,3.26,86.43,5.888,6.137,6.35,0.085,6.029,106.863,8.5,8.914,1377.47,3513.4,6.059,5.819,6.247,-329.962,-0.001,0.273
1703.68,2.56,3.197,86.86,6.094,6.321,6.463,0.085,6.494,117.373,8.5,8.884,1377.613,3515.933,6.224,6.06,6.437,-328.98,0.0,0.289
1703.832,2.542,3.189,86.935,6.305,6.522,6.627,0.085,6.338,120.399,8.5,8.824,1377.755,3535.599,6.416,6.286,6.631,-329.121,0.0,0.286
1703.984,2.541,3.227,86.966,6.387,6.576,6.674,0.085,6.426,114.855,8.5,8.809,1377.898,3606.133,6.492,6.365,6.693,-332.908,0.0,0.284
1704.137,2.527,3.281,86.291,6.509,6.686,6.792,0.086,6.602,109.819,8.5,8.832,1378.04,3516.201,6.626,6.492,6.822,-335.962,0.0,0.279
