DEPTH,BS,DI_HRLT,DPH8,DSO8,DT,EHGR_EDTC,HCAL,HDRA,HGR,HGR_EDTC,HMIN,HMNO,HNPO,HTEM,HTNP,PEF8,PEM8,REMS,RHO8,RLA0,RLA1,RLA2,RLA3,RLA4,RLA5,RM_HRLT,ROM8,RO_HILT,RSO8,RT,RT_HRLT,RXO8,RXO_HRLT,SP,SPHI,TENS,TNPH
1148.334,8.5,26.0798,0.241515,-0.009311,104.2834,88.6126,8.6462,-0.0015,77.2275,88.6086,1.4935,1.3313,0.2826,39.5983,0.2909,2.7273,1.4979,0.1629,2.297,0.136798,7.2916,10.9929,12.8369,13.7729,14.9696,0.14256,1.5094,9.6676,0.004069,19.8008,19.7533,1.9211,3.101,-230.6044,0.289358,1304.844,0.2912
1148.4864,8.5,26.1426,0.245227,-0.007791,104.3026,87.8142,8.581,-0.0007,75.1295,88.0226,1.4714,1.3042,0.2778,39.5983,0.282,2.697,1.4998,0.1629,2.2907,0.135985,7.1765,11.0017,12.9775,13.9546,15.2092,0.141415,1.3172,10.0615,0.001366,20.1598,20.1442,1.8644,2.9825,-229.9691,0.289434,1301.2922,0.281
1148.6388,8.5,26.0932,0.250869,-0.006089,104.4896,86.4642,8.6252,-0.0006,73.4394,86.5086,1.4026,1.2418,0.2828,39.5983,0.283,2.6753,1.4995,0.1629,2.281,0.133642,6.9742,10.7936,12.7212,13.6801,14.9381,0.140698,1.345,9.8242,0.000841,19.8901,19.7735,1.7719,2.8575,-229.7161,0.290031,1306.0793,0.2829
1148.7912,8.5,26.0327,0.2567,-0.004369,104.6932,85.0602,8.6802,-0.0005,71.7892,84.9037,1.3292,1.176,0.2888,39.5983,0.2849,2.6546,1.499,0.1629,2.2711,0.131149,6.7634,10.5643,12.4261,13.3609,14.617,0.140024,1.3943,9.525,0.000528,19.5589,19.3281,1.676,2.7319,-229.5006,0.290679,1311.6836,0.286
1148.9436,8.5,25.9722,0.262532,-0.002649,104.8967,83.6561,8.7351,-0.0004,70.139,83.2987,1.2558,1.1102,0.2948,39.5983,0.2869,2.6338,1.4985,0.1629,2.2611,0.128656,6.5526,10.335,12.1309,13.0417,14.2959,0.13935,1.4437,9.2258,0.000216,19.2277,18.8827,1.5801,2.6063,-229.285,0.291327,1317.288,0.2891
1149.096,8.5,25.9552,0.264416,0.001376,104.7037,80.1769,8.7547,-0.001,74.5069,79.8219,1.2397,1.0961,0.3069,39.5983,0.2961,2.6561,1.4958,0.1629,2.2579,0.127901,6.4386,10.2465,12.0674,12.978,14.2304,0.138586,1.7131,8.835,0.000356,19.1576,18.82,1.5603,2.5299,-229.5766,0.290711,1316.7961,0.2984
1149.2484,8.5,25.9635,0.263983,0.006756,104.2779,75.4786,8.7536,-0.002,82.4104,75.2452,1.2573,1.1124,0.3226,39.5983,0.3096,2.7039,1.4917,0.1629,2.2586,0.128168,6.3814,10.2408,12.1401,13.0644,14.3152,0.13777,2.1117,8.3904,0.000763,19.2408,18.9822,1.5852,2.4825,-230.166,0.289352,1312.7229,0.3113
1149.4008,8.5,25.9719,0.263549,0.012136,103.8521,70.7802,8.7525,-0.0029,90.3139,70.6686,1.2749,1.1287,0.3383,39.5983,0.3232,2.7517,1.4876,0.1629,2.2594,0.128436,6.3242,10.2351,12.2127,13.1508,14.4,0.136955,2.5104,7.9457,0.001169,19.3241,19.1443,1.6101,2.435,-230.7554,0.287994,1308.6498,0.3242
1149.5532,8.5,25.9944,0.263424,0.012893,103.5433,68.8567,8.7422,-0.0037,94.3481,68.8238,1.2812,1.1346,0.3451,39.5983,0.3303,2.7501,1.4863,0.162889,2.2596,0.128612,6.2681,10.1587,12.16,13.0992,14.3352,0.136425,2.6456,7.7252,0.001292,19.1991,19.0802,1.6189,2.4105,-231.2024,0.287006,1306.4717,0.3308
1149.7056,8.5,26.0434,0.263877,0.005029,103.4528,72.1074,8.7145,-0.0039,91.1673,72.0729,1.2666,1.1208,0.335,39.5983,0.3254,2.6568,1.4899,0.162859,2.2588,0.128619,6.2143,9.9507,11.8739,12.7904,13.9915,0.13643,2.2894,7.9227,0.000885,18.6858,18.5943,1.5977,2.4288,-231.3839,0.286711,1307.8273,0.3253
