TVD,GR,ROP
144.1704,70.9625,32.7259
144.3228,72.0829,33.083
144.4752,71.782,34.3369
144.6276,70.9869,34.5354
144.78,71.6807,35.3131
144.9324,70.8367,32.1994
145.0848,69.6234,32.5314
145.2372,69.9575,32.8602
145.3896,69.147,31.7993
145.542,67.6801,32.4923
145.6944,70.0597,32.3481
145.8468,69.8246,31.1502
145.9992,69.9775,30.1824
146.1516,70.7732,30.7198
146.304,69.3375,32.1894
146.4564,68.9019,33.8757
146.6088,69.7199,34.8155
146.7612,70.0557,36.0154
146.9136,72.2128,35.7271
147.066,73.7847,35.8455
147.2184,73.4597,37.0841
147.3708,72.7839,36.7086
147.5232,73.0732,33.2721
147.6756,72.7545,24.8945
147.828,72.4901,20.8806
147.9804,73.7088,18.5584
148.1328,73.3541,17.3103
148.2852,71.923,18.981
148.4376,72.801,19.1262
148.59,70.4605,18.6253
148.7424,70.363,18.305
148.8948,69.9997,18.4253
149.0472,69.637,19.0757
149.1996,69.6116,19.3472
149.352,69.9666,19.4269
149.5044,70.0172,19.4041
149.6568,70.071,19.3897
149.8092,71.1523,19.952
149.9616,70.5732,20.6317
150.114,72.0328,22.7048
150.2664,71.9083,23.5728
150.4188,71.6769,23.0972
150.5712,73.8156,23.4919
150.7236,73.3534,21.7787
150.876,73.9605,21.3235
151.0284,73.8428,22.1395
151.1808,72.4248,21.7841
151.3332,70.9721,21.5138
151.4856,69.948,22.2614
151.638,70.013,21.8758
151.7904,70.6033,22.2003
151.9428,73.1813,23.3518
152.0952,74.6684,27.8269
152.2476,73.498,29.143
152.4,73.6658,32.4967
152.5524,72.2043,35.0965
152.7048,72.81,33.9317
152.8572,75.2285,33.2395
153.0096,76.0119,32.4514
153.162,77.6107,32.2394
153.3144,79.0165,30.8074
153.4668,78.5668,31.4524
153.6192,77.2437,30.2446
153.7716,76.1093,29.5574
153.924,74.7672,29.1643
154.0764,73.4581,27.4291
154.2288,73.0645,29.9581
154.3812,72.9635,29.4477
154.5336,74.7331,29.6775
154.686,75.4652,30.7368
154.8384,76.794,30.4662
154.9908,76.7018,30.8265
155.1432,74.1206,32.704
155.2956,72.5367,32.7777
155.448,72.1636,33.8849
155.6004,72.716,34.0639
155.7528,72.5936,33.7302
155.9052,74.0915,33.7622
156.0576,73.2547,33.6101
156.21,73.4924,32.7706
156.3624,73.5761,31.8587
156.5148,74.0108,31.6167
156.6672,73.2276,31.183
156.8196,73.0246,31.2689
156.972,72.7136,29.0379
157.1244,70.4461,26.669
157.2768,71.0317,24.4189
157.4292,72.0592,21.0685
157.5816,72.6651,21.2902
157.734,72.5039,21.2885
157.8864,71.9474,20.3067
158.0388,70.914,20.403
158.1912,70.1637,20.3821
158.3436,72.0912,20.6882
158.496,73.581,21.6295
158.6484,74.8536,22.2955
158.8008,74.4692,22.1291
158.9532,74.2471,22.0283
159.1056,74.0605,22.2539
159.258,73.3897,22.4306
159.4104,74.5856,22.1529
159.5628,73.8739,22.7572
159.7152,72.8516,22.4393
159.8676,72.5876,21.6652
160.02,72.1569,22.1574
160.1724,72.7054,21.8171
160.3248,71.571,21.6432
160.4772,72.4264,21.574
160.6296,72.277,21.3091
160.782,70.8445,21.6429
160.9344,72.3191,21.4498
161.0868,73.678,21.2945
161.2392,74.0116,21.6558
161.3916,74.4137,20.013
161.544,73.6743,26.7942
161.6964,72.9707,27.8634
161.8488,72.0937,28.7468
162.0012,74.2439,29.7081
162.1536,74.3956,24.2928
162.306,75.7083,24.0198
162.4584,74.5129,24.406
162.6108,73.5358,24.5753
162.7632,73.139,25.0524
162.9156,72.4376,24.8598
163.068,73.6047,24.3214
163.2204,72.4224,23.6584
163.3728,72.3811,22.4113
163.5252,72.066,22.649
163.6776,70.8095,22.1847
163.83,72.0506,22.6224
163.9824,72.8935,24.62
164.1348,72.6642,22.8021
164.2872,73.7831,22.7931
164.4396,72.9176,22.5891
164.592,72.4056,21.3877
164.7444,72.8586,21.1309
164.8968,72.9781,20.9855
