DEPT,ROP,GR
143.256,0.2962,50.732
143.4084,0.429,50.1256
143.5608,0.4837,49.5211
143.7132,0.4302,48.7273
143.8656,0.3832,50.5654
144.018,0.3594,49.9283
144.1704,0.3694,50.0747
144.3228,0.3717,50.8669
144.4752,0.3726,49.0245
144.6276,0.376,48.1748
144.78,0.3733,48.9343
144.9324,0.3783,49.0259
145.0848,0.3629,50.4781
145.2372,0.299,52.2192
145.3896,0.2603,53.0692
145.542,0.2993,53.852
145.6944,0.3425,53.0814
145.8468,0.3913,53.3641
145.9992,0.4845,53.1411
146.1516,0.5269,51.0216
146.304,0.4479,48.6464
146.4564,0.3918,48.3643
146.6088,0.3923,47.7786
146.7612,0.3637,49.3332
146.9136,0.3457,51.7055
147.066,0.356,50.8428
147.2184,0.3667,48.5564
147.3708,0.3677,46.3786
147.5232,0.3641,44.4789
147.6756,0.3829,42.7376
147.828,0.4408,42.7234
147.9804,0.6597,44.0423
148.1328,0.8922,46.4915
148.2852,1.0508,47.3913
148.4376,1.0667,48.0365
148.59,0.7682,50.6815
148.7424,0.574,50.712
148.8948,0.5933,51.4744
149.0472,0.5821,50.5908
149.1996,0.4884,49.2318
149.352,0.4185,48.9652
149.5044,0.46,49.7207
149.6568,0.5191,51.8904
149.8092,0.5169,54.3663
149.9616,0.51,54.0112
150.114,0.5031,53.4102
150.2664,0.4963,52.7058
150.4188,0.4894,54.0187
150.5712,0.4825,56.5878
150.7236,0.4756,57.7347
150.876,0.4687,57.0561
151.0284,0.4618,56.3867
151.1808,0.455,55.1639
151.3332,0.4481,55.8728
151.4856,0.4412,56.0399
151.638,0.4343,56.2947
151.7904,0.4484,55.7489
151.9428,0.4651,52.0721
152.0952,0.4657,52.468
152.2476,0.4667,53.0604
152.4,0.4708,52.537
152.5524,0.4706,53.4786
152.7048,0.4732,54.8006
152.8572,0.4758,54.8227
153.0096,0.4784,55.2509
153.162,0.481,55.9763
153.3144,0.4836,55.1382
153.4668,0.4862,53.353
153.6192,0.4888,49.2337
153.7716,0.4914,49.1709
153.924,0.494,50.4313
154.0764,0.4966,50.2562
154.2288,0.4992,52.4034
154.3812,0.5018,54.0755
154.5336,0.5044,52.9521
154.686,0.507,50.4114
154.8384,0.5096,48.1423
154.9908,0.494,44.6073
155.1432,0.4898,41.11
155.2956,0.4775,37.5966
155.448,0.4416,38.4671
155.6004,0.4269,38.3792
155.7528,0.4226,37.8917
155.9052,0.4116,39.2008
156.0576,0.4198,40.5098
156.21,0.4648,41.8189
156.3624,0.4782,43.128
156.5148,0.4463,45.5675
156.6672,0.4945,45.9063
156.8196,0.6677,45.2117
156.972,0.868,48.0696
157.1244,0.9017,48.3739
157.2768,0.7646,49.0907
157.4292,0.6622,49.4697
157.5816,0.6246,48.9294
157.734,0.6346,47.1267
157.8864,0.5917,46.9173
158.0388,0.47,47.4009
158.1912,0.3983,45.2767
158.3436,0.462,46.453
158.496,0.5595,46.49
158.6484,0.6287,47.2385
158.8008,0.6699,51.6678
158.9532,0.6743,53.1232
159.1056,0.6914,53.3842
159.258,0.7048,52.9915
159.4104,0.5881,49.303
159.5628,0.4681,44.5693
159.7152,0.4952,42.414
159.8676,0.6422,41.5164
160.02,0.7553,40.5466
160.1724,0.7739,41.6132
160.3248,0.7792,42.924
160.4772,0.8076,43.4024
160.6296,0.7924,43.3866
160.782,0.7707,43.4613
160.9344,0.749,42.2334
161.0868,0.732,41.0028
161.2392,0.7386,39.9668
161.3916,0.7581,40.3353
161.544,0.7621,42.0932
161.6964,0.7602,42.2277
161.8488,0.7627,41.9307
162.0012,0.7739,42.7393
162.1536,0.8021,40.6401
162.306,0.7534,40.0607
162.4584,0.6875,40.6051
162.6108,0.6999,40.2957
162.7632,0.7286,40.0625
162.9156,0.7326,40.4962
163.068,0.7227,41.4104
163.2204,0.6942,43.0234
163.3728,0.6887,44.0825
163.5252,0.7081,43.8641
163.6776,0.6514,44.2031
163.83,0.5014,44.841
163.9824,0.406,41.7405
164.1348,0.478,41.8404
164.2872,0.5877,41.224
164.4396,0.631,41.2394
164.592,0.6303,41.7668
164.7444,0.6165,41.6778
164.8968,0.5999,41.8729
165.0492,0.5893,41.978
165.2016,0.5913,42.0831
165.354,0.6031,42.1883
165.5064,0.6201,42.2934
165.6588,0.6417,42.3985
165.8112,0.6498,42.5036
165.9636,0.6619,43.8134
166.116,0.6726,43.2505
166.2684,0.5963,44.2678
166.4208,0.542,44.5286
166.5732,0.575,43.792
166.7256,0.5941,43.5374
166.878,0.5998,42.11
167.0304,0.5996,40.5671
167.1828,0.5903,38.9028
167.3352,0.5813,38.9934
167.4876,0.734,39.6995
167.64,0.9029,40.7122
167.7924,0.9255,42.1536
167.9448,1.0184,41.3214
168.0972,1.2505,39.1445
168.2496,1.3895,36.4107
168.402,1.1597,35.8428
168.5544,0.9795,36.5377
168.7068,0.9956,37.3204
168.8592,0.9143,37.9148
169.0116,0.7767,37.9072
169.164,0.7312,37.9632
169.3164,0.6858,38.7621
169.4688,0.6403,40.0492
169.6212,0.5949,42.279
169.7736,0.928,43.7648
169.926,1.2158,43.2021
170.0784,1.0027,44.459
170.2308,0.7542,45.4187
170.3832,0.6487,45.5875
170.5356,0.5786,46.1448
170.688,0.5662,44.3671
170.8404,0.5685,42.7017
170.9928,0.5727,44.1013
171.1452,0.5801,46.1481
171.2976,0.5657,48.499
171.45,0.5135,52.306
171.6024,0.4848,51.5015
171.7548,0.5276,51.2365
171.9072,0.5673,48.3182
172.0596,0.5737,44.317
172.212,0.575,41.586
172.3644,0.5765,38.6098
172.5168,0.5776,37.5331
172.6692,0.5505,37.9434
172.8216,0.4737,39.245
172.974,0.4577,40.3978
173.1264,0.5167,42.6954
173.2788,0.5427,44.8554
173.4312,0.5464,45.5343
173.5836,0.5527,43.7715
173.736,0.5556,42.5028
173.8884,0.5536,42.7752
174.0408,0.5496,41.6048
174.1932,0.5457,42.6045
174.3456,0.5422,44.6574
174.498,0.5411,44.8417
174.6504,0.5448,46.292
174.8028,0.547,47.1774
174.9552,0.5158,47.1265
175.1076,0.4553,50.7265
175.26,0.4117,54.3264
175.4124,0.4096,53.1861
175.5648,0.4509,51.5504
175.7172,0.5173,47.0806
175.8696,0.5462,47.0441
176.022,0.5032,48.9089
176.1744,0.4414,49.7809
176.3268,0.4113,54.2616
176.4792,0.4051,53.8863
176.6316,0.3993,52.7222
176.784,0.3967,52.244
176.9364,0.6625,50.4806
177.0888,1.2514,49.9548
177.2412,1.0293,50.9888
177.3936,0.5494,51.6944
177.546,0.5129,55.1812
177.6984,0.4398,55.2514
177.8508,0.3818,54.9157
178.0032,0.3605,55.8975
178.1556,0.3583,56.0839
178.308,0.3661,55.4974
178.4604,0.3738,54.6302
178.6128,0.3816,55.0525
178.7652,0.3893,56.6926
178.9176,0.3971,56.1504
179.07,0.4048,57.043
179.2224,0.3732,54.6245
179.3748,0.3427,50.8263
179.5272,0.3585,47.2416
179.6796,0.3994,43.8602
179.832,0.4627,41.3149
179.9844,0.6536,40.6638
180.1368,0.8855,39.9326
180.2892,0.9437,41.4499
180.4416,1.03,43.2549
180.594,1.0272,43.8199
180.7464,0.8887,43.9492
180.8988,0.8943,46.1005
181.0512,1.0782,47.7509
181.2036,1.0694,49.2729
181.356,0.916,47.7447
181.5084,0.8238,46.627
181.6608,0.8091,43.1347
181.8132,0.8226,43.7402
181.9656,0.8999,44.3217
182.118,1.3176,45.0103
182.2704,1.3349,45.8175
182.4228,0.9858,43.0744
182.5752,0.8781,41.0421
182.7276,0.9233,40.4147
182.88,0.8697,39.0485
183.0324,0.7582,39.5895
183.1848,0.7384,41.4698
183.3372,0.8226,40.875
183.4896,0.8289,40.7559
183.642,0.7798,43.6516
183.7944,0.7643,43.3117
183.9468,0.7291,44.0768
184.0992,0.7333,46.0494
184.2516,0.8018,47.2512
184.404,0.7376,47.6441
184.5564,0.6682,47.5543
184.7088,0.697,47.0969
184.8612,0.6668,46.3907
185.0136,0.6684,45.6292
185.166,0.7652,46.9856
185.3184,0.8687,46.7685
185.4708,1.0653,46.7244
185.6232,1.0877,47.3773
185.7756,0.9453,47.4094
185.928,0.9555,46.6408
186.0804,0.9107,45.8395
186.2328,0.8246,44.5716
186.3852,0.9496,44.3694
186.5376,1.1858,44.5872
186.69,1.1329,44.6765
186.8424,0.8041,45.9952
186.9948,0.6122,43.94
187.1472,0.5515,43.01
187.2996,0.5163,43.6375
187.452,0.5217,43.2113
187.6044,0.5236,45.6718
187.7568,0.5308,44.4245
187.9092,0.6069,45.9266
188.0616,0.7101,47.6923
188.214,0.7134,46.4904
188.3664,0.6479,48.2291
188.5188,0.5825,49.1282
188.6712,0.6496,47.4405
188.8236,0.7531,47.5611
188.976,0.7801,45.0813
189.1284,0.7179,44.4559
189.2808,0.628,44.2452
189.4332,0.5639,44.2186
189.5856,0.5685,46.0264
189.738,0.6189,48.9575
189.8904,0.5381,48.388
190.0428,0.4486,47.4038
190.1952,0.496,48.1142
190.3476,0.5292,48.5894
190.5,0.4938,47.842
190.6524,0.5284,48.5896
190.8048,0.6356,48.8675
190.9572,0.6528,48.2768
191.1096,0.5274,48.6388
191.262,0.4442,49.8028
191.4144,0.4488,51.5797
191.5668,0.4867,51.0668
191.7192,0.4604,49.5058
191.8716,0.4203,49.6244
192.024,0.4174,48.2966
192.1764,0.3948,47.9861
192.3288,0.3556,49.2614
192.4812,0.3802,49.0845
192.6336,0.445,48.6422
192.786,0.472,51.0371
192.9384,0.4666,52.0517
193.0908,0.487,52.363
193.2432,0.5151,52.6574
193.3956,0.5134,51.163
193.548,0.5091,49.8861
193.7004,0.4969,49.72
193.8528,0.456,49.9859
194.0052,0.4213,51.9016
194.1576,0.4123,51.3024
194.31,0.4176,51.0198
194.4624,0.4247,50.8077
194.6148,0.4149,50.4827
194.7672,0.4184,51.0408
194.9196,0.4311,52.9937
195.072,0.4262,52.6052
195.2244,0.4152,52.087
195.3768,0.4092,53.3628
195.5292,0.4121,51.3936
195.6816,0.4179,52.1174
195.834,0.4522,53.1685
