DEPT,BS,CALI,DSOZ,RT,DT,TENS:1,PEFZ,RSOZ,TNPH:1,RLA2,RLA4,GR:1,GR:2,RLA3,RLA5,TENS:2,NPHI,SP,RLA1,GR:3,RXO,RHOZ,RLA0,RXOZ,GR:4,TNPH:2
1497.635,8.5,8.215,0.022,6.844,100.649,3591.734,2.997,0.082,0.313,4.323,5.125,92.618,95.86,4.792,5.509,3567.999,0.308,,3.519,99.778,2.0,2.355,0.093,2.093,99.527,0.314
1497.787,8.5,8.231,0.047,7.499,97.933,3577.468,3.086,0.092,0.311,4.708,5.578,97.653,95.248,5.257,5.954,3578.001,0.302,,3.737,101.087,2.053,2.393,0.096,2.461,102.403,0.312
1497.94,8.5,8.278,0.081,7.515,96.279,3551.934,3.15,0.099,0.309,4.646,5.588,101.136,103.016,5.292,5.922,3547.667,0.288,,3.717,106.359,2.041,2.416,0.095,2.51,104.186,0.31
1498.092,8.5,8.333,0.087,7.547,96.723,3536.8,3.131,0.106,0.295,4.581,5.613,104.205,104.845,5.292,5.925,3518.334,0.29,,3.717,105.037,2.067,2.403,0.091,2.321,106.234,0.295
1498.244,8.5,8.286,0.069,7.774,100.64,3553.267,3.039,0.103,0.287,4.659,5.768,103.996,103.164,5.394,6.074,3565.499,0.301,,3.776,106.628,2.105,2.366,0.091,1.894,100.256,0.286
1498.397,8.5,8.302,0.038,7.116,104.336,3563.134,2.906,0.093,0.287,4.235,5.278,102.155,102.553,4.88,5.549,3563.667,0.331,,3.427,89.001,1.923,2.323,0.09,1.602,91.683,0.287
1498.549,8.5,8.231,0.015,6.345,107.409,3590.125,2.793,0.083,0.319,3.758,4.708,96.594,99.535,4.297,4.942,3577.499,0.334,,3.056,79.292,1.763,2.291,0.089,1.422,84.828,0.318
1498.702,8.5,8.172,0.011,6.266,107.815,3597.199,2.728,0.081,0.323,3.724,4.671,93.396,87.859,4.218,4.921,3628.666,0.335,,3.051,86.199,1.762,2.281,0.09,1.435,87.652,0.321
1498.854,8.5,8.125,0.005,6.25,107.152,3566.801,2.709,0.08,0.319,3.791,4.665,88.151,92.623,4.267,4.933,3573.999,0.305,,3.045,97.509,1.68,2.277,0.092,1.46,89.549,0.319
1499.006,8.5,8.043,0.008,6.166,104.447,3536.267,2.734,0.078,0.293,3.766,4.544,91.826,83.34,4.268,4.857,3542.0,0.297,,2.949,84.314,1.568,2.29,0.093,1.491,91.77,0.293
1499.159,8.5,8.043,0.021,6.503,100.864,3577.333,2.805,0.081,0.288,3.993,4.747,94.869,99.515,4.547,5.11,3606.001,0.285,,3.075,93.628,1.604,2.313,0.094,1.669,91.564,0.288
1499.311,8.5,8.043,0.024,7.493,100.412,3576.312,2.891,0.082,0.276,4.653,5.466,99.357,102.313,5.286,5.885,3566.0,0.284,,3.558,96.54,1.828,2.329,0.097,1.865,94.087,0.274
1499.464,8.5,8.066,0.027,6.405,97.825,3573.201,2.955,0.076,0.271,4.178,4.782,96.622,96.647,4.605,5.115,3581.667,0.283,,3.283,92.845,1.784,2.338,0.097,1.929,100.107,0.269
1499.616,8.5,8.09,0.035,5.707,97.872,3614.199,2.993,0.077,0.269,3.796,4.352,95.353,90.408,4.114,4.641,3628.0,0.299,,3.111,111.868,1.833,2.347,0.096,1.954,106.403,0.268
