DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
776.478,8.5,8.639,110.821,-6.804,5.499,13.633,17.936,2.328,0.317,2.925,113.577
776.63,8.5,8.662,109.965,-6.758,5.562,14.346,18.936,2.317,0.323,2.914,113.284
776.783,8.5,8.639,103.357,-6.833,5.451,14.003,18.371,2.312,0.354,2.922,113.17
776.935,8.5,8.631,103.269,-6.804,5.433,13.65,17.829,2.312,0.363,2.948,113.606
777.088,8.5,8.643,98.842,-6.921,5.425,13.709,17.938,2.318,0.383,2.972,113.634
777.24,8.5,8.572,95.86,-7.012,5.367,13.289,17.34,2.317,0.377,2.972,113.903
777.392,8.5,8.56,94.255,-7.375,5.334,13.116,17.154,2.315,0.355,2.954,113.901
777.545,8.5,8.56,98.841,-7.589,5.422,13.019,16.973,2.304,0.362,2.939,114.104
777.697,8.5,8.478,99.628,-7.825,5.314,12.231,15.823,2.284,0.346,2.941,114.159
777.85,8.5,8.631,102.774,-8.35,5.279,11.859,15.256,2.28,0.359,2.953,114.186
778.002,8.5,8.662,103.494,-8.758,5.275,11.399,14.545,2.284,0.356,2.942,114.479
778.154,8.5,8.678,108.62,-9.329,5.424,11.508,14.586,2.292,0.383,2.913,114.495
778.307,8.5,8.725,108.734,-9.826,5.822,12.984,16.527,2.297,0.361,2.891,114.245
778.459,8.5,8.725,109.613,-9.85,5.763,12.899,16.379,2.307,0.351,2.898,114.468
778.612,8.5,8.666,105.312,-9.529,5.61,12.335,15.673,2.324,0.346,2.929,114.08
778.764,8.5,8.607,105.449,-8.779,5.781,12.687,16.285,2.325,0.362,2.972,113.779
778.916,8.5,8.545,106.793,-7.888,5.79,12.64,16.324,2.322,0.364,3.02,113.915
779.069,8.5,8.537,107.034,-7.404,5.624,12.51,16.283,2.321,0.365,3.058,113.563
779.221,8.5,8.513,108.76,-6.379,5.569,12.505,16.377,2.328,0.361,3.077,113.214
779.374,8.5,8.521,111.217,-5.917,5.684,13.139,17.256,2.33,0.392,3.058,112.765
779.526,8.5,8.513,113.597,-5.592,5.752,13.383,17.553,2.329,0.366,3.031,112.966
779.678,8.5,8.505,109.064,-5.848,5.588,13.029,17.045,2.318,0.396,2.993,113.018
779.831,8.5,8.537,107.357,-5.975,5.504,12.928,16.9,2.321,0.38,2.99,113.285
779.983,8.5,8.513,107.302,-6.042,5.557,13.377,17.589,2.322,0.421,2.988,113.309
780.136,8.5,8.537,108.378,-5.975,5.754,14.01,18.491,2.331,0.374,3.002,113.06
