DEPT,ROP,GR
114.3,0.5312,15.8727
114.4524,0.5224,16.3727
114.6048,0.4879,16.8727
114.7572,0.4634,17.0
114.9096,0.4628,17.0
115.062,0.458,15.944
115.2144,0.4384,14.5273
115.3668,0.4378,13.6
115.5192,0.459,13.6
115.6716,0.4557,16.106
115.824,0.4421,17.5227
115.9764,0.4528,19.106
116.1288,0.4693,19.0707
116.2812,0.464,18.2576
116.4336,0.4492,17.5076
116.586,0.4406,17.057
116.7384,0.4421,19.3299
116.8908,0.4469,20.0707
117.0432,0.4499,19.3822
117.1956,0.4491,19.3883
117.348,0.4513,18.2615
117.5004,0.4511,18.4525
117.6528,0.4537,17.921
117.8052,0.4605,17.9016
117.9576,0.4562,17.0
118.11,0.4467,16.9148
118.2624,0.4733,16.8128
118.4148,0.6,16.7107
118.5672,0.7833,16.6086
118.7196,0.8424,16.5066
118.872,0.8147,16.4045
119.0244,0.7917,16.3024
119.1768,0.7963,16.2004
119.3292,0.8301,16.0983
119.4816,0.8655,15.8471
119.634,0.8547,14.9643
119.7864,0.8348,14.0101
119.9388,0.856,13.3676
120.0912,0.8585,13.6653
120.2436,0.7443,13.9543
120.396,0.5006,14.6409
120.5484,0.2951,15.2975
120.7008,0.2198,14.8425
120.8532,0.1947,14.7
121.0056,0.1298,16.515
121.158,0.0649,17.1125
121.3104,0.0,17.927
121.4628,0.065,18.7735
121.6152,0.13,17.8726
121.7676,0.195,17.872
121.92,0.26,18.5202
122.0724,0.325,18.8484
122.2248,0.39,19.6517
122.3772,0.4476,19.8631
122.5296,0.4853,19.4
122.682,0.497,19.9753
122.8344,0.4949,18.6956
122.9868,0.4947,17.9192
123.1392,0.5057,17.835
123.2916,0.5115,17.4647
123.444,0.5096,16.2309
123.5964,0.5059,15.6063
123.7488,0.4951,14.6608
123.9012,0.4788,14.1197
124.0536,0.4659,15.229
124.206,0.4642,16.3469
124.3584,0.4706,18.1444
124.5108,0.5033,19.3834
124.6632,0.5294,21.6215
124.8156,0.4865,22.0752
124.968,0.4352,25.9393
125.1204,0.4602,26.5252
125.2728,0.5047,27.8624
125.4252,0.5026,29.5591
125.5776,0.4571,32.281
125.73,0.418,34.7425
125.8824,0.4122,35.3558
126.0348,0.4725,36.1718
126.1872,0.5362,35.954
126.3396,0.52,34.7078
126.492,0.4848,34.2253
126.6444,0.4758,34.3869
126.7968,0.4745,31.109
126.9492,0.4824,24.2175
127.1016,0.4801,17.326
127.254,0.4804,16.25
127.4064,0.5143,16.1916
127.5588,0.5506,16.5529
127.7112,0.5607,17.3048
127.8636,0.546,18.0567
128.016,0.5328,18.8086
128.1684,0.5407,18.964
128.3208,0.5405,19.1022
128.4732,0.5307,19.5
128.6256,0.5205,17.9243
128.778,0.5145,17.7543
128.9304,0.5087,16.0593
129.0828,0.4915,15.2122
129.2352,0.4696,14.8409
