DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
1156.716,2403.187,8.689,8.5,119.351,99.448,108.855,2.812,18.041,0.092,7.216,1.153,0.355,0.0,11.25,0.358,26.006,114.159,3.991,1.766,14.537,0.332,97.336,2.267
1156.868,2386.563,8.695,8.5,116.509,94.978,125.184,2.809,18.022,0.092,7.222,1.22,0.336,0.0,11.345,0.339,25.941,114.324,3.985,1.743,14.562,0.318,91.252,2.301
1157.021,2337.599,8.727,8.5,117.5,98.764,116.586,2.799,19.879,0.094,7.886,1.333,0.328,0.0,12.484,0.329,28.479,107.251,4.254,1.814,15.991,0.305,96.516,2.32
1157.173,2335.938,8.727,8.5,110.359,101.227,110.43,2.775,20.14,0.093,8.18,1.314,0.317,0.0,12.691,0.317,28.43,107.697,4.206,1.72,16.172,0.308,108.277,2.298
1157.326,2397.625,8.784,8.5,108.025,104.686,104.618,2.737,23.807,0.092,9.326,1.104,0.318,0.0,14.925,0.318,33.343,107.479,4.498,1.701,19.08,0.309,98.927,2.256
1157.478,2400.0,8.717,8.5,109.337,103.329,108.894,2.689,22.271,0.09,8.636,1.085,0.324,0.0,13.956,0.324,31.036,110.741,4.096,1.517,17.772,0.316,106.11,2.234
1157.63,2429.187,8.65,8.5,109.694,102.278,114.908,2.61,22.018,0.089,8.429,1.041,0.33,0.0,13.806,0.33,30.809,119.115,4.041,1.509,17.555,0.319,104.933,2.237
1157.783,2468.814,8.669,8.5,106.061,96.698,105.605,2.545,21.334,0.088,8.308,1.036,0.33,0.0,13.366,0.332,29.982,119.115,4.111,1.605,16.963,0.315,96.16,2.244
1157.935,2481.059,8.669,8.5,100.026,90.511,97.509,2.513,22.178,0.088,8.567,0.941,0.321,0.0,13.742,0.322,31.025,122.844,4.113,1.566,17.627,0.318,89.271,2.244
1158.088,2443.687,8.669,8.5,98.879,90.94,96.578,2.517,23.311,0.088,8.904,0.936,0.322,0.0,14.352,0.324,32.326,123.86,4.079,1.473,18.539,0.334,86.454,2.237
1158.24,2455.687,8.689,8.5,103.925,91.118,102.927,2.523,25.52,0.089,9.275,0.952,0.351,0.0,15.304,0.351,35.171,123.756,3.989,1.365,20.183,0.352,97.461,2.234
1158.392,2453.812,8.698,8.5,105.747,91.182,112.531,2.528,25.267,0.089,8.885,0.97,0.364,0.0,15.045,0.365,35.146,123.796,3.928,1.386,19.899,0.352,89.34,2.235
1158.545,2396.126,8.644,8.5,101.083,86.716,102.238,2.536,24.434,0.089,8.523,0.956,0.36,0.0,14.631,0.36,34.311,123.558,3.907,1.421,19.293,0.335,86.108,2.234
1158.697,2363.812,8.618,8.5,96.433,82.122,88.758,2.565,24.455,0.088,8.451,0.943,0.35,0.0,14.619,0.351,34.476,123.484,3.932,1.449,19.283,0.33,84.472,2.235
1158.85,2370.266,8.622,8.5,95.865,87.358,99.479,2.602,25.585,0.089,8.697,0.975,0.353,0.0,15.218,0.353,36.065,123.188,3.965,1.425,20.28,0.337,75.802,2.232
1159.002,2420.813,8.631,8.5,100.859,89.169,100.324,2.614,26.744,0.089,8.78,0.954,0.347,0.0,15.648,0.344,37.616,123.699,3.866,1.343,21.224,0.345,102.877,2.231
1159.154,2401.063,8.631,8.5,100.975,92.921,103.669,2.57,25.964,0.09,8.429,0.933,0.348,0.0,15.149,0.346,36.345,123.705,3.61,1.217,20.62,0.329,89.901,2.236
