TVD,ROP,GR
150.4188,0.489,54.1638
150.5712,0.4822,56.698
150.7236,0.4753,57.5772
150.876,0.4684,57.0497
151.0284,0.4615,56.3331
151.1808,0.4546,55.214
151.3332,0.4477,55.8578
151.4856,0.4409,56.1478
151.638,0.434,56.2851
151.7904,0.4494,55.6563
151.9428,0.4654,52.0721
152.0952,0.4656,52.5029
152.2476,0.4668,53.0804
152.4,0.4709,52.5918
152.5524,0.4707,53.5118
152.7048,0.4733,54.818
152.8572,0.4759,54.831
153.0096,0.4785,55.3408
153.162,0.4811,56.0602
153.3144,0.4837,55.1382
153.4668,0.4863,53.1304
153.6192,0.4889,49.0648
153.7716,0.4915,49.0806
153.924,0.4941,50.5661
154.0764,0.4967,50.3406
154.2288,0.4993,52.5352
154.3812,0.5019,54.0823
154.5336,0.5045,52.8936
154.686,0.5071,50.2837
154.8384,0.5097,48.0326
154.9908,0.4931,44.4521
155.1432,0.4898,40.8478
155.2956,0.476,37.5966
155.448,0.4403,38.5242
155.6004,0.4267,38.3404
155.7528,0.4222,37.9558
155.9052,0.4113,39.2649
156.0576,0.4217,40.574
156.21,0.4666,41.8831
156.3624,0.4771,43.1922
156.5148,0.4457,45.7923
156.6672,0.5014,45.8518
156.8196,0.6779,45.2976
156.972,0.8738,48.1318
157.1244,0.8956,48.3353
157.2768,0.7582,49.086
157.4292,0.6593,49.5079
157.5816,0.6247,48.7833
157.734,0.6343,47.1267
157.8864,0.5867,46.8463
158.0388,0.464,47.2679
158.1912,0.3996,45.1955
158.3436,0.4669,46.5456
158.496,0.5637,46.4738
158.6484,0.631,47.1983
158.8008,0.671,51.8231
158.9532,0.6744,53.0957
159.1056,0.6933,53.4725
159.258,0.7017,52.8489
159.4104,0.5802,49.0208
159.5628,0.4659,44.363
159.7152,0.5022,42.414
159.8676,0.6498,41.5343
160.02,0.758,40.4117
160.1724,0.7734,41.6774
160.3248,0.7808,42.9893
160.4772,0.8082,43.4139
160.6296,0.791,43.409
160.782,0.7697,43.4613
160.9344,0.748,42.1594
161.0868,0.7317,40.9136
161.2392,0.7396,39.9572
161.3916,0.7587,40.5119
161.544,0.762,42.1607
161.6964,0.7601,42.1808
161.8488,0.763,41.9307
162.0012,0.7753,42.761
162.1536,0.8011,40.5884
162.306,0.7494,40.1378
162.4584,0.6865,40.6051
162.6108,0.702,40.1975
162.7632,0.7288,40.1546
162.9156,0.7326,40.4942
163.068,0.7214,41.4104
163.2204,0.6932,43.2372
163.3728,0.6895,44.0032
163.5252,0.7075,43.8641
163.6776,0.6451,44.2031
163.83,0.4937,44.6066
163.9824,0.4068,41.7659
164.1348,0.4839,41.7258
164.2872,0.5915,41.1144
164.4396,0.6314,41.1833
164.592,0.6298,41.8368
164.7444,0.6157,41.8105
164.8968,0.5992,41.8782
165.0492,0.5891,41.9833
165.2016,0.5918,42.0884
165.354,0.6038,42.1936
165.5064,0.6212,42.2987
165.6588,0.6424,42.4038
165.8112,0.6499,42.5089
165.9636,0.6635,43.9723
166.116,0.6703,43.2942
166.2684,0.5918,44.3562
166.4208,0.5424,44.5355
166.5732,0.5767,43.792
166.7256,0.5943,43.564
166.878,0.5999,42.0387
167.0304,0.5993,40.4829
167.1828,0.5891,38.8521
167.3352,0.5852,39.0441
167.4876,0.7446,39.8024
167.64,0.9057,40.7209
167.7924,0.9263,42.2492
167.9448,1.029,41.2442
168.0972,1.2636,39.0052
168.2496,1.3797,36.271
168.402,1.1458,35.9487
168.5544,0.9793,36.5377
168.7068,0.9953,37.4934
168.8592,0.9062,37.9138
169.0116,0.7744,37.9106
169.164,0.7289,37.9632
169.3164,0.6835,38.8197
169.4688,0.638,40.1651
169.6212,0.5926,42.3856
169.7736,0.9491,43.6638
169.926,1.2183,43.1722
170.0784,0.9862,44.6704
170.2308,0.7473,45.4245
170.3832,0.6441,45.5988
170.5356,0.5766,46.2068
170.688,0.5664,44.1469
170.8404,0.5685,42.6565
170.9928,0.573,44.1013
171.1452,0.5802,46.2347
171.2976,0.5636,48.6876
171.45,0.5108,52.3355
171.6024,0.4858,51.3248
171.7548,0.5304,51.1459
171.9072,0.5681,48.0654
172.0596,0.5737,44.1934
172.212,0.5752,41.4085
172.3644,0.5766,38.5869
172.5168,0.5775,37.3811
172.6692,0.5468,38.0303
172.8216,0.4708,39.277
172.974,0.46,40.5116
173.1264,0.5195,42.8326
173.2788,0.5429,44.9144
173.4312,0.5467,45.4322
173.5836,0.553,43.7538
173.736,0.5555,42.4678
173.8884,0.5534,42.7808
174.0408,0.5493,41.6048
174.1932,0.5456,42.6539
174.3456,0.542,44.6956
174.498,0.5412,44.8417
174.6504,0.5451,46.3565
174.8028,0.5463,47.1959
174.9552,0.5129,47.3168
175.1076,0.4522,50.9169
175.26,0.4108,54.517
175.4124,0.4107,53.0874
175.5648,0.4544,51.4678
175.7172,0.5201,46.973
175.8696,0.5452,47.1232
176.022,0.4998,48.9646
176.1744,0.4389,49.8095
176.3268,0.4108,54.5094
176.4792,0.4047,53.8863
176.6316,0.3992,52.627
176.784,0.3986,52.2323
176.9364,0.6912,50.4604
177.0888,1.2758,49.9201
177.2412,1.0083,51.1095
177.3936,0.5401,51.7462
177.546,0.51,55.1549
177.6984,0.4351,55.3122
177.8508,0.3812,54.9063
178.0032,0.3582,55.8975
178.1556,0.3588,56.063
178.308,0.3665,55.43
178.4604,0.3743,54.6007
178.6128,0.382,55.0466
178.7652,0.3897,56.8495
178.9176,0.3975,56.1592
179.07,0.403,57.1099
179.2224,0.3715,54.1991
179.3748,0.3424,50.5695
179.5272,0.3608,47.0741
179.6796,0.4013,43.8106
179.832,0.4698,41.1863
179.9844,0.6684,40.6711
180.1368,0.8912,39.9303
180.2892,0.9474,41.6283
180.4416,1.0328,43.3739
180.594,1.0221,43.8897
180.7464,0.8817,44.0803
180.8988,0.9047,46.3209
181.0512,1.0835,47.8592
181.2036,1.0617,49.3019
181.356,0.9092,47.7044
181.5084,0.8208,46.5672
181.6608,0.8102,42.9811
181.8132,0.8238,43.7731
181.9656,0.9187,44.4491
182.118,1.3303,44.9119
182.2704,1.3181,45.8868
182.4228,0.9742,42.8989
182.5752,0.8794,40.9801
182.7276,0.9251,40.4142
182.88,0.8636,39.063
183.0324,0.7539,39.7101
183.1848,0.7423,41.5423
183.3372,0.8265,40.7549
183.4896,0.8257,40.8793
183.642,0.7785,43.7242
183.7944,0.7627,43.3111
183.9468,0.7275,44.0893
184.0992,0.7369,46.1702
184.2516,0.8025,47.2526
184.404,0.7308,47.8057
184.5564,0.669,47.2429
184.7088,0.6965,47.0883
184.8612,0.6645,46.1588
185.0136,0.6733,45.6538
185.166,0.77,47.0477
185.3184,0.8784,46.6419
185.4708,1.0738,46.7567
185.6232,1.0826,47.5097
185.7756,0.9426,47.3527
185.928,0.9551,46.6553
186.0804,0.9053,45.7383
186.2328,0.8271,44.6384
186.3852,0.9623,44.2769
186.5376,1.196,44.2461
186.69,1.1182,44.709
186.8424,0.7896,45.9748
186.9948,0.6063,43.8021
187.1472,0.5493,43.0001
187.2996,0.5155,43.6175
187.452,0.5226,43.2401
187.6044,0.5235,45.5363
187.7568,0.5324,44.4636
187.9092,0.6133,46.0357
188.0616,0.7144,47.6467
188.214,0.7097,46.3867
188.3664,0.6442,48.4241
188.5188,0.5856,49.1558
188.6712,0.6553,47.2542
188.8236,0.7571,47.4416
188.976,0.7777,44.9643
189.1284,0.7129,44.2497
189.2808,0.6235,44.3375
189.4332,0.5618,44.1743
189.5856,0.5722,46.2861
189.738,0.6177,49.2889
189.8904,0.531,48.3167
190.0428,0.4485,47.5006
190.1952,0.4996,48.146
190.3476,0.528,48.4671
190.5,0.4931,47.8157
190.6524,0.5337,48.5593
190.8048,0.6405,48.905
190.9572,0.6476,48.3413
191.1096,0.5205,48.5953
191.262,0.4421,49.9496
191.4144,0.4508,51.5472
191.5668,0.4871,51.0878
191.7192,0.4575,49.4484
191.8716,0.4196,49.7632
192.024,0.417,48.1482
192.1764,0.3922,48.0565
192.3288,0.355,49.307
192.4812,0.3838,48.9613
192.6336,0.4479,48.7211
192.786,0.4718,51.2072
192.9384,0.4669,52.0401
193.0908,0.4891,52.3688
193.2432,0.5156,52.6507
193.3956,0.5127,50.9386
193.548,0.509,49.9355
193.7004,0.4952,49.8307
193.8528,0.4536,49.9486
194.0052,0.4203,52.1382
194.1576,0.4123,51.1994
194.31,0.4183,51.0724
194.4624,0.4244,50.9118
194.6148,0.4146,50.3956
194.7672,0.4192,51.3243
194.9196,0.4314,53.0169
195.072,0.4255,52.6942
195.2244,0.4146,52.1161
195.3768,0.4094,53.2184
195.5292,0.4123,51.3867
195.6816,0.4186,52.1042
195.834,0.4571,53.2329
