DEPTH,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
133.807,12.25,,59.608,,,,,,,
133.96,12.25,,64.116,,,,,,,
134.112,12.25,,63.126,,,,,,,
134.264,12.25,,56.489,,,,,,,
134.417,12.25,,52.198,,,,,,,
134.569,12.25,,50.161,,,,,,,
134.722,12.25,,48.015,,,,,,,
134.874,12.25,,47.239,,,,,,,
135.026,12.25,,47.886,,,,,,,
135.179,12.25,,51.676,,,,,,,
135.331,12.25,,52.535,,,,,,,
135.484,12.25,,49.295,,,,,,,
135.636,12.25,,44.229,,,,,,,
135.788,12.25,,42.151,,,,,,,
135.941,12.25,,44.679,,,,,,,
136.093,12.25,,47.155,,,,,,,
136.246,12.25,,47.488,,,,,,,
136.398,12.25,,46.676,,,,,,,
136.55,12.25,,48.003,,,,,,,
136.703,12.25,,49.287,,,,,,,
136.855,12.25,,49.652,,,,,,,
137.008,12.25,,51.007,,,,,,,
137.16,12.25,,51.931,,,,,,,
137.312,12.25,,51.188,,,,,,,
137.465,12.25,,47.948,,,,,,,
137.617,12.25,,45.501,,,,,,,
137.77,12.25,,47.957,,,,,,,
137.922,12.25,,52.135,,,,,,,
138.074,12.25,,53.403,,,,,,,
138.227,12.25,,52.47,,,,,,,
138.379,12.25,,51.911,,,,,,,
138.532,12.25,,51.418,,,,,,,
138.684,12.25,,49.847,,,,,,,
138.836,12.25,,48.757,,,,,,,
138.989,12.25,,48.753,,,,,,,
139.141,12.25,,48.336,,,,,,,
139.294,12.25,,47.332,,,,,,,
139.446,12.25,,46.879,,,,,,,
139.598,12.25,,47.835,,,,,,,
139.751,12.25,,49.848,,,,,,,
139.903,12.25,,51.265,,,,,,,
140.056,12.25,,51.841,,,,,,,
140.208,12.25,,48.048,,,,,,,
140.36,12.25,,41.763,,,,,,,
140.513,12.25,,35.128,,,,,,,
140.665,12.25,,33.711,,,,,,,
140.818,12.25,,35.869,,,,,,,
140.97,12.25,,36.841,,,,,,,
141.122,12.25,,38.571,,,,,,,
141.275,12.25,,45.805,,,,,,,
141.427,12.25,,55.007,,,,,,,
141.58,12.25,,56.677,,,,,,,
141.732,12.25,,53.868,,,,,,,
141.884,12.25,,51.5,,,,,,,
142.037,12.25,,50.724,,,,,,,
142.189,12.25,,50.586,,,,,,,
142.342,12.25,,49.456,,,,,,,
142.494,12.25,,48.752,,,,,,,
142.646,12.25,,47.812,,,,,,,
142.799,12.25,,48.07,,,,,,,
142.951,12.25,,49.622,,,,,,,
143.104,12.25,,52.855,,,,,,,
143.256,12.25,,56.754,,,,,,,
143.408,12.25,,58.284,,,,,,,
143.561,12.25,,56.382,,,,,,,
143.713,12.25,,51.559,,,,,,,
143.866,12.25,,49.566,,,,,,,
144.018,12.25,,51.259,,,,,,,
144.17,12.25,,54.004,,,,,,,
144.323,12.25,,54.856,,,,,,,
144.475,12.25,,52.929,,,,,,,
144.628,12.25,,52.633,,,,,,,
144.78,12.25,,54.93,,,,,,,
144.932,12.25,,56.667,,,,,,,
145.085,12.25,,55.367,,,,,,,
145.237,12.25,,51.274,,,,,,,
145.39,12.25,,45.257,,,,,,,
145.542,12.25,,42.481,,,,,,,
145.694,12.25,,46.106,,,,,,,
145.847,12.25,,51.503,,,,,,,
145.999,12.25,,53.746,,,,,,,
146.152,12.25,,52.94,,,,,,,
146.304,12.25,,55.69,,,,,,,
146.456,12.25,,59.566,,,,,,,
146.609,12.25,,57.874,,,,,,,
146.761,12.25,,51.936,,,,,,,
146.914,12.25,,47.789,,,,,,,
147.066,12.25,,48.167,,,,,,,
147.218,12.25,,49.534,,,,,,,
147.371,12.25,,50.985,,,,,,,
147.523,12.25,,52.483,,,,,,,
147.676,12.25,,52.827,,,,,,,
147.828,12.25,,53.384,,,,,,,
147.98,12.25,,57.302,,,,,,,
148.133,12.25,,60.194,,,,,,,
148.285,12.25,,61.126,,,,,,,
148.438,12.25,,60.713,,,,,,,
148.59,12.25,,58.666,,,,,,,
148.742,12.25,,54.792,,,,,,,
148.895,12.25,,50.092,,,,,,,
149.047,12.25,,48.729,,,,,,,
