DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
769.9248,8.43213,8.5,107.9797,-93.07917,0.04529,0.07315,9.22731,14.15793,16.92582,18.30552,20.37564,27.12009,109.0191,0.00542,2.91053,2.29418,0.40287,1.42379,1749.26671
770.0772,8.34776,8.5,115.6028,-93.53333,0.00245,0.10285,9.15131,13.97703,16.70047,18.11813,20.14193,26.82621,109.51994,0.00267,2.79689,2.28446,0.3945,1.30417,1732.73336
770.2296,8.29407,8.5,102.4852,-93.95313,-0.01858,0.07071,9.01432,13.61529,16.18678,17.54803,19.44039,25.82495,110.79315,0.00062,2.82394,2.27017,0.39029,1.26201,1709.00006
770.382,8.27873,8.5,98.25148,-94.47916,-0.01134,0.07578,9.25641,14.24117,16.77726,18.2255,20.07969,26.65854,111.1616,0.00092,2.84966,2.2649,0.38469,1.34611,1710.8001
770.5344,8.30557,8.5,115.1641,-94.75833,0.02839,0.09888,9.15692,14.00629,16.30886,17.65011,19.36649,25.65437,111.13075,0.0075,2.97386,2.28465,0.38092,1.53699,1721.87509
770.6868,8.27106,8.5,107.5904,-95.39584,0.06579,0.08341,8.69145,13.02507,15.06889,16.30245,17.80612,23.51849,111.64537,0.01094,2.84668,2.27578,0.36311,1.42565,1725.60018
770.8392,8.27106,8.5,112.1029,-96.03333,0.0334,0.0706,8.30059,12.3975,14.4089,15.57965,17.00161,22.50328,111.84164,0.00903,2.93078,2.31684,0.35901,1.43067,1737.39995
770.9916,8.24805,8.5,123.4341,-96.6125,0.00034,0.0592,8.24883,11.85166,13.77454,14.89154,16.22973,21.39801,111.91698,0.00233,2.80497,2.31399,0.36903,1.35183,1719.53348
771.144,8.22504,8.5,110.8418,-97.18359,-0.00701,0.0739,8.21166,11.7978,13.73853,14.91247,16.2061,21.39834,111.38916,-0.00174,2.82689,2.30125,0.36088,1.33722,1733.37519
771.2964,8.24805,8.5,109.9124,-97.5125,-0.01808,0.0691,8.73187,12.87514,14.97121,16.33092,17.63445,23.39593,109.98098,0.00273,2.8661,2.28835,0.35534,1.36651,1749.20017
771.4488,8.2864,8.5,117.733,-97.725,0.0193,0.15074,9.28018,14.28697,16.81083,18.51008,19.8014,26.59553,112.10023,0.01573,2.9868,2.25762,0.34853,1.51231,1740.1334
771.6012,8.34009,8.5,123.2223,-98.225,0.10581,0.20732,9.04122,14.07516,16.7931,18.58043,19.69711,26.68462,110.03362,0.02722,2.77363,2.26394,0.36217,1.52489,1725.33333
