wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-A10,Clean,295.046,8.5,8.72,2.229,0.002,134.633,120.001,0.423,2.925,25.999,22.083,12.575,-115.662,295.036
Cheal-A10,Clean,295.199,8.5,8.777,2.21,-0.002,135.013,118.476,0.402,2.842,24.812,21.192,12.177,-115.617,295.189
Cheal-A10,Clean,295.351,8.5,8.839,2.218,-0.006,135.007,116.482,0.434,2.813,25.265,21.579,12.441,-115.933,295.341
Cheal-A10,Clean,295.504,8.5,8.846,2.219,-0.006,134.791,109.443,0.437,2.899,26.798,22.919,13.342,-116.408,295.494
Cheal-A10,Clean,295.656,8.5,8.869,2.212,-0.002,134.21,107.149,0.423,2.96,25.762,22.17,13.193,-116.392,295.646
Cheal-A10,Clean,295.808,8.5,8.869,2.206,0.002,134.269,105.741,0.407,2.967,25.564,21.917,13.159,-116.137,295.798
Cheal-A10,Clean,295.961,8.5,8.835,2.21,0.002,134.24,112.897,0.378,2.946,24.99,21.327,12.902,-116.242,295.951
Cheal-A10,Clean,296.113,8.5,8.785,2.213,0.001,133.854,118.241,0.399,2.927,23.85,20.195,12.112,-116.021,296.103
Cheal-A10,Clean,296.266,8.5,8.762,2.213,0,133.91,117.537,0.404,2.905,23.014,19.4,11.517,-115.808,296.256
Cheal-A10,Clean,296.418,8.5,8.754,2.22,0.001,133.339,111.789,0.439,2.85,26.234,21.884,12.318,-115.637,296.408
Cheal-A10,Clean,296.57,8.5,8.731,2.227,-0.001,132.843,108.27,0.46,2.812,26.999,22.47,12.097,-115.783,296.56
Cheal-A10,Clean,296.723,8.5,8.685,2.215,-0.002,132.557,108.623,0.442,2.835,28.298,23.557,12.271,-116.219,296.713
Cheal-A10,Clean,296.875,8.5,8.647,2.218,-0.003,132.258,110.587,0.411,2.868,27.725,23.194,12.346,-116.529,296.865
Cheal-A10,Clean,297.028,8.5,8.754,2.239,-0.002,132.716,109.532,0.391,2.866,29.343,24.465,12.951,-116.446,297.018
Cheal-A10,Clean,297.18,8.5,8.632,2.244,-0.002,132.93,110.191,0.397,2.89,26.647,22.292,12.658,-116.996,297.17
Cheal-A10,Clean,297.332,8.5,8.835,2.233,-0.004,133.05,111.98,0.392,2.984,25.733,21.636,12.806,-117.308,297.322
Cheal-A10,Clean,297.485,8.5,8.892,2.211,-0.005,132.981,112.684,0.387,2.863,26.73,22.395,13.145,-117.004,297.475
Cheal-A10,Clean,297.637,8.5,8.881,2.183,-0.005,132.867,111.555,0.379,2.921,23.889,20.064,12.512,-116.842,297.627
Cheal-A10,Clean,297.79,8.5,8.915,2.194,-0.003,132.878,106.159,0.383,2.787,24.824,20.852,13.248,-116.817,297.78
Cheal-A10,Clean,297.942,8.5,8.931,2.203,0.008,132.848,107.098,0.407,2.765,27.851,23.354,14.051,-116.763,297.932
Cheal-A10,Clean,298.094,8.5,8.839,2.219,0.015,132.912,108.666,0.419,2.796,29.767,24.97,14.581,-116.904,298.084
Cheal-A10,Clean,298.247,8.5,8.846,2.247,0.016,133.138,112.772,0.437,2.897,27.809,23.379,13.901,-117.146,298.237
Cheal-A10,Clean,298.399,8.5,8.789,2.229,0.007,133.162,115.353,0.437,2.93,22.728,19.251,12.151,-117.542,298.389
Cheal-A10,Clean,298.552,8.5,8.708,2.206,0.007,133.61,115.191,0.43,2.925,24.287,20.532,12.434,-117.813,298.542
Cheal-A10,Clean,298.704,8.5,8.693,2.203,0.013,133.804,111.203,0.404,3.003,28.693,24.113,13.539,-118.321,298.694
Cheal-A10,Clean,298.856,8.5,8.662,2.224,0.016,133.762,108.505,0.403,2.91,27.3,23.04,13.005,-118.379,298.846
Cheal-A10,Clean,299.009,8.5,8.616,2.216,0.011,133.589,109.678,0.412,2.974,25.906,21.892,12.379,-118.367,298.999
Cheal-A10,Clean,299.161,8.5,8.655,2.205,0.008,133.328,112.068,0.412,2.781,25.771,21.792,12.22,-117.954,299.151
Cheal-A10,Clean,299.314,8.5,8.662,2.205,0.008,133.403,110.543,0.41,2.88,25.809,21.942,12.145,-117.579,299.304
Cheal-A10,Clean,299.466,8.5,8.493,2.219,0.006,133.783,113.593,0.396,2.907,23.938,20.484,11.52,-117.588,299.456
Cheal-A10,Clean,299.618,8.5,8.478,2.218,0.006,133.739,114.84,0.401,2.827,22.788,19.504,11.06,-117.711,299.608
Cheal-A10,Clean,299.771,8.5,8.493,2.198,0.009,133.57,118.241,0.401,2.775,22.965,19.715,11.041,-117.975,299.761
Cheal-A10,Clean,299.923,8.5,8.432,2.207,0.012,133.493,114.136,0.423,2.865,23.652,20.485,11.196,-118.058,299.913
