wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-G3,Clean,1817.5,8.5,8.517,2.482,0.025,86.759,104.67,0.299,3.45,5.972,6.053,6.247,-150.167,1744.9
Cheal-G3,Clean,1817.6,8.5,8.518,2.486,0.029,87.248,107.595,0.296,3.407,5.566,5.631,5.785,-150.1,1745
Cheal-G3,Clean,1817.7,8.5,8.518,2.487,0.034,87.999,110.495,0.3,3.362,5.314,5.367,5.494,-150.057,1745.1
Cheal-G3,Clean,1817.8,8.5,8.518,2.484,0.036,88.876,112.447,0.304,3.313,5.33,5.379,5.494,-150.06,1745.2
Cheal-G3,Clean,1817.9,8.5,8.52,2.478,0.036,89.718,112.445,0.309,3.277,5.631,5.68,5.795,-150.033,1745.3
Cheal-G3,Clean,1818,8.5,8.526,2.468,0.035,90.42,109.424,0.309,3.266,5.432,5.48,5.595,-150.002,1745.4
Cheal-G3,Clean,1818.1,8.5,8.532,2.459,0.032,90.936,105.951,0.307,3.273,5,5.047,5.158,-150.024,1745.5
Cheal-G3,Clean,1818.2,8.5,8.54,2.45,0.03,91.255,103.778,0.303,3.294,4.766,4.81,4.913,-150.072,1745.6
Cheal-G3,Clean,1818.3,8.5,8.552,2.448,0.03,91.38,105.03,0.3,3.293,5.045,5.087,5.187,-150.06,1745.7
Cheal-G3,Clean,1818.4,8.5,8.571,2.449,0.032,91.385,108,0.3,3.296,5.168,5.208,5.302,-150.081,1745.8
Cheal-G3,Clean,1818.5,8.5,8.594,2.451,0.034,91.311,111.629,0.304,3.311,4.885,4.922,5.009,-150.072,1745.9
Cheal-G3,Clean,1818.6,8.5,8.588,2.452,0.035,91.218,114.911,0.312,3.343,4.696,4.736,4.83,-150.087,1746
Cheal-G3,Clean,1818.7,8.5,8.533,2.454,0.037,91.083,117.159,0.321,3.373,4.772,4.824,4.95,-150.084,1746.1
