DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1707.6,49.598428,2871.658481,111.334817,0.314303,8.383305,0.074345,2.431846,3.114978,84.530096,-133.928985,4.756753,5.772469,5.732018,5.705209,5.671874,5.612363,5.573038,5.374101,0.125554,0.037873,8.5
1707.7,49.58017,2875.976563,111.011149,0.315587,8.369578,0.07703,2.438503,3.129755,84.569556,-133.89081,4.862258,6.008839,5.976231,5.954593,5.92766,5.879499,5.847616,5.686545,0.125189,0.037508,8.5
1707.8,49.582447,2876.542005,110.185592,0.315135,8.358945,0.078555,2.442228,3.147053,84.658765,-133.871866,4.939574,5.93872,5.925373,5.916495,5.905422,5.885556,5.872359,5.805677,0.124941,0.03726,8.5
1707.9,49.574932,2880.293577,107.83798,0.312469,8.352989,0.080625,2.447314,3.189734,84.785106,-133.919653,4.98856,5.685523,5.692828,5.697707,5.703815,5.714835,5.7222,5.759373,0.124819,0.037137,8.5
1708.0,49.579662,2877.108871,105.607049,0.306788,8.350739,0.083894,2.454707,3.222505,84.976372,-133.983581,4.983113,5.573016,5.596301,5.61188,5.631414,5.666751,5.690433,5.809904,0.124808,0.037126,8.5
1708.1,49.599677,2885.175677,104.6566,0.299472,8.352266,0.088454,2.466157,3.260668,85.148779,-134.0493,4.946839,5.625355,5.655612,5.675875,5.701304,5.747366,5.778281,5.934145,0.124898,0.037216,8.5
1708.2,49.591291,2879.158776,104.678916,0.292931,8.356775,0.090032,2.47204,3.2693,85.299374,-134.123871,4.924131,5.789272,5.816643,5.834964,5.857948,5.899552,5.927455,6.068124,0.125045,0.037364,8.5
1708.3,49.584993,2866.210938,105.00401,0.288727,8.362107,0.091068,2.47762,3.27386,85.321416,-134.162028,4.989941,5.810232,5.825613,5.835891,5.848767,5.872021,5.88758,5.966017,0.12517,0.037489,8.5
1708.4,49.584046,2866.210938,105.935598,0.284909,8.365134,0.09148,2.480054,3.261455,85.198781,-134.18908,5.086597,5.842386,5.844077,5.845207,5.846619,5.849165,5.850865,5.859429,0.125113,0.037432,8.5
1708.5,49.558629,2859.963663,106.166058,0.280535,8.358294,0.092392,2.482233,3.249077,84.886117,-134.209187,5.184123,5.839969,5.832895,5.828185,5.822302,5.811729,5.804691,5.769166,0.124601,0.036919,8.5
1708.6,49.588271,2812.5,105.627668,0.277042,8.330846,0.090072,2.475563,3.241388,84.447337,-134.199503,5.259341,5.647591,5.635357,5.627216,5.617055,5.598814,5.586687,5.525403,0.123459,0.035777,8.5
1708.7,49.632235,2809.088125,104.627308,0.276878,8.281573,0.08844,2.46973,3.236738,83.903689,-134.21111,5.343862,5.847414,5.830114,5.81861,5.804262,5.77853,5.761442,5.674948,0.122001,0.034319,8.5
1708.8,49.581151,2783.772127,103.614445,0.278663,8.232474,0.088822,2.46647,3.228866,83.341138,-134.238007,5.330668,5.760857,5.733363,5.715107,5.69237,5.651672,5.624704,5.488304,0.121068,0.033387,8.5
1708.9,49.562875,2791.502084,102.995709,0.281317,8.218402,0.091832,2.468271,3.210594,82.842035,-134.236941,5.223097,6.253084,6.214557,6.189005,6.157214,6.100402,6.06282,5.872643,0.121183,0.033502,8.5
1709.0,49.593545,2816.813099,102.58789,0.282536,8.240264,0.093989,2.469037,3.192077,82.501135,-134.228867,4.995418,6.813233,6.764662,6.732474,6.692455,6.62102,6.573822,6.335339,0.121919,0.034237,8.5
1709.1,49.578533,2812.5,102.876279,0.281827,8.268267,0.09416,2.467982,3.168853,82.343396,-134.226378,4.652632,6.579766,6.539951,6.513543,6.480683,6.421958,6.383106,6.186609,0.122514,0.034832,8.5
1709.2,49.632246,2811.929574,102.608688,0.277887,8.280503,0.092574,2.466356,3.146847,82.390952,-134.210395,4.224171,6.206744,6.181737,6.165127,6.144433,6.107373,6.082802,5.958769,0.122678,0.034996,8.5
1709.3,49.598221,2808.187969,104.573801,0.273835,8.27936,0.088659,2.463244,3.134854,82.626389,-134.233328,3.782544,5.915141,5.912966,5.911519,5.909714,5.906472,5.904317,5.893414,0.122679,0.034997,8.5
1709.4,49.617215,2811.928863,106.254773,0.27162,8.280577,0.082985,2.459598,3.142506,82.988033,-134.246231,3.29563,5.966834,5.979034,5.987181,5.997381,6.015786,6.028088,6.090246,0.122752,0.03507,8.5
1709.5,49.627046,2808.188681,109.550506,0.272111,8.284291,0.077058,2.455353,3.173941,83.361916,-134.261292,2.779473,6.067209,6.083408,6.094232,6.10779,6.132276,6.148657,6.231477,0.122873,0.035192,8.5
1709.6,49.620155,2812.5,110.228358,0.273248,8.288759,0.075187,2.457,3.193191,83.681181,-134.25573,2.377384,6.056174,6.060612,6.063575,6.067283,6.073969,6.078435,6.100972,0.122976,0.035295,8.5
1709.7,49.616007,2815.361026,111.333849,0.27432,8.291235,0.076026,2.458538,3.21229,83.910068,-134.267401,2.198198,6.055146,6.04511,6.038431,6.030096,6.015128,6.005176,5.954878,0.123012,0.03533,8.5
1709.8,49.620798,2837.486624,110.102942,0.274966,8.291145,0.079812,2.459498,3.217936,84.073244,-134.211868,2.257481,6.010385,5.984836,5.967865,5.946721,5.908855,5.883749,5.756809,0.122979,0.035298,8.5
