DEPT,GR,ROP
136.0932,66.0214,27.0937
136.2456,63.6449,29.8961
136.398,60.0131,33.4478
136.5504,61.3755,35.267
136.7028,61.4066,36.2872
136.8552,62.6614,35.4003
137.0076,63.4072,35.3771
137.16,62.6878,35.5498
137.3124,63.3452,35.1231
137.4648,63.5275,34.5338
137.6172,63.3227,32.4155
137.7696,63.2776,29.8704
137.922,64.9862,27.1359
138.0744,64.805,25.5551
138.2268,65.7657,24.4348
138.3792,66.5935,24.2079
138.5316,68.5632,23.9878
138.684,69.9211,24.0589
138.8364,70.0104,23.7287
138.9888,71.2042,23.1584
139.1412,71.2927,22.6365
139.2936,69.7963,21.936
139.446,70.9129,21.3103
139.5984,71.674,21.0861
139.7508,71.7481,21.3795
139.9032,70.6609,21.6931
140.0556,70.4795,21.8084
140.208,70.2264,21.589
140.3604,69.7094,21.4681
140.5128,70.6698,21.2954
140.6652,70.33,20.4248
140.8176,69.2104,19.8088
140.97,70.1438,19.1841
141.1224,70.1102,18.8549
141.2748,69.555,19.0012
141.4272,72.1693,19.4219
141.5796,71.2798,19.6901
141.732,70.2501,19.2634
141.8844,71.6347,19.2982
142.0368,72.3464,19.1831
142.1892,72.3129,19.2138
142.3416,72.4061,18.1508
142.494,71.5997,16.6665
142.6464,70.4774,18.9708
142.7988,69.3575,21.551
142.9512,69.9061,24.0776
143.1036,69.3013,26.097
143.256,68.1818,25.8438
143.4084,69.1724,27.5692
143.5608,68.7695,29.3186
143.7132,68.5122,31.5035
143.8656,70.317,33.1836
144.018,69.8444,32.4338
144.1704,70.9665,32.7355
144.3228,72.0787,33.0752
144.4752,71.7884,34.3174
144.6276,70.981,34.5277
144.78,71.6775,35.344
144.9324,70.8511,32.2061
145.0848,69.6274,32.5526
145.2372,69.9577,32.8452
145.3896,69.1595,31.7937
145.542,67.6702,32.4743
145.6944,70.0601,32.3423
145.8468,69.8258,31.1762
145.9992,69.9676,30.1848
146.1516,70.786,30.7142
146.304,69.3504,32.1594
146.4564,68.8799,33.8589
146.6088,69.7017,34.8112
146.7612,70.0265,36.0365
146.9136,72.2,35.7165
147.066,73.7779,35.817
147.2184,73.4564,37.0637
147.3708,72.7966,36.7011
147.5232,73.0574,33.3419
147.6756,72.7592,24.9006
147.828,72.4951,20.9194
147.9804,73.7088,18.5623
148.1328,73.3631,17.2923
148.2852,71.9273,18.9687
148.4376,72.7921,19.135
148.59,70.4868,18.6189
148.7424,70.363,18.2988
148.8948,69.9913,18.4171
149.0472,69.6378,19.0733
149.1996,69.6022,19.3422
149.352,69.9578,19.431
149.5044,70.0196,19.4036
149.6568,70.0548,19.3954
149.8092,71.1422,19.9475
149.9616,70.5964,20.6096
150.114,72.03,22.6974
150.2664,71.9026,23.5732
150.4188,71.6943,23.0864
150.5712,73.7893,23.5044
150.7236,73.3568,21.8063
150.876,73.9569,21.3147
151.0284,73.8572,22.1376
151.1808,72.4447,21.7993
151.3332,70.942,21.4975
151.4856,69.948,22.2678
151.638,69.9965,21.8948
151.7904,70.5834,22.1894
151.9428,73.1696,23.3274
