TVD,GR,ROP
126.3396,68.4646,25.1361
126.492,65.2573,25.5216
126.6444,63.5671,28.55
126.7968,59.798,31.7749
126.9492,56.5474,32.9529
127.1016,56.3605,30.4435
127.254,56.5202,28.3438
127.4064,55.9649,24.6276
127.5588,57.9982,24.0232
127.7112,57.0733,20.8111
127.8636,58.2339,17.3063
128.016,59.9732,20.6715
128.1684,59.7788,23.4558
128.3208,58.9906,32.2384
128.4732,60.2826,41.2274
128.6256,59.4237,44.0018
128.778,58.0457,41.7888
128.9304,58.0963,35.7938
129.0828,57.3652,27.1619
129.2352,59.0443,21.3415
129.3876,60.3301,21.2426
129.54,61.6158,23.8878
129.6924,63.5025,26.2131
129.8448,63.6138,27.3789
129.9972,62.8249,26.3835
130.1496,62.994,23.9407
130.302,62.4449,22.1763
130.4544,62.8153,22.9061
130.6068,62.443,25.5659
130.7592,62.3027,27.1984
130.9116,62.9163,29.918
131.064,64.0,32.6879
131.2164,63.1981,35.1574
131.3688,60.9229,37.6512
131.5212,59.8407,37.9271
131.6736,60.1866,35.1821
131.826,61.6521,31.5164
131.9784,61.0016,28.6382
132.1308,61.413,26.998
132.2832,60.6162,27.9207
132.4356,60.3285,28.1161
132.588,61.9602,28.8052
132.7404,62.5193,29.1776
132.8928,62.6721,28.0484
133.0452,61.7849,26.6681
133.1976,61.1264,25.22
133.35,61.0014,23.3298
133.5024,61.6736,21.4253
133.6548,62.1492,20.2081
133.8072,62.4294,18.991
133.9596,62.1248,17.7804
134.112,61.9273,18.3645
134.2644,63.9017,19.1983
134.4168,64.0,22.3673
134.5692,64.8665,24.6905
134.7216,65.7256,26.424
134.874,65.1311,26.9955
135.0264,65.5169,26.9035
135.1788,65.5437,23.95
135.3312,65.1309,23.9449
135.4836,65.4523,23.27
135.636,67.1059,22.7745
135.7884,67.8245,23.1437
135.9408,68.183,24.3757
136.0932,65.7493,27.1029
136.2456,62.2953,29.9207
136.398,58.7009,33.4615
136.5504,60.5872,35.2694
136.7028,61.0433,36.2862
136.8552,62.6172,35.4013
137.0076,63.18,35.3765
137.16,61.6923,35.5562
137.3124,61.5,35.1159
137.4648,62.4068,34.517
137.6172,62.5558,32.4127
137.7696,64.2938,29.8591
137.922,65.8739,27.1258
138.0744,64.9147,25.5399
138.2268,64.8,24.4285
138.3792,65.1871,24.203
138.5316,66.346,23.9911
138.684,68.8538,24.057
138.8364,69.568,23.7263
138.9888,70.1336,23.1468
139.1412,70.4575,22.6262
139.2936,68.7378,21.9304
139.446,69.3747,21.3089
139.5984,70.589,21.0877
139.7508,71.3654,21.3801
139.9032,69.0374,21.6898
140.0556,68.2605,21.8087
140.208,68.727,21.589
140.3604,68.7849,21.4649
140.5128,69.302,21.296
140.6652,69.8924,20.4175
140.8176,68.2911,19.8079
140.97,68.3367,19.1777
141.1224,69.8047,18.8496
141.2748,71.0927,19.0098
141.4272,73.1043,19.4186
141.5796,72.1042,19.6906
141.732,70.0416,19.2722
141.8844,69.7329,19.3002
142.0368,70.0809,19.1911
142.1892,69.4912,19.2112
142.3416,69.0516,18.1397
142.494,68.6692,16.6886
142.6464,66.4535,18.9909
142.7988,66.0,21.5735
142.9512,66.6755,24.0958
143.1036,67.3586,26.1022
143.256,66.3676,25.8554
143.4084,68.5629,27.569
143.5608,68.738,29.3427
143.7132,67.9304,31.518
143.8656,69.6073,33.2016
144.018,68.7342,32.4328
144.1704,70.4365,32.7259
144.3228,71.0041,33.083
144.4752,70.8459,34.3369
144.6276,70.4444,34.5354
144.78,70.2498,35.3131
144.9324,69.7035,32.1994
145.0848,68.5022,32.5314
145.2372,69.136,32.8602
145.3896,68.2222,31.7993
145.542,66.5562,32.4923
145.6944,69.0005,32.3481
145.8468,68.9841,31.1502
145.9992,69.1596,30.1824
146.1516,69.9929,30.7198
146.304,68.008,32.1894
146.4564,67.3623,33.8757
146.6088,68.1453,34.8155
146.7612,68.4473,36.0154
146.9136,71.5579,35.7271
147.066,74.475,35.8455
147.2184,73.4,37.0841
147.3708,72.6687,36.7086
147.5232,72.1089,33.2721
147.6756,72.4661,24.8945
147.828,72.0,20.8806
147.9804,72.9871,18.5584
148.1328,73.0312,17.3103
148.2852,72.4578,18.981
148.4376,73.0728,19.1262
148.59,72.3216,18.6253
148.7424,70.4,18.305
148.8948,70.4444,18.4253
149.0472,69.7517,19.0757
149.1996,69.768,19.3472
149.352,70.1602,19.4269
149.5044,69.2906,19.4041
149.6568,69.047,19.3897
149.8092,69.416,19.952
149.9616,68.3246,20.6317
150.114,70.4166,22.7048
150.2664,70.2,23.5728
150.4188,70.0935,23.0972
150.5712,72.5254,23.4919
150.7236,73.2719,21.7787
150.876,74.2,21.3235
151.0284,74.0,22.1395
151.1808,72.6896,21.7841
151.3332,70.841,21.5138
151.4856,69.7856,22.2614
151.638,68.6996,21.8758
151.7904,69.7243,22.2003
151.9428,72.5042,23.3518
152.0952,74.25,27.8269
152.2476,72.8546,29.143
152.4,72.9842,32.4967
152.5524,70.2044,35.0965
152.7048,70.9398,33.9317
152.8572,72.7215,33.2395
153.0096,74.6667,32.4514
153.162,75.5118,32.2394
153.3144,76.9932,30.8074
153.4668,77.8962,31.4524
153.6192,77.2322,30.2446
153.7716,76.3917,29.5574
153.924,75.2718,29.1643
154.0764,72.7604,27.4291
154.2288,71.3688,29.9581
154.3812,71.4053,29.4477
154.5336,71.9285,29.6775
154.686,72.7342,30.7368
154.8384,74.0566,30.4662
154.9908,73.8372,30.8265
155.1432,72.0525,32.704
155.2956,71.7784,32.7777
155.448,71.843,33.8849
155.6004,71.833,34.0639
155.7528,73.5185,33.7302
155.9052,74.9404,33.7622
156.0576,73.5425,33.6101
156.21,73.2573,32.7706
156.3624,72.6801,31.8587
156.5148,71.6506,31.6167
156.6672,71.4465,31.183
156.8196,71.6892,31.2689
156.972,71.4,29.0379
157.1244,71.2707,26.669
157.2768,71.871,24.4189
157.4292,72.9426,21.0685
157.5816,73.25,21.2902
157.734,70.4,21.2885
157.8864,69.8863,20.3067
158.0388,67.9797,20.403
158.1912,67.801,20.3821
158.3436,71.0708,20.6882
158.496,73.0,21.6295
158.6484,74.11,22.2955
158.8008,73.4833,22.1291
158.9532,73.9596,22.0283
159.1056,72.7765,22.2539
159.258,72.6031,22.4306
159.4104,73.4953,22.1529
159.5628,72.4731,22.7572
159.7152,71.1046,22.4393
159.8676,71.138,21.6652
160.02,70.4615,22.1574
160.1724,71.1797,21.8171
160.3248,70.5378,21.6432
160.4772,70.6569,21.574
160.6296,71.0344,21.3091
160.782,70.2178,21.6429
160.9344,71.3218,21.4498
161.0868,72.4745,21.2945
161.2392,72.2475,21.6558
161.3916,72.7361,20.013
161.544,72.641,26.7942
161.6964,72.4615,27.8634
161.8488,71.8756,28.7468
162.0012,73.8622,29.7081
162.1536,74.4005,24.2928
162.306,74.8571,24.0198
162.4584,74.0474,24.406
162.6108,72.6344,24.5753
162.7632,72.25,25.0524
162.9156,71.4464,24.8598
163.068,72.7566,24.3214
163.2204,71.7778,23.6584
163.3728,71.4842,22.4113
163.5252,71.6769,22.649
163.6776,69.7311,22.1847
163.83,70.3562,22.6224
163.9824,71.3418,24.62
164.1348,70.6496,22.8021
164.2872,71.9623,22.7931
164.4396,72.4289,22.5891
164.592,72.0747,21.3877
164.7444,72.9493,21.1309
164.8968,72.9402,20.9855
165.0492,71.6364,21.4307
165.2016,71.6364,22.3343
165.354,71.5403,22.5752
165.5064,70.9146,22.8601
165.6588,71.5526,23.7364
165.8112,72.803,22.8819
165.9636,73.7673,22.9689
166.116,73.3185,22.3774
166.2684,73.3333,22.7473
166.4208,73.8472,22.5042
166.5732,73.7893,22.7191
166.7256,72.7128,22.9238
166.878,72.2073,23.1093
167.0304,73.0,23.5767
167.1828,73.1952,23.316
167.3352,73.3769,24.0129
167.4876,73.2394,24.2035
167.64,71.5257,24.2448
167.7924,71.0373,23.7764
167.9448,72.8673,24.6126
168.0972,73.3777,25.8133
168.2496,72.7128,25.1642
168.402,72.5676,24.805
168.5544,70.2289,23.9529
168.7068,68.2201,23.4054
168.8592,69.0527,23.3502
169.0116,70.1052,24.1587
169.164,71.1368,23.7782
169.3164,72.3215,23.6904
169.4688,73.1182,23.0103
169.6212,72.8614,23.1833
169.7736,72.8449,21.61
169.926,71.9222,21.3936
170.0784,71.1857,21.7449
170.2308,70.3812,22.1117
170.3832,69.5145,22.4311
170.5356,69.8766,22.581
170.688,70.2222,22.9832
170.8404,70.8295,20.2494
170.9928,72.6423,22.2098
171.1452,72.9615,23.8827
171.2976,73.5316,23.2447
171.45,73.5556,24.7799
171.6024,73.7843,25.1563
171.7548,75.2697,21.8948
171.9072,75.0638,22.5336
172.0596,73.6805,22.6
172.212,72.5602,21.1516
172.3644,71.4175,20.5756
172.5168,71.5996,19.947
172.6692,70.3333,19.5923
172.8216,71.6886,19.7275
172.974,70.9039,19.2109
173.1264,70.6966,19.6486
173.2788,72.1726,19.093
173.4312,71.5,19.2325
173.5836,71.9441,19.5719
173.736,71.175,19.7053
173.8884,71.3526,19.6235
174.0408,73.1326,19.7849
174.1932,73.1973,19.517
174.3456,75.0797,18.7566
174.498,73.8592,18.3333
174.6504,72.3039,17.5885
174.8028,72.2677,17.488
174.9552,73.846,16.7924
175.1076,74.721,17.013
