DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,DSLL,DDLL,SPDL,MRRS,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRL,DPRS,DPRD,BIT
2328.1,51.431564,3427.734375,113.701584,0.31916,8.467559,0.032537,2.466848,3.413977,88.186028,5.55712,5.537963,91.908768,4.323046,0.126665,0.038983,0.301569,0.379297,0.29029,0.142194,0.142194,0.111001,0.215589,8.5
2328.2,51.544254,3427.734375,111.981659,0.318201,8.359138,0.031204,2.443734,3.429041,87.795235,5.608015,5.599422,91.887497,4.345038,0.123839,0.036157,0.299962,0.378517,0.289407,0.155711,0.155711,0.12501,0.22795,8.5
2328.3,51.509922,3432.617188,109.638809,0.318201,8.278842,0.040163,2.426318,3.424607,87.54229,5.646053,5.661321,91.860153,4.36821,0.122062,0.034381,0.299312,0.378577,0.289405,0.165896,0.165896,0.135565,0.237263,8.5
2328.4,51.450909,3452.148438,109.15815,0.320266,8.239423,0.054042,2.410597,3.424242,87.441544,5.672089,5.715162,91.778107,4.38388,0.12105,0.033368,0.300744,0.380474,0.2913,0.17509,0.17509,0.145093,0.24567,8.5
2328.5,51.464291,3452.148438,107.385979,0.315011,8.210202,0.071031,2.400915,3.414885,87.563354,5.681483,5.748376,91.775063,4.399029,0.120301,0.03262,0.295411,0.375726,0.286475,0.180751,0.180751,0.15096,0.250847,8.5
2328.6,51.471889,3447.265625,109.738335,0.307977,8.188464,0.091294,2.405588,3.394698,87.910652,5.671286,5.767199,91.671753,4.399609,0.119791,0.032109,0.288527,0.369344,0.280019,0.178018,0.178018,0.148128,0.248348,8.5
2328.7,51.465752,3452.148438,113.546242,0.298713,8.175394,0.111877,2.427395,3.382045,88.416748,5.647304,5.782357,91.71125,4.382203,0.119509,0.031827,0.279628,0.36091,0.271517,0.165266,0.165266,0.134912,0.236687,8.5
2328.8,51.562107,3447.265625,117.109901,0.295541,8.169168,0.122273,2.443932,3.407404,89.012886,5.61333,5.788706,91.765945,4.333771,0.119398,0.031716,0.276558,0.358,0.268606,0.155595,0.155595,0.12489,0.227844,8.5
2328.9,51.505928,3447.265625,120.031303,0.293123,8.167808,0.123489,2.451335,3.422088,89.580048,5.572063,5.776035,91.857101,4.27235,0.119455,0.031774,0.274274,0.355772,0.266387,0.151266,0.151266,0.120403,0.223885,8.5
2329.0,51.547176,3447.265625,120.714226,0.293572,8.173118,0.120724,2.452996,3.416964,90.031609,5.532065,5.743959,91.981697,4.211534,0.119764,0.032083,0.274777,0.356195,0.2668,0.150294,0.150294,0.119396,0.222997,8.5
2329.1,51.473976,3442.382813,119.582787,0.292951,8.188928,0.118994,2.455804,3.417224,90.326508,5.499635,5.701733,92.160973,4.163555,0.120402,0.032721,0.274342,0.355624,0.26623,0.148653,0.148653,0.117695,0.221495,8.5
2329.2,51.482708,3437.5,116.985962,0.294322,8.216617,0.118832,2.456409,3.40243,90.487846,5.474603,5.655619,92.291649,4.130529,0.121306,0.033624,0.275851,0.356903,0.267487,0.148299,0.148299,0.117328,0.221172,8.5
2329.3,51.550514,3447.265625,117.086411,0.294942,8.25037,0.124244,2.463212,3.367726,90.544823,5.457428,5.60482,92.334183,4.11481,0.122266,0.034584,0.276689,0.357479,0.268057,0.14432,0.14432,0.113205,0.217534,8.5
2329.4,51.486553,3442.382813,117.579666,0.295729,8.28165,0.131958,2.473423,3.310444,90.452309,5.447306,5.559412,92.410156,4.108046,0.123112,0.03543,0.277692,0.358209,0.268778,0.138349,0.138349,0.107016,0.212073,8.5
