DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,BIT
94.3,30.460379,683.590136,34.163556,0.427528,8.742464,-0.788601,1.646678,14.586127,56.151212,197.756251,0.159239,575829.624363,204548.389947,102718.448684,831.240866,43446.179511,9237.296539,3291.013603,0.136776,0.049094,12.25
94.4,30.203509,678.707312,34.07743,0.405654,8.743051,-0.794298,1.640264,14.582724,56.240757,198.120835,0.159098,3571700.625624,439263.007326,108748.446316,6.225489,19000.142755,822.573009,101.430303,0.136791,0.04911,12.25
94.5,30.450129,673.831761,33.834373,0.410494,8.743457,-0.802639,1.625102,14.551135,56.291302,198.40963,0.159071,19530549.158554,818601.602231,98893.456935,0.037312,7047.215049,60.726683,2.552727,0.136799,0.049117,12.25
94.6,30.359052,678.714585,33.008901,0.420449,8.743522,-0.81148,1.602202,14.680773,55.76421,198.850192,0.159053,115906042.795959,1612958.636463,93365.409041,0.000204,2651.648678,4.361925,0.060791,0.136797,0.049116,12.25
94.7,30.197551,683.59375,32.791427,0.429218,8.743379,-0.817858,1.579961,14.76107,54.639906,199.24226,0.15901,439849944.231888,2792160.4264,95726.473769,5e-06,1412.205224,0.714265,0.004534,0.1368,0.049118,12.25
94.8,30.486231,683.590081,32.983986,0.432685,8.743669,-0.823845,1.556218,14.787127,52.91716,199.725362,0.158948,536921921.464172,3168005.230277,103455.605129,4e-06,1436.534674,0.652394,0.003862,0.136813,0.049131,12.25
94.9,30.407844,678.714617,33.49166,0.457435,8.744222,-0.827724,1.539907,14.701354,51.77494,200.138697,0.158748,175104886.58371,2041817.178325,105016.385546,0.000111,2573.741535,3.262938,0.038696,0.136829,0.049147,12.25
95.0,30.287658,683.59375,33.525861,0.487989,8.744682,-0.83143,1.529297,14.578312,51.207772,200.63707,0.158595,28271583.551361,967014.889809,101917.648999,0.016463,6123.957605,39.01675,1.35897,0.136838,0.049157,12.25
95.1,30.231086,683.59375,33.865056,0.520518,8.744835,-0.835392,1.526088,14.415406,51.820344,201.16278,0.158638,4189235.842032,432194.309405,95092.573341,2.705277,14339.271783,479.049525,50.474023,0.136839,0.049157,12.25
95.2,30.524494,683.59375,33.937684,0.537763,8.744721,-0.841015,1.524556,14.247605,52.984425,201.724944,0.15886,657311.382326,207962.284706,96573.737564,456.626966,37033.208941,6609.7839,2102.454091,0.136843,0.049162,12.25
95.3,30.279781,683.59375,34.875399,0.552698,8.745112,-0.846712,1.523847,14.30671,54.480413,202.287151,0.158948,193080.480635,132091.597935,102562.235623,10963.061144,74758.436879,42325.792786,28976.615922,0.136871,0.049189,12.25
95.4,30.252212,683.597469,34.542629,0.554446,8.746478,-0.851684,1.521532,14.418612,55.370799,202.904025,0.1589,108818.395926,108818.395926,108818.395926,108818.395926,108818.395926,108818.395926,108818.395926,0.136921,0.049239,12.25
95.5,30.301217,688.472833,35.463803,0.551239,8.748293,-0.856163,1.515632,14.620347,55.680333,203.548118,0.158778,101275.618631,101275.618631,101275.618631,101275.618631,101275.618631,101275.618631,101275.618631,0.13697,0.049288,12.25
95.6,30.436665,683.597491,35.595759,0.543604,8.749623,-0.859784,1.506776,14.683429,55.67098,204.037356,0.158683,93408.273591,93408.273591,93408.273591,93408.273591,93408.273591,93408.273591,93408.273591,0.136997,0.049315,12.25
95.7,30.2806,688.476563,36.857685,0.542982,8.750007,-0.861806,1.497713,14.790256,55.687426,204.538727,0.158465,93281.613039,93281.613039,93281.613039,93281.613039,93281.613039,93281.613039,93281.613039,0.137011,0.049329,12.25
95.8,30.501271,688.4728,36.223148,0.534517,8.75054,-0.862495,1.490581,14.773711,55.431444,205.015813,0.158414,100577.662806,100577.662806,100577.662806,100577.662806,100577.662806,100577.662806,100577.662806,0.13705,0.049368,12.25
95.9,30.254987,683.597524,36.785763,0.521769,8.752471,-0.863479,1.484047,14.695696,54.928727,205.517139,0.158407,109343.942851,109343.942851,109343.942851,109343.942851,109343.942851,109343.942851,109343.942851,0.137123,0.049442,12.25
96.0,30.268413,688.472777,35.928082,0.509359,8.755238,-0.865364,1.475315,14.473657,54.183871,205.936536,0.158537,103566.64524,103566.64524,103566.64524,103566.64524,103566.64524,103566.64524,103566.64524,0.137201,0.049519,12.25
96.1,30.493484,683.59375,36.503412,0.531927,8.757429,-0.865388,1.467741,14.367333,53.143398,206.425786,0.158308,94380.258791,94380.258791,94380.258791,94380.258791,94380.258791,94380.258791,94380.258791,0.137248,0.049567,12.25
96.2,30.240771,683.59375,35.990588,0.572953,8.758252,-0.862865,1.460264,14.325035,51.758861,206.942419,0.158073,96231.902834,96231.902834,96231.902834,96231.902834,96231.902834,96231.902834,96231.902834,0.137262,0.049581,12.25
96.3,30.370823,683.597569,36.12495,0.637697,8.758334,-0.856608,1.45642,14.431995,50.295792,207.516714,0.15766,100136.164388,100136.164388,100136.164388,100136.164388,100136.164388,100136.164388,100136.164388,0.137268,0.049587,12.25
96.4,30.480748,688.472732,35.091012,0.678904,8.758638,-0.847004,1.455907,14.512606,49.375032,208.069803,0.157471,106200.312879,106200.312879,106200.312879,106200.312879,106200.312879,106200.312879,106200.312879,0.137279,0.049598,12.25
96.5,30.255579,683.59375,33.993664,0.722245,8.759027,-0.834658,1.459671,14.611469,49.01709,208.665383,0.157261,100932.476049,100932.476049,100932.476049,100932.476049,100932.476049,100932.476049,100932.476049,0.13729,0.049608,12.25
96.6,30.302101,683.59375,32.980793,0.727602,8.759301,-0.82319,1.463171,14.537156,48.945194,209.257889,0.157295,94959.711864,94959.711864,94959.711864,94959.711864,94959.711864,94959.711864,94959.711864,0.137295,0.049613,12.25
96.7,30.458814,683.59375,32.541809,0.733002,8.759354,-0.814619,1.465165,14.478102,48.876724,209.780571,0.157456,94786.715791,94786.715791,94786.715791,94786.715791,94786.715791,94786.715791,94786.715791,0.137295,0.049613,12.25
96.8,30.501677,683.59375,33.505633,0.705393,8.759323,-0.808372,1.467646,14.333808,48.83804,210.348841,0.157805,99659.8438,99659.8438,99659.8438,99659.8438,99659.8438,99659.8438,99659.8438,0.137295,0.049613,12.25
96.9,30.43681,683.589861,34.004642,0.691533,8.759332,-0.804473,1.468441,14.30465,48.82952,210.956555,0.157879,106953.714272,106953.714272,106953.714272,106953.714272,106953.714272,106953.714272,106953.714272,0.137294,0.049612,12.25
