DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
79.4,12.25,,36.616,,,,,,,
79.553,12.25,,35.982,,,,,,,
79.705,12.25,,34.137,,,,,,,
79.858,12.25,,31.369,,,,,,,
80.01,12.25,,28.294,,,,,,,
80.162,12.25,,29.077,,,,,,,
80.315,12.25,,30.584,,,,,,,
80.467,12.25,,30.462,,,,,,,
80.62,12.25,,30.616,,,,,,,
80.772,12.25,,29.541,,,,,,,
80.924,12.25,,31.54,,,,,,,
81.077,12.25,,31.54,,,,,,,
81.229,12.25,,30.124,,,,,,,
81.382,12.25,,32.583,,,,,,,
81.534,12.25,,34.291,,,,,,,
81.686,12.25,,35.539,,,,,,,
81.839,12.25,,31.831,,,,,,,
81.991,12.25,,30.308,,,,,,,
82.144,12.25,,33.522,,,,,,,
82.296,12.25,,35.521,,,,,,,
82.448,12.25,,34.462,,,,,,,
82.601,12.25,,30.6,,,,,,,
82.753,12.25,,32.292,,,,,,,
82.906,12.25,,35.232,,,,,,,
83.058,12.25,,35.503,,,,,,,
83.21,12.25,,35.078,,,,,,,
83.363,12.25,,36.924,,,,,,,
83.515,12.25,,36.77,,,,,,,
83.668,12.25,,36.444,,,,,,,
83.82,12.25,,35.06,,,,,,,
83.972,12.25,,34.137,,,,,,,
84.125,12.25,,30.908,,,,,,,
84.277,12.25,,31.2,,,,,,,
84.43,12.25,,30.924,,,,,,,
84.582,12.25,,34.462,,,,,,,
84.734,12.25,,33.505,,,,,,,
84.887,12.25,,34.752,,,,,,,
85.039,12.25,,32.155,,,,,,,
85.192,12.25,,31.2,,,,,,,
85.344,12.25,,31.353,,,,,,,
85.496,12.25,,32.001,,,,,,,
85.649,12.25,,30.446,,,,,,,
85.801,12.25,,31.539,,,,,,,
85.954,12.25,,33.061,,,,,,,
86.106,12.25,,36.29,,,,,,,
86.258,12.25,,34.291,,,,,,,
86.411,12.25,,35.367,,,,,,,
86.563,12.25,,34.308,,,,,,,
86.716,12.25,,36.29,,,,,,,
86.868,12.25,,34.58,,,,,,,
87.02,12.25,,31.231,,,,,,,
87.173,12.25,,30.462,,,,,,,
87.325,12.25,,30.616,,,,,,,
87.478,12.25,,32.122,,,,,,,
87.63,12.25,,31.693,,,,,,,
87.782,12.25,,30.155,,,,,,,
87.935,12.25,,34.291,,,,,,,
88.087,12.25,,33.847,,,,,,,
88.24,12.25,,36.001,,,,,,,
88.392,12.25,,33.215,,,,,,,
88.544,12.25,,37.52,,,,,,,
88.697,12.25,,35.675,,,,,,,
88.849,12.25,,35.042,,,,,,,
89.002,12.25,,33.847,,,,,,,
89.154,12.25,,34.12,,,,,,,
89.306,12.25,,35.521,,,,,,,
89.459,12.25,,33.197,,,,,,,
89.611,12.25,,33.061,,,,,,,
89.764,12.25,,33.676,,,,,,,
89.916,12.25,,34.137,,,,,,,
90.068,12.25,,31.831,,,,,,,
90.221,12.25,,29.202,,,,,,,
90.373,12.25,,30.462,,,,,,,
90.526,12.25,,33.522,,,,,,,
90.678,12.25,,33.351,,,,,,,
90.83,12.25,,33.54,,,,,,,
90.983,12.25,,33.368,,,,,,,
91.135,12.25,,34.001,,,,,,,
91.288,12.25,,31.539,,,,,,,
91.44,12.25,,31.677,,,,,,,
91.592,12.25,,33.983,,,,,,,
91.745,12.25,,37.539,,,,,,,
91.897,12.25,,38.135,,,,,,,
92.05,12.25,,36.905,,,,,,,
92.202,12.25,,32.446,,,,,,,
92.354,12.25,,33.983,,,,,,,
92.507,12.25,,33.983,,,,,,,
92.659,12.25,,35.385,,,,,,,
92.812,12.25,,33.83,,,,,,,
92.964,12.25,,33.061,,,,,,,
93.116,12.25,,34.752,,,,,,,
93.269,12.25,,33.351,,,,,,,
93.421,12.25,,34.616,,,,,,,
93.574,12.25,,34.137,,,,,,,
93.726,12.25,,35.675,,,,,,,
93.878,12.25,,35.214,,,,,,,
94.031,12.25,,32.309,,,,,,,
94.183,12.25,,32.711,,,,,,,
94.336,12.25,,33.959,,,,,,,
94.488,12.25,,37.188,,,,,,,
94.64,12.25,,36.307,,,,,,,
94.793,12.25,,34.906,,,,,,,
94.945,12.25,,34.906,,,,,,,
95.098,12.25,,31.996,,,,,,,
