DEPT,TENS:1,TENS:2,DT_BHC,RLA5,RLA3,RSOZ,TNPH:1,CALI,BS,RLA4,RHOZ,PEFZ,RXO,GR:1,DTSM,RT,RLA1,NPHI,TNPH:2,GR:2,GR:3,DTCO,RLA2,RLA0,GR:4,RXOZ
764.286,2498.466,2469.333,110.0,35.264,17.967,0.071,0.269,8.464,8.5,25.467,2.353,3.067,2.294,92.435,,50.831,5.209,0.292,0.269,90.627,83.489,110.0,10.798,0.117,95.941,1.625
764.438,2483.375,2497.0,107.0,33.718,17.202,0.068,0.261,8.476,8.5,24.282,2.37,3.182,2.468,77.109,,49.5,5.339,0.3,0.261,85.673,80.923,107.0,10.274,0.118,78.537,1.708
764.591,2492.2,2502.667,95.75,31.499,16.321,0.073,0.256,8.452,8.5,22.867,2.418,3.386,2.477,72.511,,46.53,5.268,0.283,0.256,76.097,73.336,95.75,9.752,0.123,82.696,2.034
764.743,2454.687,2453.5,82.494,35.536,18.568,0.075,0.222,8.452,8.5,25.892,2.498,3.614,2.843,70.464,,52.607,6.019,0.234,0.222,70.407,62.28,82.494,11.1,0.13,67.198,3.098
764.896,2431.333,2469.499,66.25,65.649,34.205,0.079,0.183,8.568,8.5,47.726,2.566,3.757,4.919,44.074,,96.589,10.56,0.172,0.183,63.336,54.594,66.25,20.322,0.144,61.686,6.71
765.048,2439.667,2433.334,62.248,118.727,59.637,0.078,0.163,8.528,8.5,85.326,2.568,3.773,7.22,48.828,,172.962,16.066,0.145,0.163,60.725,51.0,62.248,34.199,0.143,60.004,11.368
765.2,2475.187,2497.0,71.405,81.496,41.965,0.081,0.17,8.552,8.5,59.434,2.497,3.668,5.572,60.575,,119.333,12.26,0.168,0.17,65.893,56.78,71.405,24.649,0.143,60.185,5.184
765.353,2449.001,2475.0,80.0,52.298,26.727,0.086,0.206,8.432,8.5,37.997,2.418,3.488,3.85,60.933,,76.956,8.278,0.217,0.206,75.247,67.346,80.0,16.169,0.132,76.577,3.106
765.505,2555.938,2581.668,102.5,38.803,19.589,0.089,0.255,8.424,8.5,27.925,2.362,3.282,3.239,81.146,,58.473,6.584,0.253,0.255,84.533,77.822,102.5,11.742,0.123,89.251,2.128
765.658,2455.799,2468.0,109.25,35.036,17.693,0.086,0.289,8.448,8.5,25.197,2.331,3.091,3.024,91.497,,52.785,6.085,0.283,0.29,87.903,82.225,109.25,10.767,0.118,87.887,1.739
765.81,2444.8,2475.5,111.75,33.574,16.754,0.072,0.314,8.464,8.5,23.957,2.311,2.975,2.766,74.002,,49.864,5.643,0.302,0.315,93.655,88.841,111.75,10.473,0.116,86.069,1.516
765.962,2473.874,2476.666,110.75,33.304,16.705,0.053,0.319,8.464,8.5,23.798,2.303,2.918,2.184,100.965,,47.091,4.948,0.314,0.319,99.954,88.912,110.75,10.769,0.119,106.48,1.465
766.115,2421.066,2422.667,110.834,33.873,17.267,0.038,0.318,8.464,8.5,24.292,2.306,2.892,1.879,91.769,,46.927,4.639,0.314,0.316,105.754,99.946,110.834,10.739,0.117,106.844,1.506
766.267,2461.876,2470.0,110.75,33.541,17.686,0.028,0.315,8.464,8.5,23.996,2.312,2.869,1.662,107.103,,45.843,4.424,0.301,0.313,106.117,96.43,110.75,10.368,0.11,103.937,1.538
766.42,2445.267,2425.0,112.5,31.927,17.735,0.023,0.298,8.416,8.5,23.236,2.308,2.857,1.561,90.239,,44.068,4.29,0.309,0.297,108.2,96.662,112.5,9.643,0.109,107.354,1.548
766.572,2430.0,2442.999,114.25,30.578,17.066,0.009,0.303,8.416,8.5,22.649,2.304,2.856,1.54,92.856,,42.943,4.159,0.317,0.303,107.958,93.533,114.25,9.007,0.108,113.519,1.54
766.724,2394.334,2367.333,115.75,29.913,16.486,0.0,0.312,8.416,8.5,22.465,2.298,2.855,1.521,97.505,,42.507,4.051,0.339,0.312,105.203,97.651,115.75,8.656,0.108,103.001,1.507
766.877,2440.2,2420.001,115.0,28.91,15.608,0.0,0.331,8.428,8.5,22.002,2.298,2.852,1.556,102.489,,41.59,3.999,0.329,0.332,104.531,99.296,115.0,8.402,0.108,99.788,1.504
767.029,2434.4,2434.0,115.75,28.697,15.263,0.004,0.323,8.416,8.5,21.954,2.299,2.83,1.641,97.644,,41.7,4.073,0.322,0.322,106.533,97.015,115.75,8.395,0.108,111.343,1.519
767.182,2416.375,2361.0,115.0,29.697,15.518,0.007,0.318,8.4,8.5,22.625,2.299,2.814,1.754,90.749,,43.469,4.244,0.31,0.318,108.61,99.531,115.0,8.62,0.107,109.093,1.54
767.334,2449.334,2430.333,115.0,30.385,15.57,0.017,0.319,8.44,8.5,22.766,2.3,2.812,1.827,110.446,,44.522,4.327,0.306,0.319,104.074,97.141,115.0,8.739,0.105,105.647,1.539
767.486,2435.268,2413.666,116.75,30.287,15.335,0.027,0.319,8.416,8.5,22.291,2.297,2.848,1.848,89.988,,44.324,4.307,0.316,0.32,102.76,100.901,116.75,8.635,0.103,97.199,1.495
767.639,2430.533,2390.668,115.418,30.312,15.164,0.048,0.321,8.416,8.5,22.037,2.299,2.915,1.825,102.054,,44.301,4.23,0.298,0.322,102.639,100.763,115.418,8.525,0.102,105.54,1.464
767.791,2416.199,2415.999,115.75,29.706,14.879,0.068,0.295,8.424,8.5,21.446,2.3,2.991,1.866,109.96,,43.472,4.25,0.307,0.296,105.118,107.321,115.75,8.442,0.102,105.214,1.447
767.944,2438.534,2415.999,116.584,27.754,14.135,0.086,0.301,8.432,8.5,20.05,2.299,3.044,1.936,109.176,,40.557,4.276,0.303,0.301,104.428,109.768,116.584,8.372,0.102,103.978,1.453
